order,flowstar_status,flowstar_validated,flowstar_runtime_s,flowstar_segments,flowstar_last_width_sum,pytorch_status,pytorch_validated,pytorch_failed_reason,pytorch_candidate_final_width_sum,width_ratio_flowstar_over_pytorch,skip_reason
4,completed,true,0.0010189999999999999,1,0.4839530000000003,failed,false,initial or cutoff remainder exceeds target remainder,0.45836311114672357,1.0558288575824883,
6,completed,true,0.0040150000000000003,1,0.4839530000000003,failed,false,initial or cutoff remainder exceeds target remainder,0.45836311114672357,1.0558288575824883,
8,completed,true,0.014841999999999999,1,0.4839530000000003,failed,false,initial or cutoff remainder exceeds target remainder,0.45836311114672357,1.0558288575824883,
