run_id,segment_index,t_hi,direct_range_width_sum,horner_range_width_sum,direct_normal_range_width_sum,horner_normal_range_width_sum,range_delta,normal_range_delta,horner_changed_range,horner_reduced_range,horner_reduced_normal_range,horner_stage_count,horner_time_branch_stage_count,horner_state_branch_stage_count,horner_y_branch_stage_count,horner_truncation_width_sum,horner_cutoff_width_sum,horner_outer_remainder_width_sum,dominant_stage_component,dominant_stage_operation,dominant_stage_width,source_note
flowstar_style_o4_target_insert,0,0.0040000000000000001,0.408931185144492,0.40893118514449184,0.408931185144492,0.40893118514449184,-1.6653345369377348e-16,-1.6653345369377348e-16,false,false,false,20,0,18,10,4.9406564584124654e-323,8.8931816251424378e-323,8.9326230018882188e-06,x,add_outer_remainder,0.30038428998250288,one row per validated reset with direct-vs-Horner diagnostic ranges
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0.40893073208832759,0.40893073208832681,0.40893073208832759,0.40893073208832681,-7.7715611723760958e-16,-7.7715611723760958e-16,false,false,false,58,0,56,38,1.432790372939615e-322,2.7667676167109806e-322,7.9268211488653468e-06,x,add_outer_remainder,0.30038428042698245,one row per validated reset with direct-vs-Horner diagnostic ranges
