run_id,mode,order,candidate_order,output_order,truncation_range_split,normal_eval_range_split,adaptive_order_fallback,fallback_from_order,refinement_pass,residual_subset_current,validation_mode,reset_mode,flowstar_symbolic_queue_max_size,cutoff_threshold,target_remainder_radius,center_correction_width_factor,center_correction_attempts,center_corrections_applied,center_corrected_dimensions,max_center_correction_abs,max_residual_radius_after_correction,selective_high_degree_terms_top_k,max_selective_retained_terms_count,max_selective_dropped_remainder_width_sum,max_flowstar_queue_size_after,max_flowstar_propagated_remainder_width_sum,max_symqueue_propagated_symbolic_width_sum,max_symqueue_new_symbolic_width_sum,max_symqueue_materialized_width_sum,max_symqueue_linear_map_norm,max_total_range_width_with_symbolic,max_ordinary_only_range_width,max_symbolic_contribution_width,max_materialized_for_output_width,max_target_checked_width,max_insertion_symbolic_candidate_width,max_insertion_truncation_width,max_insertion_cutoff_width,max_inserted_endpoint_width_sum,max_normalized_reset_width_sum,status,runtime_s,validated_segments,last_validated_t,last_attempted_t,min_h_used,min_regular_h_used,min_final_alignment_h,h_below_flowstar_min_count,max_h_used,num_step_rejections,num_accepted_steps,num_rejected_steps,num_order8_steps,num_order8_attempts,failure_reason,final_width_sum,max_width_sum,max_residual_width_sum,max_remainder_width_sum,notes
flowstar_style_o4_target_insert_symqueue_split,flowstar_style,4,4,4,,,,,,,target_remainder,normalized_insertion_symqueue_split,100,,0.0001,,0,0,0,,,,,,99,,0.30285839887550597,4.6134597600009473,0.30285839887550597,0.35552562779993407,5.1237792936083384,4.8209208947328319,0.30285839887550597,0.30285839887550597,9.8813129168249309e-324,7.5777280987120131e-05,7.5777280987120131e-05,9.8813129168249309e-324,4.7809633686058826,4.8209208947328319,failed,238.57325891125947,239,6.4730088058091901,6.4764126885008482,0.0020171156691308999,0.0020171156691308999,,0,0.10000000000000001,140,239,140,0,0,Picard residual not subset of target remainder,5.1252484688859061,5.1252484688859061,0.0065705701695517654,0.00040000000000000007,Picard residual not subset of target remainder
flowstar_style_o4_target_cutoff_insert_symqueue_split,flowstar_style,4,4,4,,,,,,,target_remainder,normalized_insertion_symqueue_split,100,1e-10,0.0001,,0,0,0,,,,,,99,,0.30285889450645781,4.6134633321123175,0.30285889450645781,0.35552562779993413,5.1237833606680185,4.8209244661615607,0.30285889450645781,0.30285889450645781,9.8813129168249309e-324,7.5777281880118669e-05,7.5777281880118669e-05,2.1317037159902015e-10,4.7809669409003659,4.8209244661615607,failed,227.81158632226288,239,6.4730088058091901,6.4764126885008482,0.0020171156691308999,0.0020171156691308999,,0,0.10000000000000001,140,239,140,0,0,Picard residual not subset of target remainder,5.1252525326040193,5.1252525326040193,0.0065705701695517654,0.00040000000000000007,Picard residual not subset of target remainder
flowstar_style_o6_candidate8_output6_insert_symqueue_split,flowstar_style,6,8,6,,,,,,,target_remainder,normalized_insertion_symqueue_split,100,,0.0001,,0,0,0,,,,,,99,,5.0175141128736733,21.800746276090599,5.0175141128736733,0.35543946089365058,26.920513815339088,21.902999702465415,5.0175141128736733,5.0175141128736733,9.8813129168249309e-324,8.9727951729156432e-06,8.9727951729156432e-06,9.8813129168249309e-324,21.883875748631645,21.902999702465415,failed,1530.6576520055532,150,7.4960392581387341,7.4996590173882804,0.0021450425182496136,0.0021450425182496136,,0,0.10000000000000001,60,150,60,0,270,Picard residual not subset of target remainder,26.916552593667518,26.916552593667518,0.00080291635146069993,0.00040000000000000007,Picard residual not subset of target remainder
flowstar_style_o6_candidate8_output6_cutoff_insert_symqueue_split,flowstar_style,6,8,6,,,,,,,target_remainder,normalized_insertion_symqueue_split,100,1e-10,0.0001,,0,0,0,,,,,,99,,5.0178707688962403,21.801383289049809,5.0178707688962403,0.35543946089365047,26.921507467373065,21.903636698476824,5.0178707688962403,5.0178707688962403,9.8813129168249309e-324,8.9727783877157415e-06,8.9727783877157415e-06,4.2233901223208624e-10,21.884512759845499,21.903636698476824,failed,1453.5957459919155,150,7.4960392581387341,7.4996590173882804,0.0021450425182496136,0.0021450425182496136,,0,0.10000000000000001,60,150,60,0,270,Picard residual not subset of target remainder,26.917546102484387,26.917546102484387,0.00080292337685799878,0.00040000000000000007,Picard residual not subset of target remainder
