window,plant,mode,step,history_length,replays,phase,operation,dependency_fixed,category,exclusive_seconds,calls,step_seconds,instrumentation
brusselator_early,brusselator,reference,1,0,8,other,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.002936322707682848,107,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.010459726210683584,458,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,polynomial_component,True,polynomial_multiply_truncate_range,0.0004135104827582836,36,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,interval_arithmetic,True,polynomial_multiply_truncate_range,0.019772978499531746,324,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.11105190962553024,24,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.05430938862264156,48,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,interval_arithmetic,False,candidate_construction_excluding_classified_polynomial_work,0.007002891041338444,234,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,polynomial_sub,True,polynomial_multiply_truncate_range,0.00013624317944049835,12,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,polynomial_add,True,polynomial_multiply_truncate_range,0.00014917738735675812,12,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,polynomial_integrate,True,polynomial_multiply_truncate_range,0.007332748733460903,6,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,polynomial_apply_cutoff,True,polynomial_multiply_truncate_range,0.006815115921199322,6,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.0113668879494071,1,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,other,interval_arithmetic,False,other_including_unclassified_python,0.0016810549423098564,69,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,other,polynomial_component,True,polynomial_multiply_truncate_range,6.629247218370438e-05,6,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,other,interval_arithmetic,True,polynomial_multiply_truncate_range,0.003599843941628933,54,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,other,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.01726118754595518,4,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,other,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.0106846927665174,9,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,other,polynomial_sub,True,polynomial_multiply_truncate_range,3.387266770005226e-05,3,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,other,polynomial_add,True,polynomial_multiply_truncate_range,2.441415563225746e-05,2,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,other,polynomial_integrate,True,polynomial_multiply_truncate_range,0.0013172309845685959,1,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,polynomial_component,True,polynomial_multiply_truncate_range,8.8459812104702e-05,8,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.0046189953573048115,152,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,interval_arithmetic,True,polynomial_multiply_truncate_range,0.007645920850336552,117,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.052231380715966225,8,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.020486413966864347,17,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,interval_arithmetic,False,initial_remainder_excluding_classified_polynomial_work,0.0030281520448625088,109,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,polynomial_apply_cutoff,True,polynomial_multiply_truncate_range,0.006445060949772596,5,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,polynomial_sub,True,polynomial_multiply_truncate_range,6.14863820374012e-05,5,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,polynomial_add,True,polynomial_multiply_truncate_range,3.4411903470754623e-05,3,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,polynomial_integrate,True,polynomial_multiply_truncate_range,0.0013145161792635918,1,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.004164343699812889,1,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,replay,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.03467947244644165,1240,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,replay,polynomial_component,True,refinement_fixed_preparation,0.0006759441457688808,64,1.2497383709996939,nested_function_timer
brusselator_early,brusselator,reference,1,0,8,replay,interval_arithmetic,True,refinement_fixed_preparation,0.05627286946401,936,1.2497383709996939,nested_function_timer
