window,plant,mode,step,history_length,refinement_rounds,polynomial_multiplications_executed_in_replay,polynomial_range_evaluations_executed_in_replay,prepared_plan_constructions,cache_dispatches,binding_checks,fixed_replay_seconds,all_replay_seconds,step_seconds
brusselator_middle,brusselator,reference,113,112,9,72,153,0,0,0,0.5896326792426407,0.6889262776821852,1.8821072317659855
brusselator_middle,brusselator,reference,114,113,9,72,153,0,0,0,0.5858107595704496,0.6842917478643358,1.8187381229363382
brusselator_middle,brusselator,reference,115,114,9,72,153,0,0,0,0.5788037544116378,0.6771539011970162,1.8262579962611198
brusselator_middle,brusselator,reference,116,115,9,72,153,0,0,0,0.5780637906864285,0.6761444751173258,1.8184562101960182
brusselator_middle,brusselator,reference,117,116,9,72,153,0,0,0,0.5767573635093868,0.6743919546715915,1.8056921632960439
brusselator_middle,brusselator,reference,118,117,9,72,153,0,0,0,0.5764332325197756,0.6745094708167017,1.8156550209969282
brusselator_middle,brusselator,reference,119,118,9,72,153,0,0,0,0.5916891358792782,0.6913826400414109,1.8203059872612357
brusselator_middle,brusselator,reference,120,119,9,72,153,0,0,0,0.5912404791451991,0.6905129500664771,1.8111737980507314
brusselator_middle,brusselator,optimized,101,100,9,6,7,1,387,9,0.044867520686239004,0.13814230868592858,1.3709490159526467
brusselator_middle,brusselator,optimized,102,101,9,6,7,1,387,9,0.044253360480070114,0.1360864620655775,1.331937266048044
brusselator_middle,brusselator,optimized,103,102,9,6,7,1,387,9,0.04558059247210622,0.13878151215612888,1.3158500888384879
brusselator_middle,brusselator,optimized,104,103,9,6,7,1,387,9,0.04516857722774148,0.14461271138861775,1.324175475165248
brusselator_middle,brusselator,optimized,105,104,9,6,7,1,387,9,0.04500259133055806,0.13856566417962313,1.322370972018689
brusselator_middle,brusselator,optimized,106,105,9,6,7,1,387,9,0.044768163468688726,0.13698434084653854,1.3211780679412186
brusselator_middle,brusselator,optimized,107,106,9,6,7,1,387,9,0.04532827204093337,0.13818525383248925,1.3426517178304493
brusselator_middle,brusselator,optimized,108,107,9,6,7,1,387,9,0.04436899721622467,0.13677157694473863,1.3028487549163401
brusselator_middle,brusselator,optimized,109,108,9,6,7,1,387,9,0.046772478614002466,0.13981183292344213,1.316895383875817
brusselator_middle,brusselator,optimized,110,109,9,6,7,1,387,9,0.04422103567048907,0.137592407874763,1.345172218978405
brusselator_middle,brusselator,optimized,111,110,9,6,7,1,387,9,0.044904742389917374,0.13707822188735008,1.3716183882206678
brusselator_middle,brusselator,optimized,112,111,9,6,7,1,387,9,0.044569683726876974,0.1380310500971973,1.314030960202217
brusselator_middle,brusselator,optimized,113,112,9,6,7,1,387,9,0.04461973672732711,0.13773134676739573,1.3056531259790063
brusselator_middle,brusselator,optimized,114,113,9,6,7,1,387,9,0.04495516140013933,0.14237592602148652,1.3352348450571299
brusselator_middle,brusselator,optimized,115,114,9,6,7,1,387,9,0.04459794517606497,0.13861100329086185,1.3103534751571715
brusselator_middle,brusselator,optimized,116,115,9,6,7,1,387,9,0.0445615598000586,0.13779736123979092,1.3011449580080807
brusselator_middle,brusselator,optimized,117,116,9,6,7,1,387,9,0.047977456357330084,0.14763964712619781,1.3234710721299052
brusselator_middle,brusselator,optimized,118,117,9,6,7,1,387,9,0.04486468434333801,0.13763180701062083,1.3153593633323908
brusselator_middle,brusselator,optimized,119,118,9,6,7,1,387,9,0.04443772369995713,0.1355124907568097,1.2960683889687061
brusselator_middle,brusselator,optimized,120,119,9,6,7,1,387,9,0.04474875517189503,0.13759763399139047,1.3204858042299747
brusselator_late,brusselator,reference,981,980,9,72,153,0,0,0,0.5763503396883607,0.6756244930438697,2.124113332014531
brusselator_late,brusselator,reference,982,981,9,72,153,0,0,0,0.5750262658111751,0.673070952296257,2.085941700730473
brusselator_late,brusselator,reference,983,982,9,72,153,0,0,0,0.57674695039168,0.6754864677786827,2.0996575406752527
brusselator_late,brusselator,reference,984,983,9,72,153,0,0,0,0.5732327639125288,0.6716689821332693,2.0956366630271077
brusselator_late,brusselator,reference,985,984,9,72,153,0,0,0,0.5734233148396015,0.6726162969134748,2.0251385271549225
brusselator_late,brusselator,reference,986,985,9,72,153,0,0,0,0.5828803665935993,0.6834933282807469,2.118690172675997
brusselator_late,brusselator,reference,987,986,9,72,153,0,0,0,0.5757511034607887,0.6751783709041774,2.094714276958257
brusselator_late,brusselator,reference,988,987,9,72,153,0,0,0,0.5779435834847391,0.6767753981985152,2.0992415389046073
brusselator_late,brusselator,reference,989,988,9,72,153,0,0,0,0.5784080671146512,0.6775146699510515,2.0396898477338254
brusselator_late,brusselator,reference,990,989,9,72,153,0,0,0,0.5746437693014741,0.6734110182151198,2.100532364565879
brusselator_late,brusselator,reference,991,990,9,72,153,0,0,0,0.581195346545428,0.6805501491762698,2.1178763592615724
brusselator_late,brusselator,reference,992,991,9,72,153,0,0,0,0.5742206019349396,0.6726984442211688,2.0992232630960643
brusselator_late,brusselator,reference,993,992,9,72,153,0,0,0,0.5790749969892204,0.6789378728717566,2.052623732946813
brusselator_late,brusselator,reference,994,993,9,72,153,0,0,0,0.57940509961918,0.6782673601992428,2.1128216958604753
brusselator_late,brusselator,reference,995,994,9,72,153,0,0,0,0.5746070379391313,0.673696628306061,2.117571148555726
brusselator_late,brusselator,reference,996,995,9,72,153,0,0,0,0.5766025758348405,0.6757160159759223,2.052814921364188
brusselator_late,brusselator,reference,997,996,9,72,153,0,0,0,0.5752454395405948,0.674118229188025,2.104728884063661
brusselator_late,brusselator,reference,998,997,9,72,153,0,0,0,0.5827160575427115,0.6830594697967172,2.1261229030787945
brusselator_late,brusselator,reference,999,998,9,72,153,0,0,0,0.5748507189564407,0.6734615839086473,2.10873758001253
brusselator_late,brusselator,reference,1000,999,9,72,153,0,0,0,0.5768792596645653,0.6764240046031773,1.978751621209085
brusselator_late,brusselator,optimized,981,980,9,6,7,1,387,9,0.04400510806590319,0.1355738309212029,1.6045062099583447
brusselator_late,brusselator,optimized,982,981,9,6,7,1,387,9,0.044389176182448864,0.13385739270597696,1.5566072491928935
brusselator_late,brusselator,optimized,983,982,9,6,7,1,387,9,0.04403618769720197,0.13329907599836588,1.5526284351944923
brusselator_late,brusselator,optimized,984,983,9,6,7,1,387,9,0.04442949639633298,0.13395105209201574,1.5537759722210467
brusselator_late,brusselator,optimized,985,984,9,6,7,1,387,9,0.05161036318168044,0.14862269395962358,1.5086747528985143
brusselator_late,brusselator,optimized,986,985,9,6,7,1,387,9,0.0448038843460381,0.13402047287672758,1.5577812558040023
brusselator_late,brusselator,optimized,987,986,9,6,7,1,387,9,0.044434850104153156,0.13324558082967997,1.56050655990839
brusselator_late,brusselator,optimized,988,987,9,6,7,1,387,9,0.04565981961786747,0.13596749305725098,1.5623745317570865
brusselator_late,brusselator,optimized,989,988,9,6,7,1,387,9,0.0443128515034914,0.13379231607541442,1.5032651689834893
brusselator_late,brusselator,optimized,990,989,9,6,7,1,387,9,0.0438539176248014,0.13293753704056144,1.5593168828636408
brusselator_late,brusselator,optimized,991,990,9,6,7,1,387,9,0.04420701414346695,0.13366550067439675,1.5648746066726744
brusselator_late,brusselator,optimized,992,991,9,6,7,1,387,9,0.0444377651438117,0.13376596570014954,1.5220765229314566
brusselator_late,brusselator,optimized,993,992,9,6,7,1,387,9,0.044040409848093987,0.13358022458851337,1.5697879567742348
brusselator_late,brusselator,optimized,994,993,9,6,7,1,387,9,0.04411129839718342,0.13373018195852637,1.5891781146638095
brusselator_late,brusselator,optimized,995,994,9,6,7,1,387,9,0.044171775691211224,0.13486218405887485,1.5703538837842643
brusselator_late,brusselator,optimized,996,995,9,6,7,1,387,9,0.048388632480055094,0.14986344799399376,1.5828882460482419
brusselator_late,brusselator,optimized,997,996,9,6,7,1,387,9,0.04497133055701852,0.13516667764633894,1.530452521983534
brusselator_late,brusselator,optimized,998,997,9,6,7,1,387,9,0.04467841284349561,0.13360885297879577,1.5760280629619956
brusselator_late,brusselator,optimized,999,998,9,6,7,1,387,9,0.04429653938859701,0.13478446379303932,1.576596336439252
brusselator_late,brusselator,optimized,1000,999,9,6,7,1,387,9,0.044276539236307144,0.1332476381212473,1.4531198758631945
vdp_early,van_der_pol,reference,1,0,4,4,8,0,0,0,0.029260209761559963,0.1106877769343555,0.4271347150206566
vdp_early,van_der_pol,reference,2,1,4,4,8,0,0,0,0.02980920672416687,0.10954880015924573,0.520649132784456
vdp_early,van_der_pol,reference,3,2,4,4,8,0,0,0,0.03283637901768088,0.12104088114574552,0.6173030463978648
vdp_early,van_der_pol,reference,4,3,4,4,8,0,0,0,0.030823093373328447,0.11110413912683725,0.6400017370469868
vdp_early,van_der_pol,reference,5,4,4,4,8,0,0,0,0.02943622088059783,0.11181071121245623,0.6346291955560446
vdp_early,van_der_pol,reference,6,5,4,4,8,0,0,0,0.030113558750599623,0.11237086914479733,0.6484789829701185
vdp_early,van_der_pol,reference,7,6,4,4,8,0,0,0,0.033507841639220715,0.12168195331469178,0.6660143290646374
vdp_early,van_der_pol,reference,8,7,4,4,8,0,0,0,0.03046459425240755,0.11046557687222958,0.6560859116725624
vdp_early,van_der_pol,reference,9,8,4,4,8,0,0,0,0.03052859753370285,0.11209895694628358,0.6559773390181363
vdp_early,van_der_pol,reference,10,9,4,4,8,0,0,0,0.02969614462926984,0.11089927284047008,0.6668176092207432
vdp_early,van_der_pol,reference,11,10,4,4,8,0,0,0,0.029769939370453358,0.11097503220662475,0.6701923878863454
vdp_early,van_der_pol,reference,12,11,4,4,8,0,0,0,0.0297216041944921,0.11063217930495739,0.6640747580677271
vdp_early,van_der_pol,reference,13,12,4,4,8,0,0,0,0.03169591398909688,0.11475588707253337,0.6850509219802916
vdp_early,van_der_pol,reference,14,13,4,4,8,0,0,0,0.029666826128959656,0.11056562094017863,0.6674608713947237
vdp_early,van_der_pol,reference,15,14,4,4,8,0,0,0,0.029692277777940035,0.10958016896620393,0.6628144779242575
vdp_early,van_der_pol,reference,16,15,4,4,8,0,0,0,0.03011053567752242,0.11126983305439353,0.6672896021045744
vdp_early,van_der_pol,reference,17,16,4,4,8,0,0,0,0.03000215720385313,0.11073369905352592,0.6826146650128067
vdp_early,van_der_pol,reference,18,17,4,4,8,0,0,0,0.029830364044755697,0.11166276503354311,0.6795684145763516
vdp_early,van_der_pol,reference,19,18,4,4,8,0,0,0,0.029923531226813793,0.10939399618655443,0.678940374404192
vdp_early,van_der_pol,reference,20,19,4,4,8,0,0,0,0.030530965887010098,0.11157970316708088,0.7060511680319905
vdp_early,van_der_pol,optimized,1,0,4,4,8,0,0,0,0.02990269334986806,0.11084367660805583,0.4307461269199848
vdp_early,van_der_pol,optimized,2,1,4,4,8,0,0,0,0.030111677013337612,0.11216504499316216,0.5354463648982346
vdp_early,van_der_pol,optimized,3,2,4,4,8,0,0,0,0.030263270251452923,0.11442139698192477,0.6134972958825529
vdp_early,van_der_pol,optimized,4,3,4,4,8,0,0,0,0.029873525258153677,0.11167572904378176,0.6163878999650478
vdp_early,van_der_pol,optimized,5,4,4,4,8,0,0,0,0.03227291535586119,0.11925540305674076,0.6474440218880773
vdp_early,van_der_pol,optimized,6,5,4,4,8,0,0,0,0.03346704971045256,0.12004966009408236,0.648099775891751
vdp_early,van_der_pol,optimized,7,6,4,4,8,0,0,0,0.029731500428169966,0.11069776583462954,0.6524629699997604
vdp_early,van_der_pol,optimized,8,7,4,4,8,0,0,0,0.029637391678988934,0.11262394580990076,0.6596136288717389
vdp_early,van_der_pol,optimized,9,8,4,4,8,0,0,0,0.029330334160476923,0.10953449597582221,0.6634807800874114
vdp_early,van_der_pol,optimized,10,9,4,4,8,0,0,0,0.02967520523816347,0.1124632079154253,0.6587175792083144
vdp_early,van_der_pol,optimized,11,10,4,4,8,0,0,0,0.030218100640922785,0.11137902084738016,0.6662534130737185
vdp_early,van_der_pol,optimized,12,11,4,4,8,0,0,0,0.029403123073279858,0.11011350294575095,0.675615387968719
vdp_early,van_der_pol,optimized,13,12,4,4,8,0,0,0,0.029854123014956713,0.11156369186937809,0.6705630728974938
vdp_early,van_der_pol,optimized,14,13,4,4,8,0,0,0,0.03032829239964485,0.1147350762039423,0.6729367347434163
vdp_early,van_der_pol,optimized,15,14,4,4,8,0,0,0,0.029511813540011644,0.1095756646245718,0.670240490231663
vdp_early,van_der_pol,optimized,16,15,4,4,8,0,0,0,0.030068268068134785,0.10977363120764494,0.6784518221393228
vdp_early,van_der_pol,optimized,17,16,4,4,8,0,0,0,0.03023313218727708,0.11051796190440655,0.6782435229979455
vdp_early,van_der_pol,optimized,18,17,4,4,8,0,0,0,0.029227021150290966,0.10919939493760467,0.6940165609121323
vdp_early,van_der_pol,optimized,19,18,4,4,8,0,0,0,0.029420632403343916,0.10880942875519395,0.6926544052548707
vdp_early,van_der_pol,optimized,20,19,4,4,8,0,0,0,0.030671185813844204,0.11620134813711047,0.7005174439400434
vdp_boundary,van_der_pol,reference,91,90,4,4,8,0,0,0,0.029195809736847878,0.10841549001634121,0.7159982747398317
vdp_boundary,van_der_pol,reference,92,91,4,4,8,0,0,0,0.029745737090706825,0.10916391154751182,0.7119271601550281
vdp_boundary,van_der_pol,reference,93,92,4,4,8,0,0,0,0.030135261826217175,0.10970154078677297,0.7223497233353555
vdp_boundary,van_der_pol,reference,94,93,4,4,8,0,0,0,0.032187053468078375,0.11102940468117595,0.706762642133981
vdp_boundary,van_der_pol,reference,95,94,4,4,8,0,0,0,0.029262027703225613,0.10874061891809106,0.7040312527678907
vdp_boundary,van_der_pol,reference,96,95,4,4,8,0,0,0,0.030060249380767345,0.10917971888557076,0.7202716912142932
vdp_boundary,van_der_pol,reference,97,96,4,4,8,0,0,0,0.02955835498869419,0.10861376905813813,0.7101987060159445
vdp_boundary,van_der_pol,reference,98,97,4,4,8,0,0,0,0.029421388637274504,0.1097821588627994,0.7080026296898723
vdp_boundary,van_der_pol,reference,99,98,4,4,8,0,0,0,0.030541778076440096,0.10980109497904778,0.72431307611987
vdp_boundary,van_der_pol,reference,100,99,4,4,8,0,0,0,0.02927377726882696,0.10787818906828761,0.704929371830076
vdp_boundary,van_der_pol,reference,101,0,4,4,8,0,0,0,0.029472543392330408,0.10832907492294908,0.6966307568363845
vdp_boundary,van_der_pol,reference,102,1,4,4,8,0,0,0,0.03037241892889142,0.11088510556146502,0.6939144050702453
vdp_boundary,van_der_pol,reference,103,2,4,4,8,0,0,0,0.02926489757373929,0.10779167013242841,0.6791405640542507
vdp_boundary,van_der_pol,reference,104,3,4,4,8,0,0,0,0.029389527160674334,0.10870424704626203,0.6712795230560005
vdp_boundary,van_der_pol,reference,105,4,4,4,8,0,0,0,0.032827341463416815,0.11866236245259643,0.6943718083202839
vdp_boundary,van_der_pol,reference,106,5,4,4,8,0,0,0,0.02941020717844367,0.10798656521365047,0.6736654187552631
vdp_boundary,van_der_pol,reference,107,6,4,4,8,0,0,0,0.029896664433181286,0.10809541679918766,0.6887479140423238
vdp_boundary,van_der_pol,reference,108,7,4,4,8,0,0,0,0.030242709442973137,0.11296459706500173,0.695071607362479
vdp_boundary,van_der_pol,reference,109,8,4,4,8,0,0,0,0.029489101842045784,0.10921544069424272,0.675670325756073
vdp_boundary,van_der_pol,reference,110,9,4,4,8,0,0,0,0.02978789061307907,0.11015439918264747,0.6790491477586329
vdp_boundary,van_der_pol,optimized,91,90,4,4,8,0,0,0,0.029011087492108345,0.10729926638305187,0.7224252908490598
vdp_boundary,van_der_pol,optimized,92,91,4,4,8,0,0,0,0.031102588865906,0.11456750007346272,0.7013536738231778
vdp_boundary,van_der_pol,optimized,93,92,4,4,8,0,0,0,0.028659637086093426,0.10731078591197729,0.7067007538862526
vdp_boundary,van_der_pol,optimized,94,93,4,4,8,0,0,0,0.028874137904495,0.10932477377355099,0.7123310598544776
vdp_boundary,van_der_pol,optimized,95,94,4,4,8,0,0,0,0.029098390135914087,0.10766125284135342,0.6973844412714243
vdp_boundary,van_der_pol,optimized,96,95,4,4,8,0,0,0,0.028662567492574453,0.10712910909205675,0.6980687119066715
vdp_boundary,van_der_pol,optimized,97,96,4,4,8,0,0,0,0.028595424257218838,0.10945365997031331,0.727490593213588
vdp_boundary,van_der_pol,optimized,98,97,4,4,8,0,0,0,0.028792346362024546,0.1062835343182087,0.6955993170849979
vdp_boundary,van_der_pol,optimized,99,98,4,4,8,0,0,0,0.02873902628198266,0.1079843956977129,0.700857862830162
vdp_boundary,van_der_pol,optimized,100,99,4,4,8,0,0,0,0.02873494615778327,0.10683236410841346,0.7017240920104086
vdp_boundary,van_der_pol,optimized,101,0,4,4,8,0,0,0,0.02899897564202547,0.10699275322258472,0.672181773930788
vdp_boundary,van_der_pol,optimized,102,1,4,4,8,0,0,0,0.028575508389621973,0.10583211714401841,0.661472056992352
vdp_boundary,van_der_pol,optimized,103,2,4,4,8,0,0,0,0.029800094198435545,0.11007646517828107,0.6739148190245032
vdp_boundary,van_der_pol,optimized,104,3,4,4,8,0,0,0,0.0289613944478333,0.10639657499268651,0.6669581760652363
vdp_boundary,van_der_pol,optimized,105,4,4,4,8,0,0,0,0.028817742131650448,0.1064024530351162,0.6565913017839193
vdp_boundary,van_der_pol,optimized,106,5,4,4,8,0,0,0,0.028740298934280872,0.10622581094503403,0.6732432576827705
vdp_boundary,van_der_pol,optimized,107,6,4,4,8,0,0,0,0.03035534778609872,0.11015819804742932,0.6780407321639359
vdp_boundary,van_der_pol,optimized,108,7,4,4,8,0,0,0,0.031137803103774786,0.11560128396376967,0.6825851169414818
vdp_boundary,van_der_pol,optimized,109,8,4,4,8,0,0,0,0.029256324283778667,0.10800761915743351,0.6699626012705266
vdp_boundary,van_der_pol,optimized,110,9,4,4,8,0,0,0,0.03130760928615928,0.11626525409519672,0.6830100929364562
