group,mode,count,setup_seconds_median,setup_seconds_min,setup_seconds_max,solve_seconds_median,solve_seconds_min,solve_seconds_max,export_seconds_median,export_seconds_min,export_seconds_max,whole_process_seconds_median,whole_process_seconds_min,whole_process_seconds_max,peak_rss_bytes_median,peak_rss_bytes_min,peak_rss_bytes_max
brusselator_early,optimized,3,0.0077673569321632385,0.0077223689295351505,0.007923305034637451,25.653921260032803,25.397950537502766,25.95212019700557,0.8680814560502768,0.8623188771307468,0.8912807181477547,28.886832517106086,28.41983034228906,29.212419212795794,460468224,460136448,460488704
brusselator_early,reference,3,0.007722703740000725,0.007689168211072683,0.008017015177756548,34.87327674822882,34.52955664508045,35.55365489330143,0.8760336493141949,0.862175312358886,0.8837231951765716,37.92387578682974,37.550282882060856,38.61035936884582,459743232,459395072,460034048
brusselator_full,optimized,1,0.007656326051801443,0.007656326051801443,0.007656326051801443,1454.6610955600627,1454.6610955600627,1454.6610955600627,93.26244529895484,93.26244529895484,93.26244529895484,1552.6585397748277,1552.6585397748277,1552.6585397748277,481824768,481824768,481824768
brusselator_full,reference,1,0.007506442256271839,0.007506442256271839,0.007506442256271839,1991.9435554370284,1991.9435554370284,1991.9435554370284,90.68284394219518,90.68284394219518,90.68284394219518,2087.20151814213,2087.20151814213,2087.20151814213,482635776,482635776,482635776
brusselator_late,optimized,3,0.3078807299025357,0.3031372232362628,0.31788127589970827,31.278837439138442,30.628850813489407,31.78469218313694,2.9493351792916656,2.9185963454656303,2.9596603820100427,36.76870377222076,36.06476013828069,37.43348165694624,481566720,481472512,481644544
brusselator_late,reference,3,0.30833340529352427,0.30284906504675746,0.3123274608515203,41.739447332918644,41.652751062531024,41.866653223056346,2.8880478157661855,2.861950653139502,2.9276532945223153,47.25523177580908,47.19663335708901,47.44665419589728,481824768,481685504,482017280
brusselator_middle,optimized,3,0.04674921417608857,0.045416628010571,0.047018982004374266,25.939720281865448,25.55215734289959,26.013534697704017,1.0474632089026272,1.0274418205954134,1.0526747065596282,29.258159808348864,28.762334695085883,29.331672824919224,461631488,461611008,462356480
brusselator_middle,reference,3,0.04749090317636728,0.046987117268145084,0.04871205985546112,37.13208051864058,36.706399792805314,37.89178375015035,1.0691052097827196,1.0504798758774996,1.0932277124375105,40.36931746592745,40.16272117011249,41.20161612890661,460705792,460476416,460787712
brusselator_prefix100,optimized,3,0.0076616560108959675,0.007543750107288361,0.007723510731011629,142.987089951057,142.738945777528,143.90004389174283,4.697549562435597,4.651897647883743,4.741266229655594,149.8667898089625,149.57659623399377,150.8171053598635,461570048,461410304,462102528
brusselator_prefix100,reference,3,0.007560048718005419,0.007527402602136135,0.007973855827003717,190.5160371735692,189.150265770033,191.15748037816957,4.615511768031865,4.602522822096944,4.616697520017624,197.32126521784812,195.92289767879993,198.17925903201103,460447744,460152832,461131776
van_der_pol_prefix100,optimized,3,0.007651612162590027,0.007599281147122383,0.007720614783465862,68.32931315759197,67.35631027864292,68.79641210194677,2.1069162995554507,2.066458225250244,2.1084814704954624,72.60288180224597,71.61210794514045,73.09628147166222,463368192,463171584,463413248
van_der_pol_prefix100,reference,3,0.007572879083454609,0.007486667949706316,0.00786024471744895,67.84159556310624,67.2133295708336,68.43908022530377,2.093887960072607,2.074380833655596,2.1098119164817035,72.10283919610083,71.46252797730267,72.71306093363091,463056896,462995456,463302656
vdp_adaptive,optimized,1,0.007788666058331728,0.007788666058331728,0.007788666058331728,179.55228186072782,179.55228186072782,179.55228186072782,4.9511315962299705,4.9511315962299705,4.9511315962299705,186.72861574031413,186.72861574031413,186.72861574031413,463814656,463814656,463814656
vdp_boundary,optimized,3,0.041373052168637514,0.040151285007596016,0.04247320769354701,13.79503161367029,13.715761432424188,13.951895804610103,0.4343697498552501,0.4338299846276641,0.4392301277257502,16.50475854612887,16.409324479755014,16.573135124053806,463257600,463101952,463355904
vdp_boundary,reference,3,0.04051268380135298,0.039981847163289785,0.0411696913652122,13.838731276337057,13.497292200569063,13.858299225568771,0.4354520086199045,0.4303634171374142,0.4464690648019314,16.48397207260132,16.121945603284985,16.686690497677773,463474688,463065088,463523840
vdp_early,optimized,3,0.0077538569457829,0.007641231641173363,0.0077819619327783585,12.339709469582886,12.30159693909809,12.35338532505557,0.34357909532263875,0.3429864775389433,0.34551931265741587,14.862371638882905,14.819271110929549,15.008273772895336,461553664,461496320,461987840
vdp_early,reference,3,0.007789821829646826,0.007770918775349855,0.00784872006624937,12.651415198575705,12.47231338918209,12.68616666086018,0.3508079801686108,0.34894912876188755,0.3582251281477511,15.157968806102872,14.987573756836355,15.396037195809186,461692928,461262848,461709312
vdp_full,optimized,1,0.00745671009644866,0.00745671009644866,0.00745671009644866,693.6573464274406,693.6573464274406,693.6573464274406,20.886315282899886,20.886315282899886,20.886315282899886,716.9708978109993,716.9708978109993,716.9708978109993,466374656,466374656,466374656
vdp_full,reference,1,0.008455405943095684,0.008455405943095684,0.008455405943095684,711.3774532219395,711.3774532219395,711.3774532219395,21.209890367928892,21.209890367928892,21.209890367928892,735.0037558688782,735.0037558688782,735.0037558688782,466337792,466337792,466337792
