window,category,seconds,fraction_of_profiled_step_time,scope
brusselator_early,boundary_and_endpoint_correction,16.092664021532983,0.6334804746255711,exclusive_20_step_profile_not_production_denominator
brusselator_early,candidate_construction_excluding_classified_polynomial_work,0.35514476150274277,0.013980113657782777,exclusive_20_step_profile_not_production_denominator
brusselator_early,initial_remainder_excluding_classified_polynomial_work,0.1307560447603464,0.005147152838343802,exclusive_20_step_profile_not_production_denominator
brusselator_early,other_including_unclassified_python,0.544078559614718,0.021417407566400936,exclusive_20_step_profile_not_production_denominator
brusselator_early,polynomial_multiply_truncate_range,5.569649280514568,0.2192467365873856,exclusive_20_step_profile_not_production_denominator
brusselator_early,python_objects_and_small_tensor_checks,0.9151398567482829,0.036024068483998285,exclusive_20_step_profile_not_production_denominator
brusselator_early,refinement_dynamic_and_dispatch,0.9059483441524208,0.03566224872848965,exclusive_20_step_profile_not_production_denominator
brusselator_early,refinement_fixed_preparation,0.8901866697706282,0.03504179751202782,exclusive_20_step_profile_not_production_denominator
brusselator_middle,boundary_and_endpoint_correction,16.67812082823366,0.6296612638066399,exclusive_20_step_profile_not_production_denominator
brusselator_middle,candidate_construction_excluding_classified_polynomial_work,0.3677957719191909,0.013885662117121333,exclusive_20_step_profile_not_production_denominator
brusselator_middle,initial_remainder_excluding_classified_polynomial_work,0.1352033973671496,0.005104432503752697,exclusive_20_step_profile_not_production_denominator
brusselator_middle,other_including_unclassified_python,0.5187372281216085,0.019584265038401077,exclusive_20_step_profile_not_production_denominator
brusselator_middle,polynomial_multiply_truncate_range,5.658215984236449,0.21361875622666157,exclusive_20_step_profile_not_production_denominator
brusselator_middle,python_objects_and_small_tensor_checks,1.0968154310248792,0.04140887319227391,exclusive_20_step_profile_not_production_denominator
brusselator_middle,refinement_dynamic_and_dispatch,1.1319916639477015,0.04273690717801202,exclusive_20_step_profile_not_production_denominator
brusselator_middle,refinement_fixed_preparation,0.9005690379999578,0.03399983993713749,exclusive_20_step_profile_not_production_denominator
brusselator_late,boundary_and_endpoint_correction,21.386547370813787,0.6886713838229359,exclusive_20_step_profile_not_production_denominator
brusselator_late,candidate_construction_excluding_classified_polynomial_work,0.3607980599626899,0.011618111840447183,exclusive_20_step_profile_not_production_denominator
brusselator_late,initial_remainder_excluding_classified_polynomial_work,0.132306057959795,0.004260406995271931,exclusive_20_step_profile_not_production_denominator
brusselator_late,other_including_unclassified_python,0.4414248657412827,0.014214387571449097,exclusive_20_step_profile_not_production_denominator
brusselator_late,polynomial_multiply_truncate_range,5.681763055734336,0.18295929484562276,exclusive_20_step_profile_not_production_denominator
brusselator_late,python_objects_and_small_tensor_checks,1.0494186230935156,0.03379248472624646,exclusive_20_step_profile_not_production_denominator
brusselator_late,refinement_dynamic_and_dispatch,1.1034197411499918,0.03553138273793258,exclusive_20_step_profile_not_production_denominator
brusselator_late,refinement_fixed_preparation,0.8991153724491596,0.028952547460094114,exclusive_20_step_profile_not_production_denominator
vdp_early,boundary_and_endpoint_correction,6.450052971020341,0.49902194993322657,exclusive_20_step_profile_not_production_denominator
vdp_early,candidate_construction_excluding_classified_polynomial_work,0.17088897852227092,0.013221186192954752,exclusive_20_step_profile_not_production_denominator
vdp_early,initial_remainder_excluding_classified_polynomial_work,1.0377948987297714,0.08029119083543922,exclusive_20_step_profile_not_production_denominator
vdp_early,other_including_unclassified_python,0.6543017914518714,0.05062143788308534,exclusive_20_step_profile_not_production_denominator
vdp_early,polynomial_multiply_truncate_range,2.1108495369553566,0.16331032577248406,exclusive_20_step_profile_not_production_denominator
vdp_early,python_objects_and_small_tensor_checks,0.44821099285036325,0.034676788646328525,exclusive_20_step_profile_not_production_denominator
vdp_early,refinement_dynamic_and_dispatch,1.4500888735055923,0.11218918363685398,exclusive_20_step_profile_not_production_denominator
vdp_early,refinement_fixed_preparation,0.6032012547366321,0.04666793709962755,exclusive_20_step_profile_not_production_denominator
vdp_boundary,boundary_and_endpoint_correction,7.513958073221147,0.5452049720058701,exclusive_20_step_profile_not_production_denominator
vdp_boundary,candidate_construction_excluding_classified_polynomial_work,0.16395166516304016,0.01189616206857697,exclusive_20_step_profile_not_production_denominator
vdp_boundary,initial_remainder_excluding_classified_polynomial_work,1.0110862874425948,0.07336336797050358,exclusive_20_step_profile_not_production_denominator
vdp_boundary,other_including_unclassified_python,0.6375509314239025,0.04626003157484679,exclusive_20_step_profile_not_production_denominator
vdp_boundary,polynomial_multiply_truncate_range,2.033817932009697,0.1475717109253224,exclusive_20_step_profile_not_production_denominator
vdp_boundary,python_objects_and_small_tensor_checks,0.4332189438864589,0.03143391537088737,exclusive_20_step_profile_not_production_denominator
vdp_boundary,refinement_dynamic_and_dispatch,1.4020906421355903,0.10173423671600633,exclusive_20_step_profile_not_production_denominator
vdp_boundary,refinement_fixed_preparation,0.5862212502397597,0.042535603367986445,exclusive_20_step_profile_not_production_denominator
