plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind
van_der_pol,91,90,91,A,representation_and_coefficients,0.024743911810219288,112,5,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,91,90,91,B,point_substitution,0.0008747968822717667,3,0,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,91,90,91,C,endpoint_error_and_ledger,0.011817659717053175,7,14,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,91,90,91,D,polynomial_interval_range,0.2787237670272589,113,4924,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,91,90,91,E,composition_and_cutoff,0.04867213545367122,75,796,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,91,90,91,F,center_scale_and_maps,0.0016544470563530922,5,4,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,91,90,91,G,history_checks_pack_propagate_commit,0.040988681837916374,30,380,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,91,90,91,H,other_boundary,0.003313853871077299,1,34,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,91,90,91,outside_boundary,nonboundary_or_unattributed,0.30739020835608244,0,101,,,0.7181794620119035,0.4107892536558211,0.30739020835608244,exclusive_wall_timer
van_der_pol,92,91,92,A,representation_and_coefficients,0.02663943776860833,112,5,,,0.711801344063133,0.41013302095234394,0.30166832311078906,exclusive_wall_timer
van_der_pol,92,91,92,B,point_substitution,0.0005114832893013954,3,0,,,0.711801344063133,0.41013302095234394,0.30166832311078906,exclusive_wall_timer
van_der_pol,92,91,92,C,endpoint_error_and_ledger,0.011551506351679564,7,14,,,0.711801344063133,0.41013302095234394,0.30166832311078906,exclusive_wall_timer
van_der_pol,92,91,92,D,polynomial_interval_range,0.2769609200768173,113,4895,,,0.711801344063133,0.41013302095234394,0.30166832311078906,exclusive_wall_timer
van_der_pol,92,91,92,E,composition_and_cutoff,0.04801581101492047,75,796,,,0.711801344063133,0.41013302095234394,0.30166832311078906,exclusive_wall_timer
van_der_pol,92,91,92,F,center_scale_and_maps,0.0016285930760204792,5,4,,,0.711801344063133,0.41013302095234394,0.30166832311078906,exclusive_wall_timer
van_der_pol,92,91,92,G,history_checks_pack_propagate_commit,0.041475596372038126,30,384,,,0.711801344063133,0.41013302095234394,0.30166832311078906,exclusive_wall_timer
van_der_pol,92,91,92,H,other_boundary,0.0033496730029582977,1,34,,,0.711801344063133,0.41013302095234394,0.30166832311078906,exclusive_wall_timer
