accepted_step,canonical_object_sha256,operator,implementation,stage_class,channel,component,lo,hi,lo_hex,hi_hex,width,exact_bernstein_lo,exact_bernstein_hi,exact_local_outward_contained
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,F,Flow*,reporting_endpoint,endpoint,1,2.932328304164717,2.9754593545047423,0x1.775688abc2e49p+1,0x1.7cdbda25166afp+1,0.04313105034002529,113441062815208950313161069/38685626227668133590597632,115106477422427739541546037/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,F,Flow*,reporting_tube,tube,0,1.4769643301053235,1.55879978141903,0x1.7a1a559729319p+0,0x1.8f0d80a234e92p+0,0.08183545131370651,894605100451405355770757/604462909807314587353088,125787732920604707302713235401281184780758857772790457245008410109719070432173039713309110464204295778515255939468678451/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,F,Flow*,reporting_tube,tube,1,2.930415343735598,3.023465371233725,0x1.7717d998853f4p+1,0x1.8300e9cd04c7dp+1,0.09305002749812674,236629530783504454876855990872513353376751071369870592537712735631343416959167742408394691532162636372531253791316869223/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,1825477994025084970355295/604462909807314587353088,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,G,Torch,boundary_normalization,boundary,0,-0.0230344725574358,0.023060448282472095,-0x1.79659494259f2p-6,0x1.79d287cd1387bp-6,0.04609492083990789,-888028081130654339259451/38685626227668133590597632,892107882898185538733757/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,G,Torch,boundary_normalization,boundary,1,-0.021578639535416548,0.021552410804604318,-0x1.618b5fc631c0ep-6,0x1.611d5ce3911f7p-6,0.04313105034002086,-832677120088054706826931/38685626227668133590597632,832737487130734521558133/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,H,Flow*,boundary_normalization,boundary,0,-0.023034472557435775,0.02306044828247207,-0x1.79659494259ebp-6,0x1.79d287cd13874p-6,0.04609492083990785,-888028081130654339259387/38685626227668133590597632,892107882898185538733725/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,H,Flow*,boundary_normalization,boundary,1,-0.02157863953541652,0.02155241080460428,-0x1.618b5fc631c06p-6,0x1.611d5ce3911ecp-6,0.0431310503400208,-832677120088054706826899/38685626227668133590597632,832737487130734521558069/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,X1,Torch,cutoff_payment,endpoint,0,1.5127036632418787,1.5587985840817924,0x1.83408c1a29cbdp+0,0x1.8f0d6c8baeb21p+0,0.04609492083991373,117045926847955168983337073/77371252455336267181195264,120606198768585208503610849/77371252455336267181195264,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,X1,Torch,cutoff_payment,endpoint,1,2.9323283041647143,2.975459354504746,0x1.775688abc2e43p+1,0x1.7cdbda25166b7p+1,0.04313105034003151,226882125637845540862034483/77371252455336267181195264,230212954844855479083091971/77371252455336267181195264,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,X2,Flow*,cutoff_payment,endpoint,0,1.5127036632418804,1.5587985840817908,0x1.83408c1a29cc5p+0,0x1.8f0d6c8baeb1ap+0,0.0460949208399104,117045926847955168983337073/77371252455336267181195264,120606198768585208503610849/77371252455336267181195264,True
