run_id,segment_index,t_lo,t_hi,h,symbolic_queue_mode,right_map_range_mode,endpoint_box_width_x,endpoint_box_width_y,endpoint_box_width_sum,endpoint_tm_width_x,endpoint_tm_width_y,endpoint_tm_width_sum,inserted_endpoint_width_x,inserted_endpoint_width_y,inserted_endpoint_width_sum,reset_width_sum,normalized_reset_width_x,normalized_reset_width_y,normalized_reset_width_sum,normal_state_right_width_x,normal_state_right_width_y,normal_state_right_width_sum,old_right_map_range_width_x,old_right_map_range_width_y,old_right_map_range_width_sum,normal_right_map_range_width_x,normal_right_map_range_width_y,normal_right_map_range_width_sum,insertion_truncation_width_x,insertion_truncation_width_y,insertion_truncation_width,insertion_truncation_width_sum,insertion_cutoff_width_x,insertion_cutoff_width_y,insertion_cutoff_width,insertion_cutoff_width_sum,insertion_truncation_ordinary_width,insertion_cutoff_ordinary_width,insertion_symbolic_candidate_width,composed_poly_range_width_x,composed_poly_range_width_y,composed_poly_range_width,composed_poly_range_width_sum,output_remainder_width_x,output_remainder_width_y,output_remainder_width,output_remainder_width_sum,queue_size,propagated_symbolic_width_x,propagated_symbolic_width_y,propagated_symbolic_width_sum,new_symbolic_width_x,new_symbolic_width_y,new_symbolic_width_sum,materialized_width_x,materialized_width_y,materialized_width_sum,materialized_for_output_width,ordinary_only_range_width,symbolic_contribution_width,total_range_width_with_symbolic,target_checked_width,linear_map_norm,scalars,j_count,phi_l_count,current_linear_map_entries,current_linear_map_norm,current_phi_l_map_entries,current_phi_l_map_norm,scalar_x,scalar_y,ordinary_step_remainder_width_x,ordinary_step_remainder_width_y,ordinary_step_remainder_width_sum,current_nonlinear_remainder_width_x,current_nonlinear_remainder_width_y,current_nonlinear_remainder_width_sum,reset_box_width_x,reset_box_width_y,reset_box_width_sum,right_map_range_width_x,right_map_range_width_y,right_map_range_width_sum,target_check_width_x,target_check_width_y,target_check_width_sum,output_only_symbolic_width_x,output_only_symbolic_width_y,output_only_symbolic_width_sum,target_check_exceeds_target,output_range_includes_symbolic_contributions,conservative,symqueue_approximation,scale_x,scale_y,center_x,center_y,tmv_right_degree,tmv_pre_degree,tmv_right_term_count,tmv_pre_term_count,terms_before_insertion_truncation,terms_after_insertion
flowstar_style_o4_target_insert_symqueue_v2,0,0,0.025000000000000001,0.025000000000000001,flowstar_linear_v2,standard,0.30185888519892706,0.15297292888236361,0.4548318140812907,0.30185888519892706,0.15297292888236361,0.4548318140812907,0.30185888519892451,0.15297292888235633,0.45483181408128082,0.4560413410703954,0.30187443901384775,0.15416690205654773,0.45604134107039551,1.9998969517593281,1.9845106419307743,3.9844075936901024,0.30185888519892451,0.15297292888235633,0.45483181408128082,0.30185888519892451,0.15297292888235633,0.45483181408128082,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.30185061690266951,0.15286270255279569,0.45471331945546523,0.45471331945546523,8.2682962549387762e-06,0.00011022632956060127,0.00011849462581554005,0.00011849462581554005,1,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,8.2682962549387762e-06,0.00011022632956060127,0.00011849462581554005,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,0.45604134107039551,9.8813129168249309e-324,0.45604134107039551,9.8813129168249309e-324,0.22622901324335731,6.6252711111730251;12.972953165177094,1,1,"0.14967145214843744,0.0012395594278971367;-0.026218948181152335,0.049099053485870417",0.22622901324335731,"0.14967145214843744,0.0012395594278971367;-0.026218948181152335,0.049099053485870417",0.22622901324335731,6.6252711111730251,12.972953165177094,8.2682962549387762e-06,0.00011022632956060127,0.00011849462581554005,3.6862046254938804e-05,0.0023369255483106032,0.0023737875945655418,0.30187443901384775,0.15416690205654773,0.45604134107039551,0.30185888519892451,0.15297292888235633,0.45483181408128082,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.15093721950692321,0.077083451028272409,1.3091480530492146,2.3302942066425647,3,4,10,31,10,10
flowstar_style_o4_target_insert_symqueue_v2,1,0.025000000000000001,0.043750000000000004,0.018750000000000003,flowstar_linear_v2,standard,0.30439290136938763,0.19398831495999727,0.49838121632938492,0.30439290136938763,0.19398831495999727,0.49838121632938492,0.30239785695284199,0.1915414081831768,0.49393926513601882,0.49584904747348579,0.30244242847338537,0.1934066190001005,0.4958490474734859,1.999705256165498,1.9807120270592169,3.9804172832247149,0.30239785695284199,0.1915414081831768,0.49393926513601882,0.30239785695284199,0.1915414081831768,0.49393926513601882,5.8856828228803796e-13,2.3894450868587573e-08,2.3895039436869861e-08,2.3895039436869861e-08,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.30238208423558016,0.19135819003599822,0.49374027427157841,0.49374027427157841,1.5772717261726773e-05,0.0001832181471785916,0.00019899086444031836,0.00019899086444031836,2,1.1238967453269553e-05,7.138014655274311e-05,8.2619114006012668e-05,1.5772717261726773e-05,0.0001832181471785916,0.00019899086444031836,1.1238967453269553e-05,7.138014655274311e-05,8.2619114006012668e-05,8.2619114006012668e-05,0.4958490474734859,8.2619114006012668e-05,0.49593166658749188,9.8813129168249309e-324,0.2449685658485691,6.6128287955339173;10.340907722496242,2,2,"0.14899699634213684,0.0021517761855213481;-0.045651071352668229,0.048168721968242699",0.2449685658485691,"0.98714549551711206,0.027914891676711864;-0.30245072422693131,0.62489057412044957",1.942401685541205,6.6128287955339173,10.340907722496242,1.5772717261726773e-05,0.0001832181471785916,0.00019899086444031836,0.000100311897524767,0.0039018215413545317,0.004002133438879299,0.30244242847338537,0.1934066190001005,0.4958490474734859,0.30239785695284199,0.1915414081831768,0.49393926513601882,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,1.1238967453269553e-05,7.138014655274311e-05,8.2619114006012668e-05,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.15122121423669194,0.096703309500048906,1.3523028984975192,2.2720696686888684,4,4,27,31,42,27
flowstar_style_o4_target_insert_symqueue_v2,2,0.043750000000000004,0.071875000000000008,0.028125000000000004,flowstar_linear_v2,standard,0.30702344272370691,0.25179207381349983,0.55881551653720674,0.30702344272370691,0.25179207381349983,0.55881551653720674,0.3018374859253054,0.24657181024386707,0.54840929616917244,0.55100026322559437,0.30194438250596717,0.24905588071962728,0.55100026322559448,1.9992919452266447,1.9800521034188792,3.9793440486455238,0.3018374859253054,0.24657181024386707,0.54840929616917244,0.3018374859253054,0.24657181024386707,0.54840929616917244,3.0863680525714612e-10,8.1915599793772103e-08,8.2224236599029249e-08,8.2224236599029249e-08,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.30180478153862328,0.24621356493673838,0.54801834647536163,0.54801834647536163,3.2704386682074168e-05,0.00035824530712864574,0.0003909496938107199,0.0003909496938107199,3,3.5301685810450008e-05,0.00013231262592764288,0.00016761431173809287,3.2704386682074168e-05,0.00035824530712864574,0.0003909496938107199,3.5301685810450008e-05,0.00013231262592764288,0.00016761431173809287,0.00016761431173809287,0.55100026322559448,0.00016761431173809287,0.55116787753733243,9.8813129168249309e-324,0.27110608039789214,6.6237364093385169;8.0303263437152346,3,3,"0.14731150335851187,0.0034824363169596237;-0.073929322943638159,0.046382817778782483",0.27110608039789214,"0.97414575132255865,0.036011552603149144;-0.48888195559601672,0.47964043855974775",1.978679698081472,6.6237364093385169,8.0303263437152346,3.2704386682074168e-05,0.00035824530712864574,0.0003909496938107199,0.00024960657436140369,0.0059475287990252979,0.0061971353733867012,0.30194438250596717,0.24905588071962728,0.55100026322559448,0.3018374859253054,0.24657181024386707,0.54840929616917244,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,3.5301685810450008e-05,0.00013231262592764288,0.00016761431173809287,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.15097219125298278,0.12452794035981225,1.4148763710059524,2.1759175788859051,4,4,28,31,130,28
flowstar_style_o4_target_insert_symqueue_v2,3,0.071875000000000008,0.092968750000000017,0.021093750000000001,flowstar_linear_v2,standard,0.30670248694340724,0.29150199946508365,0.59820448640849089,0.30670248694340724,0.29150199946508365,0.59820448640849089,0.30035633566814862,0.28483743154710106,0.58519376721524963,0.58798931200322668,0.30051774006901161,0.28747157193421519,0.58798931200322679,1.9989258244732915,1.9816737330276597,3.980599557500951,0.30035633566814862,0.28483743154710106,0.58519376721524963,0.30035633566814862,0.28483743154710106,0.58519376721524963,5.6759813254492458e-10,1.1162169073522533e-07,1.1218928886777026e-07,1.1218928886777026e-07,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.30030891339450927,0.28437006985343682,0.58467898324794609,0.58467898324794609,4.7422273639338545e-05,0.00046736169366418183,0.00051478396730352037,0.00051478396730352037,4,8.2143855509117733e-05,0.00020365765977612026,0.000285801515285238,4.7422273639338545e-05,0.00046736169366418183,0.00051478396730352037,8.2143855509117733e-05,0.00020365765977612026,0.000285801515285238,0.000285801515285238,0.58798931200322679,0.000285801515285238,0.58827511351851169,9.8813129168249309e-324,0.28884252034797231,6.6551811535010383;6.9572096696145431,4,4,"0.14553720755408908,0.0044440901632733258;-0.094101700702965321,0.044759521927644569",0.28884252034797231,"0.96400010058947649,0.035687494311979526;-0.62330486112690731,0.35943356806766386",1.9824260240960272,6.6551811535010383,6.9572096696145431,4.7422273639338545e-05,0.00046736169366418183,0.00051478396730352037,0.00039374023342285294,0.0071149862858804185,0.0075087265193032717,0.30051774006901161,0.28747157193421519,0.58798931200322679,0.30035633566814862,0.28483743154710106,0.58519376721524963,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,8.2143855509117733e-05,0.00020365765977612026,0.000285801515285238,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.15025887003450505,0.14373578596710654,1.4599566483652076,2.0975235654457456,4,4,28,31,134,28
flowstar_style_o4_target_insert_symqueue_v2,4,0.092968750000000017,0.10878906250000002,0.015820312500000003,flowstar_linear_v2,standard,0.30478316580305759,0.31819733758727337,0.62298050339033095,0.30478316580305759,0.31819733758727337,0.62298050339033095,0.2986661802047102,0.31150503773302002,0.61017121793773021,0.61294758763578505,0.29886899397376437,0.31407859366202079,0.61294758763578516,1.9986427915030147,1.9836120259009564,3.9822548174039714,0.2986661802047102,0.31150503773302002,0.61017121793773021,0.2986661802047102,0.31150503773302002,0.61017121793773021,5.0506788577175195e-10,1.1746032731628909e-07,1.1796539520206085e-07,1.1796539520206085e-07,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.29860677950027253,0.31096932963237672,0.60957610913264926,0.60957610913264926,5.9400704437580764e-05,0.00053570810064320891,0.00059510880508078969,0.00059510880508078969,5,0.00014528935756875973,0.00025918230475785914,0.00040447166232661889,5.9400704437580764e-05,0.00053570810064320891,0.00059510880508078969,0.00014528935756875973,0.00025918230475785914,0.00040447166232661889,0.00040447166232661889,0.61294758763578516,0.00040447166232661889,0.61335205929811198,9.8813129168249309e-324,0.30094620388249588,6.6918952461678733;6.3678328939291271,5,5,"0.14393380294356686,0.0051415769802859402;-0.10847278158669124,0.043398042371951814",0.30094620388249588,"0.95790553270175849,0.035771029084312886;-0.72190601168358204,0.30192928003248481",2.0175118535021381,6.6918952461678733,6.3678328939291271,5.9400704437580764e-05,0.00053570810064320891,0.00059510880508078969,0.00051542035700359947,0.0077633898157329845,0.0082788101727365847,0.29886899397376437,0.31407859366202079,0.61294758763578516,0.2986661802047102,0.31150503773302002,0.61017121793773021,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.00014528935756875973,0.00025918230475785914,0.00040447166232661889,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.14943449698688155,0.15703929683100912,1.4926536068307155,2.0355984750311635,4,4,28,31,134,28
flowstar_style_o4_target_insert_symqueue_v2,5,0.10878906250000002,0.13251953125000002,0.023730468750000004,flowstar_linear_v2,standard,0.30567972846273289,0.3575338841834857,0.66321361264621859,0.30567972846273289,0.3575338841834857,0.66321361264621859,0.29524013579431335,0.34788912388419657,0.64312925967850987,0.64560447862976167,0.29550040456139387,0.35010407406836791,0.64560447862976178,1.998238454072738,1.9873469042594636,3.9855853583322016,0.29524013579431335,0.34788912388419657,0.64312925967850987,0.29524013579431335,0.34788912388419657,0.64312925967850987,1.3661369842768606e-09,2.4856490803228774e-07,2.4993104501656462e-07,2.4993104501656462e-07,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.29515891979587361,0.34719966210075087,0.64235858189662443,0.64235858189662443,8.1215998439657287e-05,0.00068946178344562808,0.00077067778188528535,0.00077067778188528535,6,0.00021759494643910785,0.0003393599589906013,0.0005569549054297092,8.1215998439657287e-05,0.00068946178344562808,0.00077067778188528535,0.00021759494643910785,0.0003393599589906013,0.0005569549054297092,0.0005569549054297092,0.64560447862976178,0.0005569549054297092,0.64616143353519118,9.8813129168249309e-324,0.31699167687574692,6.7681802431660749;5.7125870509277599,6,6,"0.14111715749785575,0.006145197393574232;-0.12857690370938654,0.041152418274930429",0.31699167687574692,"0.94434123541262394,0.039131590102489532;-0.86042317069982821,0.26205172275583211",2.105947718970774,6.7681802431660749,5.7125870509277599,8.1215998439657287e-05,0.00068946178344562808,0.00077067778188528535,0.00071542601145237639,0.0084304799155618323,0.0091459059270142095,0.29550040456139387,0.35010407406836791,0.64560447862976178,0.29524013579431335,0.34788912388419657,0.64312925967850987,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.00021759494643910785,0.0003393599589906013,0.0005569549054297092,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.14775020228069632,0.17505203703418293,1.5398149631608393,1.9383434258624415,4,4,28,31,134,28
flowstar_style_o4_target_insert_symqueue_v2,6,0.13251953125000002,0.15031738281250001,0.017797851562500001,flowstar_linear_v2,standard,0.30136753562369295,0.3805953815672532,0.68196291719094615,0.30136753562369295,0.3805953815672532,0.68196291719094615,0.29200347775743235,0.37201624008428263,0.66401971784171498,0.66607076747416794,0.29229930028008072,0.37377146719408733,0.66607076747416805,1.997975893049597,1.9906080197989457,3.9885839128485427,0.29200347775743235,0.37201624008428263,0.66401971784171498,0.29200347775743235,0.37201624008428263,0.66401971784171498,8.4882337432994732e-10,2.5708994553612606e-07,2.5793876891045599e-07,2.5793876891045599e-07,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.29190438461136337,0.37123620309126332,0.66314058770262663,0.66314058770262663,9.9093146068903075e-05,0.00078003699301927825,0.00087913013908818129,0.00087913013908818129,7,0.00030701585575514432,0.00046853325629306303,0.00077554911204820735,9.9093146068903075e-05,0.00078003699301927825,0.00087913013908818129,0.00030701585575514432,0.00046853325629306303,0.00077554911204820735,0.00077554911204820735,0.66607076747416805,0.00077554911204820735,0.66684631658621629,9.8813129168249309e-324,0.32726397984058475,6.8423017026849271;5.3508632293793461,7,7,"0.13870423717037819,0.0068615615234004206;-0.14236642389868429,0.0393317572481219",0.32726397984058475,"0.93877527765997515,0.039197267507721394;-0.96356161752128155,0.22468608714585522",2.1662202498348333,6.8423017026849271,5.3508632293793461,9.9093146068903075e-05,0.00078003699301927825,0.00087913013908818129,0.00087188036987419389,0.0086198777906694706,0.0094917581605436646,0.29229930028008072,0.37377146719408733,0.66607076747416805,0.29200347775743235,0.37201624008428263,0.66401971784171498,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.00030701585575514432,0.00046853325629306303,0.00077554911204820735,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.14614965014003969,0.18688573359704269,1.5736415584975865,1.8624829621786041,4,4,28,31,134,28
flowstar_style_o4_target_insert_symqueue_v2,7,0.15031738281250001,0.163665771484375,0.013348388671875001,flowstar_linear_v2,standard,0.29708374941651755,0.39531338280833334,0.69239713222485089,0.29708374941651755,0.39531338280833334,0.69239713222485089,0.2892226776475087,0.38823711501759933,0.67745979266510803,0.67909099097284642,0.2895390638609921,0.38955192711185443,0.67909099097284653,1.9978145524872291,1.993249618329439,3.9910641708166681,0.2892226776475087,0.38823711501759933,0.67745979266510803,0.2892226776475087,0.38823711501759933,0.67745979266510803,6.1773296986943966e-10,2.18630281470311e-07,2.1924801444018045e-07,2.1924801444018045e-07,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.28910948954190591,0.38740188682486904,0.67651137636677494,0.67651137636677494,0.00011318810560274912,0.00083522819273020314,0.0009484162983329523,0.0009484162983329523,8,0.00040538204718293765,0.00061458032749577127,0.001019962374678709,0.00011318810560274912,0.00083522819273020314,0.0009484162983329523,0.00040538204718293765,0.00061458032749577127,0.001019962374678709,0.001019962374678709,0.67909099097284653,0.001019962374678709,0.68011095334752525,9.8813129168249309e-324,0.33393741477383321,6.9075307950854281;5.1341037248308501,8,8,"0.13673932697443728,0.0073770906436824218;-0.15191804873561759,0.037902948420095887",0.33393741477383321,"0.93561172978118312,0.03947380306507868;-1.0394691235322879,0.20281349298615306",2.2173681493647028,6.9075307950854281,5.1341037248308501,0.00011318810560274912,0.00083522819273020314,0.0009484162983329523,0.00098984241126831248,0.0085951207061715201,0.0095849631174398323,0.2895390638609921,0.38955192711185443,0.67909099097284653,0.2892226776475087,0.38823711501759933,0.67745979266510803,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.00040538204718293765,0.00061458032749577127,0.001019962374678709,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.14476953193049538,0.19477596355592647,1.5981151078735458,1.8042342945299252,4,4,28,31,134,28
flowstar_style_o4_target_insert_symqueue_v2,8,0.163665771484375,0.18368835449218751,0.020022583007812501,flowstar_linear_v2,standard,0.29687756439506524,0.41931372681397466,0.7161912912090399,0.29687756439506524,0.41931372681397466,0.7161912912090399,0.28452235664153264,0.40950918811419629,0.69403154475572892,0.69488316829494634,0.28485725593826455,0.4100259123566819,0.69488316829494645,1.9976486518089362,1.9974795532335292,3.9951282050424655,0.28452235664153264,0.40950918811419629,0.69403154475572892,0.28452235664153264,0.40950918811419629,0.69403154475572892,1.740580398195731e-09,3.3599762052581464e-07,3.3773820092401039e-07,3.3773820092401039e-07,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.28438545656868292,0.40855742384752886,0.69294288041621177,0.69294288041621177,0.00013690007284963073,0.00095176426666739673,0.0010886643395170274,0.0010886643395170274,9,0.00050108350966525232,0.00079706996418725941,0.0012981534738525117,0.00013690007284963073,0.00095176426666739673,0.0010886643395170274,0.00050108350966525232,0.00079706996418725941,0.0012981534738525117,0.0012981534738525117,0.69488316829494645,0.0012981534738525117,0.69618132176879899,9.8813129168249309e-324,0.3422559044521627,7.0210604023843395;4.8777405030446097,9,9,"0.13356474592370815,0.0081138578696018076;-0.16489836806536734,0.035678932593485396",0.3422559044521627,"0.92260259560577496,0.041657387911070744;-1.1390405554708565,0.18317934072620221",2.2864798797139048,7.0210604023843395,4.8777405030446097,0.00013690007284963073,0.00095176426666739673,0.0010886643395170274,0.0011651490549117165,0.0083545867964899979,0.0095197358514017144,0.28485725593826455,0.4100259123566819,0.69488316829494645,0.28452235664153264,0.40950918811419629,0.69403154475572892,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.00050108350966525232,0.00079706996418725941,0.0012981534738525117,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.14242862796913153,0.20501295617834028,1.6333515150901237,1.7151250664667168,4,4,28,31,134,28
flowstar_style_o4_target_insert_symqueue_v2,9,0.18368835449218751,0.19870529174804688,0.015016937255859376,flowstar_linear_v2,standard,0.29075647650380271,0.43042701263329058,0.72118348913709329,0.29075647650380271,0.43042701263329058,0.72118348913709329,0.28060987891491213,0.42353385815604733,0.70414373707095945,0.70465108076021687,0.28094741594714195,0.42370366481307503,0.70465108076021699,1.9975971515446003,1.9991984650068992,3.9967956165514993,0.28060987891491213,0.42353385815604733,0.70414373707095945,0.28060987891491213,0.42353385815604733,0.70414373707095945,1.253711172419723e-09,2.4550477768734144e-07,2.4675848885976114e-07,2.4675848885976114e-07,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,9.8813129168249309e-324,,,,0.28045426796385786,0.42251455946214617,0.70296882742600397,0.70296882742600397,0.00015561095105421876,0.0010192986939011196,0.0011749096449553383,0.0011749096449553383,10,0.0006062993751927944,0.0010163410128363711,0.0016226403880291655,0.00015561095105421876,0.0010192986939011196,0.0011749096449553383,0.0006062993751927944,0.0010163410128363711,0.0016226403880291655,0.0016226403880291655,0.70465108076021699,0.0016226403880291655,0.70627372114824605,9.8813129168249309e-324,0.34715648809837069,7.1187698710718701;4.7202801535416166,10,10,"0.13102241981425383,0.0086367967622873222;-0.17353415385109158,0.033963117670737945",0.34715648809837069,"0.91991632358243491,0.042128053383973421;-1.2183937760651709,0.16566327467222858",2.3461014277038075,7.1187698710718701,4.7202801535416166,0.00015561095105421876,0.0010192986939011196,0.0011749096449553383,0.0012914457618289654,0.0085393151123873568,0.0098307608742163217,0.28094741594714195,0.42370366481307503,0.70465108076021699,0.28060987891491213,0.42353385815604733,0.70414373707095945,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.0006062993751927944,0.0010163410128363711,0.0016226403880291655,False,True,True,"flowstar_linear_v2; old interval columns are propagated through degree-1 normalized-insertion maps with inverse reset scalars, while nonlinear polynomial terms and ordinary local remainders stay outside the queue",0.14047370797357023,0.21185183240653671,1.6585987346994966,1.6472515583356191,4,4,28,31,134,28
