run_id,mode,order,validation_mode,cutoff_threshold,target_remainder_radius,segment_index,status,validation_attempts,t_lo,t_hi,h,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,step_rejections,next_h,message
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,0,validated,1,0,0.050000000000000003,0.050000000000000003,1.2152021951955128,1.5176203335711063,2.1485106048241289,2.3526200118443046,0.3024181383755935,0.20410940702017566,0.50652754539576916,1,0.075000000000000011,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,1,validated,1,0.050000000000000003,0.087500000000000008,0.037500000000000006,1.2940802062335761,1.6026147142315497,1.9764563383083302,2.2567198466849621,0.30853450799797355,0.28026350837663183,0.58879801637460538,1,0.056250000000000008,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,2,validated,1,0.087500000000000008,0.14375000000000002,0.056250000000000008,1.4007879274676811,1.7214350296130958,1.6958728865574204,2.080580951550993,0.3206471021454147,0.38470806499357257,0.70535516713898727,0,0.084375000000000006,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,3,validated,1,0.14375000000000002,0.18593750000000003,0.042187500000000003,1.4695378906570096,1.8042090365605961,1.4739641931860059,1.9300064113928412,0.33467114590358649,0.45604221820683533,0.79071336411042181,1,0.063281250000000011,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,4,validated,1,0.18593750000000003,0.21757812500000004,0.031640625000000006,1.5145515807402599,1.8623463230473289,1.3051079077850622,1.8103697413786284,0.34779474230706908,0.50526183359356613,0.85305657590063522,1,0.047460937500000008,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,5,validated,1,0.21757812500000004,0.26503906250000003,0.047460937500000008,1.5728284093121701,1.9415770899384051,1.0564688724810467,1.623101039176428,0.368748680626235,0.5666321666953813,0.9353808473216163,0,0.071191406250000006,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,6,validated,1,0.26503906250000003,0.30063476562500002,0.035595703125000003,1.6084360394995003,1.9955917215553247,0.87561937161373815,1.4817238898963241,0.3871556820558244,0.60610451828258594,0.99326020033841034,1,0.053393554687500004,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,7,validated,1,0.30063476562500002,0.35402832031250003,0.053393554687500004,1.6509222493608831,2.0664613421705984,0.6227552928079525,1.2709786533289871,0.41553909280971535,0.64822336052103458,1.0637624533307499,0,0.080090332031250003,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,8,validated,1,0.35402832031250003,0.39407348632812506,0.040045166015625001,1.673680033068548,2.1129386284038656,0.44810669092712779,1.119664180584687,0.43925859533531764,0.67155748965755913,1.1108160849928768,1,0.060067749023437506,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,9,validated,1,0.39407348632812506,0.42410736083984379,0.030033874511718753,1.6860162696912895,2.1442033622615631,0.32662977921865743,1.0113234011168657,0.45818709257027357,0.68469362189820826,1.1428807144684818,1,0.045050811767578129,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,10,validated,1,0.42410736083984379,0.46915817260742193,0.045050811767578129,1.6984256670017044,2.1847648439869358,0.16272154493876576,0.85629143449902556,0.48633917698523144,0.69356988956025978,1.1799090665454912,0,0.06757621765136719,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,11,validated,1,0.46915817260742193,0.50294628143310549,0.033788108825683595,1.7027754051579909,2.2111037279835872,0.052520130701705407,0.74804198166561497,0.50832832282559637,0.69552185096390962,1.203850173789506,1,0.050682163238525396,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,12,validated,1,0.50294628143310549,0.55362844467163086,0.050682163238525396,1.7031398400555644,2.2436848865180834,-0.090514949697109062,0.59666976866219135,0.540545046462519,0.68718471835930039,1.2277297648218193,0,0.076023244857788094,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,13,validated,1,0.55362844467163086,0.59164006710052486,0.038011622428894047,1.6985828123184996,2.2636939310080817,-0.18302903287442196,0.49339117720928005,0.56511111868958208,0.67642021008370201,1.2415313287732841,1,0.057017433643341067,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,14,validated,1,0.59164006710052486,0.62014878392219541,0.028508716821670534,1.6928004071539193,2.276393661530153,-0.24466728726652359,0.42142786439994584,0.58359325437623366,0.66609515166646949,1.2496884060427031,1,0.042763075232505804,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,15,validated,1,0.62014878392219541,0.66291185915470119,0.042763075232505804,1.6811867727448031,2.2916225896211047,-0.32465705516826199,0.32079474332736724,0.61043581687630155,0.64545179849562917,1.2558876153719307,0,0.064144612848758706,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,16,validated,1,0.66291185915470119,0.69498416557908049,0.032072306424379353,1.6701900661721867,2.3005216228248493,-0.37654223890772548,0.2515330399317241,0.63033155665266261,0.62807527883944958,1.2584068354921123,1,0.048108459636569026,
flowstar_style_o6_target_r2e-4,flowstar_style,6,target_remainder,,0.00020000000000000001,17,validated,1,0.69498416557908049,0.74309262521564956,0.048108459636569026,1.6508732918879769,2.3098548161568062,-0.44188753114833701,0.1557108419140949,0.65898152426882928,0.59759837306243191,1.2565798973312612,0,0.072162689454853546,
