batch,device,controller,num_control_steps,plant_substeps,order,h,dtype,status,skip_reason,elapsed_ms,basis_mul_plan_ms,controller_bound_ms,plant_step_ms,plant_rhs_mul_trunc_ms,range_bound_ms,reset_ms,cuda_memory_allocated_bytes,cuda_memory_reserved_bytes,samples_checked,sample_violations,containment_pass,max_width,mean_width,speedup_vs_dense_cpu,controller_overhead_fraction,plant_overhead_fraction,dominant_operation,recommendation
1,cpu,affine,10,5,3,0.01,float64,ok,,34.4861774,2.01285258,2.85635237,23.9627343,0,6.09677937,0.718927942,0,0,9,0,yes,0.0809334531,0.0791458721,,0.0828260069,0.694850404,plant step,GPU_PATH_CONTINUE
8,cpu,affine,10,5,3,0.01,float64,ok,,34.9308997,0.210980885,2.21117679,25.5495692,0,5.76052628,0.717886724,0,0,72,0,yes,0.0809334531,0.0791458721,,0.0633014554,0.731431751,plant step,GPU_PATH_CONTINUE
32,cpu,affine,10,5,3,0.01,float64,ok,,35.8812595,0.19665435,2.44524889,25.9588463,0,6.04753476,0.719850883,0,0,144,0,yes,0.0809334531,0.0791458721,,0.0681483572,0.723465305,plant step,GPU_PATH_CONTINUE
128,cpu,affine,10,5,3,0.01,float64,ok,,40.7044441,0.197301619,2.45161913,29.5449896,0,7.22994003,0.757785514,0,0,144,0,yes,0.0809334531,0.0791458721,,0.0602297658,0.725841865,plant step,GPU_PATH_CONTINUE
512,cpu,affine,10,5,3,0.01,float64,ok,,58.3674675,0.191250816,2.7954001,42.1936316,0,11.6468985,0.920891762,0,0,144,0,yes,0.0809334531,0.0791458721,,0.0478931195,0.722896392,plant step,GPU_PATH_CONTINUE
2048,cpu,affine,10,5,3,0.01,float64,ok,,133.371701,0.193871558,3.76458187,93.0934539,0,33.8103985,1.83754228,0,0,144,0,yes,0.0809334531,0.0791458721,,0.0282262418,0.698000052,plant step,GPU_PATH_CONTINUE
1,cpu,relu_ibp,10,5,3,0.01,float64,ok,,32.7068493,0.208832324,2.53548659,23.3528987,0,5.47155831,0.679842196,0,0,9,0,yes,0.0872138521,0.0833042463,,0.0775215788,0.714006368,plant step,GPU_PATH_CONTINUE
8,cpu,relu_ibp,10,5,3,0.01,float64,ok,,35.1803433,0.195744447,2.65286583,25.3390633,0,5.77610079,0.723845325,0,0,72,0,yes,0.0872138521,0.0832608373,,0.0754076164,0.720261966,plant step,GPU_PATH_CONTINUE
32,cpu,relu_ibp,10,5,3,0.01,float64,ok,,36.0692739,0.190285966,2.73597147,25.8633038,0,6.04101829,0.716388226,0,0,144,0,yes,0.0872138521,0.08318059,,0.075853245,0.717045312,plant step,GPU_PATH_CONTINUE
128,cpu,relu_ibp,10,5,3,0.01,float64,ok,,40.6961562,0.198409893,2.89065577,28.9826142,0,7.27881491,0.774011016,0,0,144,0,yes,0.0872138521,0.0831913219,,0.0710301915,0.712170801,plant step,GPU_PATH_CONTINUE
512,cpu,relu_ibp,10,5,3,0.01,float64,ok,,53.3248959,0.196523964,3.32232378,36.5199568,0,11.6955787,0.948464498,0,0,144,0,yes,0.0872138521,0.0831872348,,0.0623034275,0.684857535,plant step,GPU_PATH_CONTINUE
2048,cpu,relu_ibp,10,5,3,0.01,float64,ok,,105.319518,0.198373571,4.14315984,65.2120067,0,33.3242603,1.72936823,0,0,144,0,yes,0.0872138521,0.0831866266,,0.0393389557,0.619182542,plant step,GPU_PATH_CONTINUE
1,cuda,affine,10,5,3,0.01,float64,ok,,249.578772,12.0986039,36.0252997,140.372863,0,69.5879729,1.54582225,8548352,23068672,9,0,yes,0.0809334531,0.0791458721,0.138177526,0.144344406,0.562439112,plant step,GPU_PATH_CONTINUE
8,cuda,affine,10,5,3,0.01,float64,ok,,120.057197,0.381460413,4.75958828,97.3697864,0,14.5886606,1.50777213,8555520,23068672,72,0,yes,0.0809334531,0.0791458721,0.290952151,0.0396443394,0.811028314,plant step,GPU_PATH_CONTINUE
32,cuda,affine,10,5,3,0.01,float64,ok,,114.588744,0.383529812,4.64810431,92.8659486,0,13.8267037,1.49027724,8577536,23068672,144,0,yes,0.0809334531,0.0791458721,0.313130751,0.0405633586,0.810428191,plant step,GPU_PATH_CONTINUE
128,cuda,affine,10,5,3,0.01,float64,ok,,115.057463,0.372197479,4.46729828,93.5073355,0,13.8844047,1.47231016,8699904,23068672,144,0,yes,0.0809334531,0.0791458721,0.353774914,0.0388266712,0.812701178,plant step,GPU_PATH_CONTINUE
512,cuda,affine,10,5,3,0.01,float64,ok,,115.348511,0.366624445,4.52110823,93.7326448,0,13.8762984,1.50656793,9191424,23068672,144,0,yes,0.0809334531,0.0791458721,0.506009716,0.0391952022,0.812603853,plant step,GPU_PATH_CONTINUE
2048,cuda,affine,10,5,3,0.01,float64,ok,,115.944743,0.363429077,4.42628283,94.0050939,0,14.2813148,1.49385724,11157504,25165824,144,0,yes,0.0809334531,0.0791458721,1.15030399,0.0381757957,0.810774955,plant step,GPU_PATH_CONTINUE
1,cuda,relu_ibp,10,5,3,0.01,float64,ok,,133.853084,0.515541062,22.2894503,94.62531,0,13.7623176,1.46251544,8549376,25165824,9,0,yes,0.0872138521,0.0833042463,0.244348865,0.166521753,0.706934102,plant step,GPU_PATH_CONTINUE
8,cuda,relu_ibp,10,5,3,0.01,float64,ok,,115.219763,0.365496613,5.87638095,92.435536,0,13.7232766,1.48544088,8556544,25165824,72,0,yes,0.0872138521,0.0832608373,0.305332545,0.051001502,0.802254179,plant step,GPU_PATH_CONTINUE
32,cuda,relu_ibp,10,5,3,0.01,float64,ok,,117.816347,0.366275199,7.17002805,93.376914,0,14.0120592,1.48832425,8578560,25165824,144,0,yes,0.0872138521,0.08318059,0.306148297,0.0608576675,0.792563313,plant step,GPU_PATH_CONTINUE
128,cuda,relu_ibp,10,5,3,0.01,float64,ok,,116.538339,0.358709134,5.91922645,93.476491,0,13.8863716,1.5247697,8701952,25165824,144,0,yes,0.0872138521,0.0831913219,0.349208307,0.0507920954,0.802109345,plant step,GPU_PATH_CONTINUE
512,cuda,relu_ibp,10,5,3,0.01,float64,ok,,117.057282,0.374821015,5.9350878,94.0221706,0,13.8709377,1.49481744,9199616,25165824,144,0,yes,0.0872138521,0.0831872348,0.455545313,0.050702423,0.803215053,plant step,GPU_PATH_CONTINUE
2048,cuda,relu_ibp,10,5,3,0.01,float64,ok,,121.812142,0.500012189,6.00301567,98.6820571,0,13.8918972,1.51657965,11190272,25165824,144,0,yes,0.0872138521,0.0831866266,0.864606069,0.0492809301,0.810116751,plant step,GPU_PATH_CONTINUE
