lane,formal_certified_horizon,first_failure_segment,first_failure_reason,T5_status,T10_status,T20_status
baseline_native_k2,4.3,44,property,FAILED,N/A (hierarchical gate stopped at T5),N/A (hierarchical gate stopped at T5)
candidate_k3,4.4,45,property,FAILED,N/A (hierarchical gate stopped at T5),N/A (hierarchical gate stopped at T5)
