lane,scope,kind,state,median_width,p95_width,maximum_width,worst_segment,worst_leaf
baseline_native_k2,own_formal_horizon,endpoint,x1,0.04230091611436376,0.15042842811895116,0.20942707530249913,43,0
baseline_native_k2,own_formal_horizon,endpoint,x2,0.0361162252695748,0.18822865515755988,0.2670063582453205,43,0
baseline_native_k2,own_formal_horizon,endpoint,x3,0.12061953821417457,1.1434234046168168,1.7815686148851175,43,0
baseline_native_k2,own_formal_horizon,endpoint,x4,0.2603991818115446,1.3603980394809592,2.4477467080630175,43,0
baseline_native_k2,own_formal_horizon,endpoint,u1,0.4954865951632339,2.8486590966583516,4.082912328279598,43,0
baseline_native_k2,own_formal_horizon,tube,x1,0.11404907792835678,0.2353388435895754,0.2900721928687521,43,0
baseline_native_k2,own_formal_horizon,tube,x2,0.13010465253576078,0.21387816553893493,0.3113591584002743,43,0
baseline_native_k2,own_formal_horizon,tube,x3,0.1903561554547264,1.1674325594799595,1.818591069728435,43,0
baseline_native_k2,own_formal_horizon,tube,x4,0.37264969463402164,1.4755440868288092,2.554788238557135,43,0
baseline_native_k2,own_formal_horizon,tube,u1,0.4954865951634595,2.848659096658618,4.082912328279866,43,0
baseline_native_k2,common_formal_horizon,endpoint,x1,0.04230091611436376,0.15042842811895116,0.20942707530249913,43,0
baseline_native_k2,common_formal_horizon,endpoint,x2,0.0361162252695748,0.18822865515755988,0.2670063582453205,43,0
baseline_native_k2,common_formal_horizon,endpoint,x3,0.12061953821417457,1.1434234046168168,1.7815686148851175,43,0
baseline_native_k2,common_formal_horizon,endpoint,x4,0.2603991818115446,1.3603980394809592,2.4477467080630175,43,0
baseline_native_k2,common_formal_horizon,endpoint,u1,0.4954865951632339,2.8486590966583516,4.082912328279598,43,0
baseline_native_k2,common_formal_horizon,tube,x1,0.11404907792835678,0.2353388435895754,0.2900721928687521,43,0
baseline_native_k2,common_formal_horizon,tube,x2,0.13010465253576078,0.21387816553893493,0.3113591584002743,43,0
baseline_native_k2,common_formal_horizon,tube,x3,0.1903561554547264,1.1674325594799595,1.818591069728435,43,0
baseline_native_k2,common_formal_horizon,tube,x4,0.37264969463402164,1.4755440868288092,2.554788238557135,43,0
baseline_native_k2,common_formal_horizon,tube,u1,0.4954865951634595,2.848659096658618,4.082912328279866,43,0
baseline_native_k2,diagnostic_propagation,endpoint,x1,0.04559437152840601,0.25232423215185235,0.38235449986028197,48,0
baseline_native_k2,diagnostic_propagation,endpoint,x2,0.04346739352067388,0.3248507770197786,0.5494927673079948,48,0
baseline_native_k2,diagnostic_propagation,endpoint,x3,0.16999466791990786,2.1203452772527642,3.490831738205163,48,0
baseline_native_k2,diagnostic_propagation,endpoint,x4,0.2755940437438731,2.843771156940868,4.485259033260848,48,0
baseline_native_k2,diagnostic_propagation,endpoint,u1,0.5365861501096365,3.2166590954999776,4.082912328320134,48,0
baseline_native_k2,diagnostic_propagation,tube,x1,0.11761967666154083,0.3222792120960545,0.4364262085312944,48,0
baseline_native_k2,diagnostic_propagation,tube,x2,0.13616613834750874,0.38294399367553306,0.6205570524363546,48,0
baseline_native_k2,diagnostic_propagation,tube,x3,0.2481424540543112,2.1889527247912604,3.5854356158669862,48,0
baseline_native_k2,diagnostic_propagation,tube,x4,0.39359896327968125,2.9574357103346225,4.591058552163663,48,0
baseline_native_k2,diagnostic_propagation,tube,u1,0.5365861501098586,3.216659095500244,4.0829123283204005,48,0
candidate_k3,own_formal_horizon,endpoint,x1,0.03410799712193019,0.10451154921014089,0.16236990307265853,44,0
candidate_k3,own_formal_horizon,endpoint,x2,0.02881346955031855,0.14376153097025515,0.22453172188688364,44,0
candidate_k3,own_formal_horizon,endpoint,x3,0.12103581981868308,1.188611740872958,1.9071688860176754,44,0
candidate_k3,own_formal_horizon,endpoint,x4,0.254562111670693,1.457441147495782,2.5723577027418436,44,0
candidate_k3,own_formal_horizon,endpoint,u1,0.49044325419876955,2.572251699318689,3.5914085265935505,44,0
candidate_k3,own_formal_horizon,tube,x1,0.10840045597351224,0.1891335312846078,0.23951220861707995,44,0
candidate_k3,own_formal_horizon,tube,x2,0.11610876801497019,0.17576765154111929,0.2762316455354501,44,0
candidate_k3,own_formal_horizon,tube,x3,0.19375887724118104,1.2138864110728698,1.9580142826940488,44,0
candidate_k3,own_formal_horizon,tube,x4,0.36862230257471745,1.5773023955231946,2.683672618466641,44,0
candidate_k3,own_formal_horizon,tube,u1,0.49044325419899515,2.572251699318959,3.591408526593817,44,0
candidate_k3,common_formal_horizon,endpoint,x1,0.03391425048646923,0.09395552898869336,0.14453022916582048,43,0
candidate_k3,common_formal_horizon,endpoint,x2,0.02875812982046566,0.13109194248575784,0.19815887435990398,43,0
candidate_k3,common_formal_horizon,endpoint,x3,0.12047383971436376,1.0615717053554468,1.6707071345731292,43,0
candidate_k3,common_formal_horizon,endpoint,x4,0.2512103697032221,1.2260526528434066,2.2139689241183476,43,0
candidate_k3,common_formal_horizon,endpoint,u1,0.4738706016689562,2.397816103138887,3.591408526585937,43,0
candidate_k3,common_formal_horizon,tube,x1,0.10752786860201136,0.17992772484586544,0.22517459321988714,43,0
candidate_k3,common_formal_horizon,tube,x2,0.11532087867678834,0.15554611607176966,0.24250179405337913,43,0
candidate_k3,common_formal_horizon,tube,x3,0.18714566865229743,1.0871219221006092,1.7094993857402845,43,0
candidate_k3,common_formal_horizon,tube,x4,0.3632914336436615,1.344179699646015,2.32646831031481,43,0
candidate_k3,common_formal_horizon,tube,u1,0.4738706016691818,2.3978161031391565,3.5914085265862035,43,0
candidate_k3,diagnostic_propagation,endpoint,x1,0.03467629390173477,0.1622576489236863,0.2732748106580736,48,0
