source,t_before,h_try,status,raw_ctrunc_residual_x_lo,raw_ctrunc_residual_x_hi,raw_ctrunc_residual_y_lo,raw_ctrunc_residual_y_hi,expression_evaluate_remainder_x_lo,expression_evaluate_remainder_x_hi,expression_evaluate_remainder_y_lo,expression_evaluate_remainder_y_hi,horner_insert_ctrunc_remainder_x_lo,horner_insert_ctrunc_remainder_x_hi,horner_insert_ctrunc_remainder_y_lo,horner_insert_ctrunc_remainder_y_hi,int_trunc_dropped_terms_x_lo,int_trunc_dropped_terms_x_hi,int_trunc_dropped_terms_y_lo,int_trunc_dropped_terms_y_hi,int_trunc2_dropped_terms_x_lo,int_trunc2_dropped_terms_x_hi,int_trunc2_dropped_terms_y_lo,int_trunc2_dropped_terms_y_hi,mul_ctrunc_normal_remainder_x_lo,mul_ctrunc_normal_remainder_x_hi,mul_ctrunc_normal_remainder_y_lo,mul_ctrunc_normal_remainder_y_hi,accumulated_remainder_before_x0_add_x_lo,accumulated_remainder_before_x0_add_x_hi,accumulated_remainder_before_x0_add_y_lo,accumulated_remainder_before_x0_add_y_hi,accumulated_remainder_after_x0_add_x_lo,accumulated_remainder_after_x0_add_x_hi,accumulated_remainder_after_x0_add_y_lo,accumulated_remainder_after_x0_add_y_hi,intermediate_ranges_entry_count,source_path,raw_y_hi_delta_vs_flowstar,component_matching_raw_y_hi_delta,missing_fields,notes
flowstar,9.9999999999999998e-13,0.025000000000000001,rejected,-5.703499317169186e-06,9.6267419600486733e-06,-8.3561112430812905e-05,0.00010832839036914122,-5.703499317169186e-06,9.6267419600486733e-06,-8.3561112430812905e-05,0.00010832839036914122,,,,,,,-4.0286032915115376e-06,1.5072147467136393e-06,,,-4.6558726699055393e-05,6.6151732498770011e-05,,,-7.1237867352530167e-05,9.707824339525425e-05,-5.703499317169186e-06,9.6267419600486733e-06,-8.3561112430812905e-05,0.00010832839036914122,-5.703499317169186e-06,9.6267419600486733e-06,-8.3561112430812905e-05,0.00010832839036914122,8,TaylorModelVec::Picard_ctrunc_normal(Expression) -> Expression::evaluate -> TaylorModel::mul_insert_ctrunc_normal -> TaylorModelVec::integral_time -> result = tmvTmp2 + x0,0,reference,flowstar.horner_insert_ctrunc_remainder_x_hi; flowstar.horner_insert_ctrunc_remainder_x_lo; flowstar.horner_insert_ctrunc_remainder_y_hi; flowstar.horner_insert_ctrunc_remainder_y_lo,"probe-only duplicate Expression::evaluate path; Van der Pol y expression maps entries as const, x^2 intPoly1/intPoly2/intTrunc, outer product intPoly1/intPoly2/intTrunc; Horner path is not used by this Expression ODE call; blank internal columns mean unknown, not zero"
torch_noqueue,0,0.025000000000000001,accepted,-3.5138681795527176e-06,4.7947406664619514e-06,-5.1533345624557196e-05,5.8769251659495075e-05,-2.5000000000000011e-06,2.5000000000000011e-06,-3.0506936197884941e-05,2.8947833100805121e-05,,,,,-1.0138671795527157e-06,2.2947396664619475e-06,-2.1026408426672235e-05,2.9821417558689934e-05,-1.0138671795527157e-06,2.2947396664619475e-06,-2.1026408426672235e-05,2.9821417558689934e-05,-2.5000000000000006e-06,2.5000000000000006e-06,-3.0506936197884938e-05,2.8947833100805118e-05,-3.5138671795527174e-06,4.7947396664619503e-06,-5.1533344624557186e-05,5.8769250659495065e-05,-3.5138681795527176e-06,4.7947406664619514e-06,-5.1533345624557196e-05,5.8769251659495075e-05,,,-4.955913870964615e-05,accumulated_remainder_before_x0_add_gap,torch_noqueue.horner_insert_ctrunc_remainder_x_hi; torch_noqueue.horner_insert_ctrunc_remainder_x_lo; torch_noqueue.horner_insert_ctrunc_remainder_y_hi; torch_noqueue.horner_insert_ctrunc_remainder_y_lo,"expression_evaluate_remainder from raw_remainder_integration_remainder; int_trunc_dropped_terms from raw_remainder_dropped_terms_range; int_trunc2_dropped_terms from raw_remainder_dropped_terms_range; mul_ctrunc_normal_remainder from raw_remainder_multiplication_remainder; accumulated_remainder_before_x0_add from raw_remainder_after_cutoff; accumulated_remainder_after_x0_add from raw_ctrunc_residual; blank internal columns mean unknown, not zero"
torch_v2,0,0.025000000000000001,accepted,-3.5138681795527176e-06,4.7947406664619514e-06,-5.1533345624557196e-05,5.8769251659495075e-05,-2.5000000000000011e-06,2.5000000000000011e-06,-3.0506936197884941e-05,2.8947833100805121e-05,,,,,-1.0138671795527157e-06,2.2947396664619475e-06,-2.1026408426672235e-05,2.9821417558689934e-05,-1.0138671795527157e-06,2.2947396664619475e-06,-2.1026408426672235e-05,2.9821417558689934e-05,-2.5000000000000006e-06,2.5000000000000006e-06,-3.0506936197884938e-05,2.8947833100805118e-05,-3.5138671795527174e-06,4.7947396664619503e-06,-5.1533344624557186e-05,5.8769250659495065e-05,-3.5138681795527176e-06,4.7947406664619514e-06,-5.1533345624557196e-05,5.8769251659495075e-05,,,-4.955913870964615e-05,accumulated_remainder_before_x0_add_gap,torch_v2.horner_insert_ctrunc_remainder_x_hi; torch_v2.horner_insert_ctrunc_remainder_x_lo; torch_v2.horner_insert_ctrunc_remainder_y_hi; torch_v2.horner_insert_ctrunc_remainder_y_lo,"expression_evaluate_remainder from raw_remainder_integration_remainder; int_trunc_dropped_terms from raw_remainder_dropped_terms_range; int_trunc2_dropped_terms from raw_remainder_dropped_terms_range; mul_ctrunc_normal_remainder from raw_remainder_multiplication_remainder; accumulated_remainder_before_x0_add from raw_remainder_after_cutoff; accumulated_remainder_after_x0_add from raw_ctrunc_residual; blank internal columns mean unknown, not zero"
