plant,optimization,baseline_s,candidate_s,speedup,accepted_steps,bitwise_equal,samples,source
vdp,prepared remainder replay,711.3774532219395,693.6573464274406,1.0255459080564246,1000,True,1,artifacts/runs/repaired_solver_performance_20260908T034636Z/RESULT.json
vdp,ordered tensor range after prepared replay,696.1642418624833,575.061501129996,1.2105909376553992,1000,True,1,artifacts/runs/boundary_execution_20260908T172756Z/RESULT.json
brusselator,prepared remainder replay,1991.9435554370284,1454.6610955600627,1.3693523264744392,1000,True,1,artifacts/runs/repaired_solver_performance_20260908T034636Z/RESULT.json
brusselator,ordered tensor range after prepared replay,1440.1022867751308,1121.579599372577,1.2839947227827064,1000,True,1,artifacts/runs/boundary_execution_20260908T172756Z/RESULT.json
