plant,layer,local_speedup,online_speedup,online_wall_s,samples,target_met,source
van_der_pol,offline range batch including pack and transfer,4.3339046401104335,,,5,True,artifacts/runs/range_batch_device_20260909T030609Z/RESULT.json
van_der_pol,live range service B32x20 prefix,,1.1055661911342973,,3,True,artifacts/runs/live_range_solver_20260909T053007Z/RESULT.json
van_der_pol,packet online B32x20,,1.0495176363027603,,5,False,artifacts/runs/live_gpu_packets_20260910T023603Z/RESULT.json
van_der_pol,resident composition B32x20,42.31351633186492,1.1376411384882839,249.890460868,5,False,artifacts/runs/resident_tm_block_20260914T032650Z/RESULT.json
brusselator,offline range batch including pack and transfer,4.3387318447874055,,,5,True,artifacts/runs/range_batch_device_20260909T030609Z/RESULT.json
brusselator,live range service B32x20 prefix,,1.1133187386778973,,3,True,artifacts/runs/live_range_solver_20260909T053007Z/RESULT.json
brusselator,packet online B32x20,,1.0368809219448107,,5,False,artifacts/runs/live_gpu_packets_20260910T023603Z/RESULT.json
brusselator,resident composition B32x20,49.57266047874484,1.16055327714959,355.176660497,5,False,artifacts/runs/resident_tm_block_20260914T032650Z/RESULT.json
