stage,aten_event_count,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,host_scalar_sync_percent,aten_to_count,aten_to_percent
sin_tm,287109,3293,3293,3293,50.007593014426725,10308,84.9303781824174
tora_rhs,29309,1440,1440,1440,21.867881548974943,181,1.4913075718876163
affine_composition,16398,160,160,160,2.4297646165527715,669,5.512070528137102
remainder_picard_round_01,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_02,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_03,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_04,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_05,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_06,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_07,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_08,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_09,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
remainder_picard_round_10,2356,124,124,124,1.8830675778283978,44,0.36252780753069125
initial_remainder_picard,2297,119,119,119,1.8071374335611237,44,0.36252780753069125
polynomial_picard_k1,2168,100,100,100,1.5186028853454823,44,0.36252780753069125
polynomial_picard_k2,2168,100,100,100,1.5186028853454823,44,0.36252780753069125
full_q3_step,341,25,25,25,0.37965072133637057,3,0.024717805058910768
composed_exact_endpoint_substitution,4514,21,21,21,0.31890660592255127,78,0.64266293153168
endpoint_projection,4715,20,20,20,0.30372057706909644,78,0.64266293153168
exact_endpoint_substitution,4508,20,20,20,0.30372057706909644,78,0.64266293153168
final_acceptance_property_decision,3635,15,15,15,0.22779043280182232,43,0.354288539177721
unscoped,3550,13,13,13,0.19741837509491267,43,0.354288539177721
natural_polynomial_range_picard_roundoff,1122,9,9,9,0.1366742596810934,42,0.3460492708247508
natural_polynomial_range_tube,1134,9,9,9,0.1366742596810934,42,0.3460492708247508
composed_acceptance_property_decision,75,1,1,1,0.015186028853454821,0,0.0
