operator,event_count,self_cpu_time_us,most_common_input_shapes,most_common_input_shapes_count
aten::as_strided,55915,42967.52200002481,"[[48],[],[],[]]",20086
aten::empty_strided,26784,113208.29800001148,"[[],[],[],[],[],[]]",26784
aten::empty_like,21919,55831.89199998717,"[[48,1],[],[],[],[],[]]",12168
aten::fill_,21281,94931.8589999724,"[[48,1],[]]",12160
aten::empty,16325,55739.53600000274,"[[],[],[],[],[],[]]",16325
aten::full_like,16160,57257.00699999383,"[[48,1],[],[],[],[],[],[]]",10114
aten::nextafter,16158,122680.18200002617,"[[48,1],[48,1]]",10114
aten::mul,13369,102256.79199999338,"[[48,1],[48,1]]",5919
aten::abs,13086,69506.29399999068,[[48]],4558
aten::to,12137,8429.414000007248,"[[48],[],[],[],[]]",7934
aten::resize_,11011,30664.327000001547,"[[0],[],[]]",11011
aten::unsqueeze,10975,24583.338999987143,"[[48],[]]",10230
aten::copy_,10356,60428.38999999889,"[[],[],[]]",3879
aten::pow,7939,84199.11500005532,"[[48],[]]",7934
aten::result_type,7934,1993.0589999913354,"[[48],[]]",7934
aten::view,7394,11688.83599999646,"[[96],[]]",2456
aten::cat,7131,79967.6650000066,"[[],[]]",7131
aten::stack,6900,48241.77600000496,"[[],[]]",6900
aten::item,6585,11221.162999994267,[[]],6585
aten::_local_scalar_dense,6585,26393.11099997455,[[]],6585
aten::select,6347,24821.23399998153,"[[48,6],[],[]]",2226
aten::le,5894,55538.10100001265,"[[48,1],[48,1]]",2674
aten::max,5777,103593.52799997854,"[[2,48],[],[]]",2456
aten::slice,5174,20923.64899999323,"[[48,6],[],[],[],[]]",2266
aten::all,5069,67523.47300002495,"[[48,1]]",2869
aten::is_nonzero,4830,6802.602999997576,[[]],4830
aten::min,4639,91812.30299999932,"[[2,48],[],[]]",2456
aten::add,4049,34372.4289999911,"[[48,1],[48,1],[]]",2457
aten::_to_copy,3926,17835.320000008618,"[[],[],[],[],[],[],[]]",3874
aten::div,3369,31866.167999992227,"[[48,1],[]]",3354
aten::clone,3255,14102.486000017014,"[[48,1],[]]",1190
aten::zero_,3249,8595.760999995928,"[[48,1]]",1937
aten::zeros_like,3150,9220.96299999184,"[[48,1],[],[],[],[],[]]",1937
aten::lift_fresh,2978,673.8679999976321,[[]],2961
aten::expand,2702,7336.2080000083515,"[[1,84],[],[]]",1680
aten::index_select,2592,36847.02000001176,"[[48,4],[],[84]]",1680
aten::gather,2592,29598.507000007812,"[[48,4],[],[48,84],[],[48,84]]",1680
aten::neg,1797,12866.0130000077,"[[48,1]]",1781
aten::maximum,1757,15062.406999995423,"[[48],[48]]",1138
aten::where,1738,20519.285999982996,"[[48],[48],[48]]",1511
aten::ones_like,1431,4040.010999995735,"[[48],[],[],[],[],[]]",1138
aten::minimum,1407,13484.239000007146,"[[48],[48]]",1138
aten::ge,1355,14000.810999999972,"[[48],[]]",1138
aten::__and__,1149,2038.196000005788,"[[48],[48]]",1149
aten::bitwise_and,1149,10458.56800000435,"[[48],[48]]",1149
aten::detach,1143,2153.4000000057567,[[]],1138
aten::contiguous,1138,2195.567999998879,"[[84],[]]",840
aten::eq,1027,7978.1279999939,"[[48,6],[48,6]]",730
aten::sub,852,7237.8499999914475,"[[48,6],[48,6],[]]",350
aten::ne,755,7915.526000002575,"[[48,6],[]]",380
aten::isfinite,654,4926.672000002459,"[[48,6]]",380
aten::sum,431,6273.07999999763,"[[48,1,84],[],[],[]]",260
aten::__iand__,362,1030.8630000009803,"[[48,6],[48,6]]",350
aten::bitwise_and_,362,1873.7179999989412,"[[48,6],[48,6]]",350
aten::__ior__,357,671.5439999962878,"[[48,6],[48,6]]",350
aten::bitwise_or_,357,1627.271000003871,"[[48,6],[48,6]]",350
aten::allclose,352,2286.975999996752,"[[48,6],[48,6],[],[],[]]",350
aten::isclose,352,7736.418000000647,"[[48,6],[48,6],[],[],[]]",350
aten::ones,206,1070.4259999960195,"[[],[],[],[],[]]",206
aten::arange,206,1381.517999998221,"[[],[],[],[],[]]",103
aten::any,127,1653.8530000006986,"[[48,1]]",93
aten::zeros,99,388.07900000180234,"[[],[],[],[],[]]",99
aten::expand_as,78,148.86999999712862,"[[1,1,455],[48,1,455]]",26
aten::scatter_add_,78,1216.4779999959574,"[[48,1,84],[],[48,1,455],[48,1,455]]",39
aten::reshape,46,106.45999999856576,"[[1],[]]",15
aten::index_put_,41,138.21900000004098,"[[48,84],[],[48,21],[]]",12
aten::_index_put_impl_,41,678.2549999989569,"[[48,84],[],[48,21],[],[]]",12
aten::nonzero,35,1214.3450000062585,[[84]],30
aten::t,35,60.180999998003244,"[[1,1]]",15
aten::transpose,35,168.7250000005588,"[[1,1],[],[]]",15
aten::set_,35,112.26899999938905,"[[1,1],[1,1]]",15
aten::gt,26,352.20000000024174,"[[48,1],[]]",26
aten::bincount,15,408.71099999970465,"[[455],[],[]]",15
aten::rsub,15,87.55100000090897,"[[84],[],[]]",15
aten::resolve_conj,5,2.681999999564141,"[[84,6]]",5
aten::resolve_neg,5,1.2830000007525086,"[[84,6]]",5
aten::index,5,108.33900000015274,"[[48,5,56],[]]",5
aten::squeeze,5,26.933999999426305,"[[48,5,1],[]]",5
aten::bmm,2,221.60200000042096,"[[48,5,84],[48,84,84]]",2
aten::detach_,1,1.5630000000237487,[[5]],1
aten::broadcast_tensors,1,2.966000000014901,[[]],1
