stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
sin_tm,<stack-unavailable>:0:unknown,[[]],3293,3293,3293,50.007593014426725
tora_rhs,<stack-unavailable>:0:unknown,[[]],1440,1440,1440,21.867881548974943
affine_composition,<stack-unavailable>:0:unknown,[[]],160,160,160,2.4297646165527715
remainder_picard_round_01,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_02,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_03,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_04,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_05,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_06,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_07,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_08,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_09,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
remainder_picard_round_10,<stack-unavailable>:0:unknown,[[]],124,124,124,1.8830675778283978
initial_remainder_picard,<stack-unavailable>:0:unknown,[[]],119,119,119,1.8071374335611237
polynomial_picard_k1,<stack-unavailable>:0:unknown,[[]],100,100,100,1.5186028853454823
polynomial_picard_k2,<stack-unavailable>:0:unknown,[[]],100,100,100,1.5186028853454823
full_q3_step,<stack-unavailable>:0:unknown,[[]],25,25,25,0.37965072133637057
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,[[]],21,21,21,0.31890660592255127
exact_endpoint_substitution,<stack-unavailable>:0:unknown,[[]],20,20,20,0.30372057706909644
endpoint_projection,<stack-unavailable>:0:unknown,[[]],20,20,20,0.30372057706909644
final_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],15,15,15,0.22779043280182232
unscoped,<stack-unavailable>:0:unknown,[[]],13,13,13,0.19741837509491267
natural_polynomial_range_picard_roundoff,<stack-unavailable>:0:unknown,[[]],9,9,9,0.1366742596810934
natural_polynomial_range_tube,<stack-unavailable>:0:unknown,[[]],9,9,9,0.1366742596810934
composed_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],1,1,1,0.015186028853454821
