batch,device,dtype,depth,leaves_per_owner,total_leaves,execution_mode,compile_s,compile_status,setup_s,first_call_s,warmup_repeats,warmup_total_s,steady_repeats,steady_min_s,steady_median_s,steady_mean_s,natural_range_median_s,leaf_evaluation_median_s,hull_median_s,range_attribution_median_s,coverage_valid,finite
1,cpu,float64,1,4,4,eager,0.0,not_applicable_eager_path,0.003878489136695862,0.003856707364320755,2,0.0054450808092951775,10,0.0026600388810038567,0.0026913457550108433,0.0027253725565969944,0.000776954460889101,0.0008930005133152008,3.629736602306366e-05,0.002682199701666832,True,True
1,cpu,float64,3,16,16,eager,0.0,not_applicable_eager_path,8.62274318933487e-05,0.003802381455898285,2,0.007501685991883278,10,0.0037521719932556152,0.003764839842915535,0.0038050156086683272,0.000796259380877018,0.0010430137626826763,3.678957000374794e-05,0.003756388556212187,True,True
1,cpu,float64,5,64,64,eager,0.0,not_applicable_eager_path,8.876901119947433e-05,0.007831649854779243,2,0.015268044546246529,10,0.0075423140078783035,0.007640625350177288,0.007639202009886503,0.0007945080287754536,0.0013543283566832542,3.8615893572568893e-05,0.007632281631231308,True,True
16,cpu,float64,1,4,64,eager,0.0,not_applicable_eager_path,0.00011820904910564423,0.009314009919762611,2,0.018890831619501114,10,0.009297829121351242,0.009385298937559128,0.00942782936617732,0.0009719370864331722,0.001499941572546959,3.774929791688919e-05,0.009376953355967999,True,True
16,cpu,float64,3,16,256,eager,0.0,not_applicable_eager_path,0.00011857971549034119,0.02678326889872551,2,0.05237570218741894,10,0.025777914561331272,0.02589896833524108,0.025923237111419438,0.0009620785713195801,0.0033715213648974895,4.024617373943329e-05,0.025890374556183815,True,True
16,cpu,float64,5,64,1024,eager,0.0,not_applicable_eager_path,0.00011250749230384827,0.09283929225057364,2,0.1811082260683179,10,0.09010580088943243,0.09117962792515755,0.09303619703277946,0.0010264520533382893,0.011291609145700932,5.2419956773519516e-05,0.09117076452821493,True,True
48,cpu,float64,1,4,192,eager,0.0,not_applicable_eager_path,0.00028432905673980713,0.02538416162133217,2,0.0467053409665823,10,0.023153038695454597,0.02353391144424677,0.023562649730592966,0.0012256926856935024,0.0027831215411424637,3.976654261350632e-05,0.02352522825822234,True,True
48,cpu,float64,3,16,768,eager,0.0,not_applicable_eager_path,0.00020638108253479004,0.0743051590397954,2,0.14770857989788055,10,0.0735538424924016,0.07439265307039022,0.07897802349179983,0.001292685978114605,0.009238261729478836,5.1293522119522095e-05,0.0742933489382267,True,True
48,cpu,float64,5,64,3072,eager,0.0,not_applicable_eager_path,0.0001914147287607193,0.2778763575479388,2,0.5513294879347086,10,0.26846396550536156,0.2692261664196849,0.27097676070407034,0.001328563317656517,0.033932569436728954,9.076250717043877e-05,0.2691961186937988,True,True
1,cuda,float64,1,4,4,eager,0.0,not_applicable_eager_path,0.1987498700618744,0.1935274926945567,2,0.012561776675283909,10,0.006278119049966335,0.006415219511836767,0.006430839654058218,0.0020213532261550426,0.0021935044787824154,8.444907143712044e-05,0.006380485836416483,True,True
1,cuda,float64,3,16,16,eager,0.0,not_applicable_eager_path,0.00020867213606834412,0.008852322585880756,2,0.01752540934830904,10,0.008431758731603622,0.008557501249015331,0.00858024237677455,0.0019476641900837421,0.002101162914186716,8.460832759737968e-05,0.008523373398929834,True,True
1,cuda,float64,5,64,64,eager,0.0,not_applicable_eager_path,0.00019173137843608856,0.01770704984664917,2,0.03486804571002722,10,0.016984034329652786,0.01716040028259158,0.017205283418297766,0.001979229971766472,0.002115595154464245,8.4669329226017e-05,0.017130428459495306,True,True
16,cuda,float64,1,4,64,eager,0.0,not_applicable_eager_path,0.00023234356194734573,0.016988780349493027,2,0.03420161549001932,10,0.016876496374607086,0.017028918489813805,0.017037260252982377,0.0019607599824666977,0.0021141786128282547,8.410541340708733e-05,0.016999938990920782,True,True
16,cuda,float64,3,16,256,eager,0.0,not_applicable_eager_path,0.00021168310195207596,0.05463103950023651,2,0.10880831815302372,10,0.05361718777567148,0.0540619776584208,0.05486731873825192,0.0020201262086629868,0.0021657529287040234,8.623814210295677e-05,0.05403105774894357,True,True
16,cuda,float64,5,64,1024,eager,0.0,not_applicable_eager_path,0.00026686303317546844,0.19521886203438044,2,0.38171902671456337,10,0.19129600282758474,0.19234037026762962,0.19753420939669014,0.0019859527237713337,0.002235841006040573,9.038625285029411e-05,0.19230343913659453,True,True
48,cuda,float64,1,4,192,eager,0.0,not_applicable_eager_path,0.0002974141389131546,0.03986582159996033,2,0.08001449983567,10,0.03979676961898804,0.03996795974671841,0.0400155863724649,0.0019689705222845078,0.002123622689396143,8.543580770492554e-05,0.03993867291137576,True,True
48,cuda,float64,3,16,768,eager,0.0,not_applicable_eager_path,0.0002946453168988228,0.15137585066258907,2,0.305032379925251,10,0.1495380736887455,0.1507591288536787,0.15196017865091563,0.001966936979442835,0.0022437949664890766,8.691055700182915e-05,0.1507249758578837,True,True
48,cuda,float64,5,64,3072,eager,0.0,not_applicable_eager_path,0.000324055552482605,0.5699285762384534,2,1.144652271643281,10,0.5618501417338848,0.5643023187294602,0.5668165350332857,0.0019782064482569695,0.0022460008040070534,9.441003203392029e-05,0.5642550028860569,True,True
