candidate_ref,other_ref,merge_base,candidate_only_commits,other_only_commits,candidate_only_after_cherry,other_only_after_cherry,other_is_ancestor_of_candidate,tree_equal,evidence
origin/codex/repository-consolidation-v1,codex/batched-dense-nncs-gpu,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,86,3,86,3,false,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/batched-dense-nncs-gpu
origin/codex/repository-consolidation-v1,codex/bern-ibf-tm-feasibility,7251adfe8d2f3a5f3fd7a4a89f4b5a2075a19b10,60,3,60,3,false,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/bern-ibf-tm-feasibility
origin/codex/repository-consolidation-v1,codex/deep-study-protocol-repair-v2,9a684d9106633e067bfac0747244b769fa49aa0b,21,5,21,5,false,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/deep-study-protocol-repair-v2
origin/codex/repository-consolidation-v1,codex/first-order-followup-correctness-matched-basis,3d0ae5444435974e7509e176129fb796c76312ab,62,0,62,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/first-order-followup-correctness-matched-basis
origin/codex/repository-consolidation-v1,codex/first-order-three-way-benchmark,13e5eece2002e009429d6fb463eed4bc1c53ae34,71,0,71,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/first-order-three-way-benchmark
origin/codex/repository-consolidation-v1,codex/flowstar-kernel-alignment,54704e8f695802e373e2371fb0befed3b60ff3b5,114,0,114,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/flowstar-kernel-alignment
origin/codex/repository-consolidation-v1,codex/flowstar-normalized-insertion,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,86,0,86,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/flowstar-normalized-insertion
origin/codex/repository-consolidation-v1,codex/flowstar-raw-remainder-compat,26a254ef585a9dee394b7e41922c06bf8799f501,76,0,76,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/flowstar-raw-remainder-compat
origin/codex/repository-consolidation-v1,codex/three-way-common-contract-comparison,7251adfe8d2f3a5f3fd7a4a89f4b5a2075a19b10,60,0,60,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/three-way-common-contract-comparison
origin/codex/repository-consolidation-v1,codex/three-way-comparison-correctness-repair,9024a8a29bdc0ad668a7c0620bd53872f4313cc8,52,0,52,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/three-way-comparison-correctness-repair
origin/codex/repository-consolidation-v1,codex/torch-flowstar-diffreach-deep-study,9a684d9106633e067bfac0747244b769fa49aa0b,21,0,21,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...codex/torch-flowstar-diffreach-deep-study
origin/codex/repository-consolidation-v1,main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,116,0,116,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...main
origin/codex/repository-consolidation-v1,origin/codex/batched-dense-nncs-gpu,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,86,3,86,3,false,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...origin/codex/batched-dense-nncs-gpu
origin/codex/repository-consolidation-v1,origin/codex/first-order-followup-correctness-matched-basis,3d0ae5444435974e7509e176129fb796c76312ab,62,0,62,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...origin/codex/first-order-followup-correctness-matched-basis
origin/codex/repository-consolidation-v1,origin/codex/first-order-three-way-benchmark,13e5eece2002e009429d6fb463eed4bc1c53ae34,71,0,71,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...origin/codex/first-order-three-way-benchmark
origin/codex/repository-consolidation-v1,origin/codex/flowstar-kernel-alignment,54704e8f695802e373e2371fb0befed3b60ff3b5,114,0,114,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...origin/codex/flowstar-kernel-alignment
origin/codex/repository-consolidation-v1,origin/codex/flowstar-normalized-insertion,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,86,0,86,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...origin/codex/flowstar-normalized-insertion
origin/codex/repository-consolidation-v1,origin/codex/flowstar-raw-remainder-compat,26a254ef585a9dee394b7e41922c06bf8799f501,76,0,76,0,true,false,git rev-list --left-right [--cherry-pick] --count origin/codex/repository-consolidation-v1...origin/codex/flowstar-raw-remainder-compat
