lane,repeat,wall_seconds,solver_excluding_serialization_seconds,status,checksum
torch_py11,1,529.1326088597998,529.1192073784769,VERIFIED,190979.05951733922
torch_py11,2,513.0563260279596,513.0431192750111,VERIFIED,190979.05951733922
torch_py11,3,513.1680529676378,513.1550467619672,VERIFIED,190979.05951733922
torch_py11,4,513.4334309659898,513.4204616937786,VERIFIED,190979.05951733922
torch_py11,5,513.545809966512,513.5328403664753,VERIFIED,190979.05951733922
torch_matched_crown,1,514.1251694699749,514.112238724716,VERIFIED,190979.05951733922
torch_matched_crown,2,511.2939114533365,511.28102162014693,VERIFIED,190979.05951733922
torch_matched_crown,3,512.0244269836694,512.0116566913202,VERIFIED,190979.05951733922
torch_matched_crown,4,511.3843236034736,511.3715916806832,VERIFIED,190979.05951733922
torch_matched_crown,5,536.0646435134113,536.05111815501,VERIFIED,190979.05951733922
xiangru_matched_crown,1,1.1469105891883373,1.0881053432822227,VERIFIED,190977.4069116018
xiangru_matched_crown,2,1.1481436183676124,1.089706152677536,VERIFIED,190977.4069116018
xiangru_matched_crown,3,1.2067595506086946,1.1459899358451366,VERIFIED,190977.4069116018
xiangru_matched_crown,4,1.2069273237138987,1.1461585061624646,VERIFIED,190977.4069116018
xiangru_matched_crown,5,1.2074552681297064,1.1457819994539022,VERIFIED,190977.4069116018
