comparison,numerator,denominator,ratio,classification
same_software_stack_torch_over_xiangru,torch_matched_crown,xiangru_matched_crown,424.2969750895298,descriptive_baseline_runtime_ratio_not_optimized_speedup
torch_environment_py11_over_matched_crown,torch_py11,torch_matched_crown,1.0027518296160611,environment_effect_only_not_implementation_speedup
