plant,mode,step,history_length,replays,phase,operation,dependency_fixed,category,exclusive_seconds,calls,step_seconds,instrumentation
van_der_pol,optimized,6,5,4,replay,image,False,refinement_dynamic_and_dispatch,0.034068047534674406,4,0.6314368839375675,light_phase_timer
van_der_pol,optimized,6,5,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07314685080200434,1,0.6314368839375675,light_phase_timer
van_der_pol,optimized,6,5,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.009987708181142807,3,0.6314368839375675,light_phase_timer
van_der_pol,optimized,6,5,4,boundary,boundary,False,boundary_and_endpoint_correction,0.31474736193194985,1,0.6314368839375675,light_phase_timer
van_der_pol,optimized,6,5,4,other,unattributed,False,other_including_unclassified_python,0.047944646794348955,0,0.6314368839375675,light_phase_timer
van_der_pol,optimized,7,6,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07094189384952188,1,0.6464040987193584,light_phase_timer
van_der_pol,optimized,7,6,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08154180319979787,1,0.6464040987193584,light_phase_timer
van_der_pol,optimized,7,6,4,replay,image,False,refinement_dynamic_and_dispatch,0.03308015130460262,4,0.6464040987193584,light_phase_timer
van_der_pol,optimized,7,6,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07310803234577179,1,0.6464040987193584,light_phase_timer
van_der_pol,optimized,7,6,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.01015404099598527,3,0.6464040987193584,light_phase_timer
van_der_pol,optimized,7,6,4,boundary,boundary,False,boundary_and_endpoint_correction,0.3281348696909845,1,0.6464040987193584,light_phase_timer
van_der_pol,optimized,7,6,4,other,unattributed,False,other_including_unclassified_python,0.04944330733269453,0,0.6464040987193584,light_phase_timer
van_der_pol,optimized,8,7,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07394615514203906,1,0.6648723147809505,light_phase_timer
van_der_pol,optimized,8,7,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08928193990141153,1,0.6648723147809505,light_phase_timer
van_der_pol,optimized,8,7,4,replay,image,False,refinement_dynamic_and_dispatch,0.03313534474000335,4,0.6648723147809505,light_phase_timer
van_der_pol,optimized,8,7,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07791111338883638,1,0.6648723147809505,light_phase_timer
van_der_pol,optimized,8,7,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.010082694236189127,3,0.6648723147809505,light_phase_timer
van_der_pol,optimized,8,7,4,boundary,boundary,False,boundary_and_endpoint_correction,0.33050544606521726,1,0.6648723147809505,light_phase_timer
van_der_pol,optimized,8,7,4,other,unattributed,False,other_including_unclassified_python,0.05000962130725384,0,0.6648723147809505,light_phase_timer
van_der_pol,optimized,9,8,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07019694894552231,1,0.6594750448130071,light_phase_timer
van_der_pol,optimized,9,8,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08408055594190955,1,0.6594750448130071,light_phase_timer
van_der_pol,optimized,9,8,4,replay,image,False,refinement_dynamic_and_dispatch,0.032650234177708626,4,0.6594750448130071,light_phase_timer
van_der_pol,optimized,9,8,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07580392574891448,1,0.6594750448130071,light_phase_timer
van_der_pol,optimized,9,8,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.010067621245980263,3,0.6594750448130071,light_phase_timer
van_der_pol,optimized,9,8,4,boundary,boundary,False,boundary_and_endpoint_correction,0.33804307831451297,1,0.6594750448130071,light_phase_timer
van_der_pol,optimized,9,8,4,other,unattributed,False,other_including_unclassified_python,0.04863268043845892,0,0.6594750448130071,light_phase_timer
van_der_pol,optimized,10,9,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07146284682676196,1,0.6484110108576715,light_phase_timer
van_der_pol,optimized,10,9,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08224958786740899,1,0.6484110108576715,light_phase_timer
van_der_pol,optimized,10,9,4,replay,image,False,refinement_dynamic_and_dispatch,0.033259065356105566,4,0.6484110108576715,light_phase_timer
van_der_pol,optimized,10,9,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07296463660895824,1,0.6484110108576715,light_phase_timer
van_der_pol,optimized,10,9,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.010108291171491146,3,0.6484110108576715,light_phase_timer
van_der_pol,optimized,10,9,4,boundary,boundary,False,boundary_and_endpoint_correction,0.32927609188482165,1,0.6484110108576715,light_phase_timer
van_der_pol,optimized,10,9,4,other,unattributed,False,other_including_unclassified_python,0.04909049114212394,0,0.6484110108576715,light_phase_timer
van_der_pol,optimized,11,10,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.070584153290838,1,0.6816103761084378,light_phase_timer
