step_index,flowstar_t_before,compat_t_before,flowstar_h,compat_h,h_delta,t_delta,flowstar_status,compat_status,diverged,divergence_reason,notes
0,0,0,0.012500000000000001,0.012500000000000001,0,0,accepted,accepted,false,,
1,0.012500000000000001,0.012500000000000001,0.013749999999999998,0.013750000000000002,3.4694469519536142e-18,0,accepted,accepted,false,,
2,0.026249999999999999,0.026250000000000002,0.015125000000000003,0.015125000000000003,0,3.4694469519536142e-18,accepted,accepted,false,,
3,0.041375000000000002,0.041375000000000009,0.0166375,0.016637500000000003,3.4694469519536142e-18,6.9388939039072284e-18,accepted,accepted,false,,
4,0.058012500000000002,0.058012500000000009,0.018301249999999998,0.018301250000000005,6.9388939039072284e-18,6.9388939039072284e-18,accepted,accepted,false,,
5,0.07631375,0.076313750000000014,0.020131380000000004,0.020131375000000007,-4.9999999973682208e-09,1.3877787807814457e-17,accepted,accepted,true,t-grid drift,first schedule divergence
6,0.096445130000000004,0.09644512500000002,0.011072269999999995,0.011072256250000004,-1.3749999991027884e-08,-4.999999983490433e-09,accepted,accepted,true,,
7,0.1075174,0.10751738125000003,0.012179499999999996,0.012179481875000005,-1.81249999904598e-08,-1.8749999969314146e-08,accepted,accepted,true,,
8,0.11969689999999999,0.11969686312500004,0.013397400000000004,0.013397430062500007,3.0062500003258386e-08,-3.6874999956304499e-08,accepted,accepted,true,,
9,0.1330943,0.13309429318750005,0.014737200000000006,0.014737173068750008,-2.6931249997447226e-08,-6.8124999530461139e-09,accepted,accepted,true,,
10,0.1478315,0.14783146625625004,0.0162109,0.016210890375625009,-9.6243749914126653e-09,-3.3743749960901681e-08,accepted,accepted,true,,
11,0.1640424,0.16404235663187505,0.017831899999999984,0.01783197941318751,7.9413187525911866e-08,-4.3368124952314346e-08,accepted,accepted,true,,
12,0.18187429999999999,0.18187433604506256,0.0098075999999999997,0.0098075886772531311,-1.132274686857504e-08,3.6045062573597519e-08,accepted,accepted,true,,
13,0.19168189999999999,0.19168192472231568,0.010788400000000004,0.010788347544978445,-5.2455021559011383e-08,2.4722315694614139e-08,accepted,accepted,true,,
14,0.20247029999999999,0.20247027226729414,0.011867199999999994,0.01186718229947629,-1.7700523704741733e-08,-2.7732705853988904e-08,accepted,accepted,true,,
15,0.21433749999999999,0.21433745456677042,0.013053900000000007,0.01305390052942392,5.2942391269572564e-10,-4.5433229567404254e-08,accepted,accepted,true,,
16,0.22739139999999999,0.22739135509619435,0.014359200000000016,0.014359290582366313,9.0582366297012329e-08,-4.4903805646034911e-08,accepted,accepted,true,,
17,0.24175060000000001,0.24175064567856067,0.015795299999999984,0.015795219640602945,-8.035939703943118e-08,4.5678560656181588e-08,accepted,accepted,true,,
18,0.25754589999999999,0.25754586531916362,0.017374700000000021,0.017374741604663242,4.1604663221506133e-08,-3.4680836369371804e-08,accepted,accepted,true,,
19,0.27492060000000001,0.27492060692382686,0.019112199999999968,0.019112215765129569,1.5765129601080785e-08,6.9238268451954355e-09,accepted,accepted,true,,
20,0.29403279999999998,0.29403282268895642,0.010511700000000013,0.010511718670821265,1.8670821251912106e-08,2.268895643586788e-08,accepted,accepted,true,,
21,0.3045445,0.30454454135977771,0.011562899999999987,0.011562890537903391,-9.4620965958303049e-09,4.1359777713800838e-08,accepted,accepted,true,,
22,0.31610739999999998,0.31610743189768109,0.012719200000000042,0.012719179591693731,-2.0408306310518154e-08,3.1897681107562192e-08,accepted,accepted,true,,
23,0.32882660000000002,0.32882661148937481,0.013991099999999979,0.013991097550863106,-2.4491368724732787e-09,1.1489374784900974e-08,accepted,accepted,true,,
24,0.3428177,0.34281770904023789,0.015390200000000021,0.015390207305949418,7.3059493975458079e-09,9.0402378916110138e-09,accepted,accepted,true,,
25,0.35820790000000002,0.35820791634618732,0.016929199999999978,0.016929228036544362,2.8036544384713036e-08,1.6346187292626269e-08,accepted,accepted,true,,
26,0.3751371,0.37513714438273166,0.018622199999999978,0.0186221508401988,-4.9159801177728335e-08,4.4382731656522623e-08,accepted,accepted,true,,
27,0.39375929999999998,0.39375929522293046,0.020484400000000014,0.020484365924218682,-3.4075781332049138e-08,-4.7770695177362654e-09,accepted,accepted,true,,
28,0.41424369999999999,0.41424366114714917,0.022532800000000019,0.022532802516640551,2.5166405313858942e-09,-3.8852850825499274e-08,accepted,accepted,true,,
29,0.43677650000000001,0.43677646366378969,0.012392999999999987,0.012393041384152304,4.1384152316831235e-08,-3.6336210318399509e-08,accepted,accepted,true,,
30,0.4491695,0.44916950504794201,0.013632399999999989,0.013632345522567535,-5.4477432454014263e-08,5.0479420088400673e-09,accepted,accepted,true,,
31,0.46280189999999999,0.46280185057050954,0.014995499999999995,0.014995580074824289,8.0074824293854818e-08,-4.9429490445174196e-08,accepted,accepted,true,,
