checkpoint_label,checkpoint_t,path_id,engine,horizon_kind,segment_index,t_lo,t_hi,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,status
o4_insert_t0p75,0.75,o4_insert,pytorch,one_step,0,0,0.041145313575171399,1.9057657167521007,2.0437585683357264,-0.30809167172678709,-0.10631944680562655,0.13799285158362576,0.20177222492116056,0.33976507650478632,validated
o4_insert_t0p75,0.75,o4_insert,pytorch,mini_horizon,0,0,0.041145313575171399,1.9057657167521007,2.0437585683357264,-0.30809167172678709,-0.10631944680562655,0.13799285158362576,0.20177222492116056,0.33976507650478632,validated
o4_insert_t0p75,0.75,o4_insert,pytorch,mini_horizon,1,0.041145313575171399,0.082290627150342799,1.8921834636759065,2.0380543662499342,-0.35139234496972721,-0.16956438223819631,0.14587090257402771,0.18182796273153093,0.32769886530555864,validated
o4_insert_t0p75,0.75,o4_insert,pytorch,mini_horizon,2,0.082290627150342799,0.10000000000000001,1.8858049745543994,2.0348302729669938,-0.3685406799829834,-0.19454173689027049,0.1490252984125944,0.17399894309271294,0.32302424150530734,validated
o4_insert_t1p3,1.3,o4_insert,flowstar,one_step,0,-0,0.050000000000000003,1.685694,1.7980799999999999,-0.66549930000000002,-0.5656601,0.11238599999999987,0.099839200000000017,0.21222519999999989,completed
o4_insert_t1p3,1.3,o4_insert,flowstar,mini_horizon,0,-0,0.050000000000000003,1.685694,1.7980799999999999,-0.66549930000000002,-0.5656601,0.11238599999999987,0.099839200000000017,0.21222519999999989,completed
o4_insert_t1p3,1.3,o4_insert,flowstar,mini_horizon,1,0.050000000000000003,0.10000000000000001,1.6522269999999999,1.769153,-0.68795130000000004,-0.59126089999999998,0.11692600000000009,0.096690400000000065,0.21361640000000015,completed
o4_insert_t1p3,1.3,o4_insert,pytorch,one_step,0,0,0.050000000000000003,1.6858719015588643,1.7691563950084277,-0.65807970951072714,-0.59126346384050577,0.08328449344956336,0.066816245670221389,0.15010073911978475,validated
o4_insert_t1p3,1.3,o4_insert,pytorch,mini_horizon,0,0,0.050000000000000003,1.6858719015588643,1.7691563950084277,-0.65807970951072714,-0.59126346384050577,0.08328449344956336,0.066816245670221389,0.15010073911978475,validated
o4_insert_t1p3,1.3,o4_insert,pytorch,mini_horizon,1,0.050000000000000003,0.10000000000000001,1.6523663842617753,1.7389821183069076,-0.68182959955932987,-0.61579807922875363,0.086615734045132356,0.066031520330576257,0.15264725437570861,validated
o4_insert_t1p68,1.6799999999999999,o4_insert,pytorch,one_step,0,0,0.10000000000000001,1.3985047465519818,1.4790971549426999,-0.85293730183454908,-0.79428028823956842,0.080592408390718143,0.058657013594980663,0.13924942198569881,validated
o4_insert_t1p68,1.6799999999999999,o4_insert,pytorch,mini_horizon,0,0,0.10000000000000001,1.3985047465519818,1.4790971549426999,-0.85293730183454908,-0.79428028823956842,0.080592408390718143,0.058657013594980663,0.13924942198569881,validated
o4_insert_t2p12,2.1200000000000001,o4_insert,pytorch,one_step,0,0,0.10000000000000001,1.0113231381563692,1.1029078328653055,-1.1488620964030509,-1.0693593546091256,0.091584694708936279,0.079502741793925372,0.17108743650286165,validated
o4_insert_t2p12,2.1200000000000001,o4_insert,pytorch,mini_horizon,0,0,0.10000000000000001,1.0113231381563692,1.1029078328653055,-1.1488620964030509,-1.0693593546091256,0.091584694708936279,0.079502741793925372,0.17108743650286165,validated
o4_insert_t3,3,o4_insert,flowstar,one_step,0,-0,0.035595700000000001,-0.5700018,-0.28922799999999999,-2.679125,-2.4046479999999999,0.28077380000000002,0.27447700000000008,0.55525080000000004,completed
o4_insert_t3,3,o4_insert,flowstar,mini_horizon,0,-0,0.035595700000000001,-0.5700018,-0.28922799999999999,-2.679125,-2.4046479999999999,0.28077380000000002,0.27447700000000008,0.55525080000000004,not_completed
o4_insert_t3,3,o4_insert,flowstar,mini_horizon,1,0.035595700000000001,0.071191409999999997,-0.66607769999999999,-0.37600139999999999,-2.7451400000000001,-2.448483,0.29007630000000001,0.29665700000000017,0.58673330000000012,not_completed
o4_insert_t3,3,o4_insert,pytorch,one_step,0,0,0.035595703125000003,-0.56958510502259396,-0.37599996136317765,-2.6750427011378144,-2.4485309788303615,0.19358514365941634,0.2265117223074529,0.42009686596686924,validated
o4_insert_t3,3,o4_insert,pytorch,mini_horizon,0,0,0.035595703125000003,-0.56958510502259396,-0.37599996136317765,-2.6750427011378144,-2.4485309788303615,0.19358514365941634,0.2265117223074529,0.42009686596686924,validated
o4_insert_t3,3,o4_insert,pytorch,mini_horizon,1,0.035595703125000003,0.071191406250000006,-0.66558861405509606,-0.46420085076156908,-2.740711812170447,-2.4803481959746461,0.20138776329352701,0.26036361619580101,0.46175137948932798,validated
o4_insert_t3,3,o4_insert,pytorch,mini_horizon,2,0.071191406250000006,0.10000000000000001,-0.74492059143612521,-0.53623718465368231,-2.7872968190765977,-2.4954354409461907,0.20868340678244293,0.29186137813040697,0.50054478491284993,validated
o4_insert_t5,5,o4_insert,pytorch,one_step,0,0,0.038091078656981608,-1.5839096131234567,-1.3412269748817565,0.73362608992578515,0.88997583863658503,0.24268263824170025,0.1563497487107999,0.39903238695250015,validated
o4_insert_t5,5,o4_insert,pytorch,mini_horizon,0,0,0.038091078656981608,-1.5839096131234567,-1.3412269748817565,0.73362608992578515,0.88997583863658503,0.24268263824170025,0.1563497487107999,0.39903238695250015,validated
o4_insert_t5,5,o4_insert,pytorch,mini_horizon,1,0.038091078656981608,0.076182157313963217,-1.5556632000797845,-1.3068255545701335,0.74986241882552662,0.91542956547813581,0.24883764550965107,0.16556714665260922,0.41440479216226028,validated
o4_insert_t5,5,o4_insert,pytorch,mini_horizon,2,0.076182157313963217,0.10000000000000001,-1.5376832656385362,-1.2848087176174521,0.76019958495073714,0.93211969771122949,0.25287454802108417,0.17192011276049238,0.42479466078157657,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,one_step,0,-0,0.003312869,0.025275720000000002,1.244348,1.369291,3.912417,1.21907228,2.543126,3.7621982799999998,completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,0,-0,0.003312869,0.025275720000000002,1.244348,1.369291,3.912417,1.21907228,2.543126,3.7621982799999998,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,1,0.003312869,0.0066257390000000003,0.02986979,1.257315,1.3530599999999999,3.9347050000000001,1.22744521,2.581645,3.8090902099999999,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,2,0.0066257390000000003,0.0099386079999999998,0.034468499999999999,1.270297,1.3365359999999999,3.9570419999999999,1.2358285,2.6205059999999998,3.8563345,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,3,0.0099386079999999998,0.01325148,0.039071649999999999,1.2832950000000001,1.3197209999999999,3.9794209999999999,1.2442233500000002,2.6597,3.9039233500000003,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,4,0.01325148,0.016564349999999999,0.043679009999999997,1.296308,1.302619,4.0018349999999998,1.2526289900000001,2.6992159999999998,3.9518449899999997,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,5,0.016564349999999999,0.019877220000000001,0.048290409999999999,1.309334,1.2852330000000001,4.0242760000000004,1.2610435900000001,2.7390430000000006,4.0000865900000004,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,6,0.019877220000000001,0.02319009,0.05290562,1.3223739999999999,1.267568,4.0467370000000003,1.26946838,2.7791690000000004,4.0486373800000006,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,7,0.02319009,0.026502950000000001,0.057524470000000001,1.3354269999999999,1.249628,4.0692089999999999,1.27790253,2.8195809999999999,4.0974835299999999,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar,mini_horizon,8,0.026502950000000001,0.02981582,0.062146769999999997,1.348492,1.231417,4.0916829999999997,1.28634523,2.8602659999999998,4.1466112299999995,not_completed
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,one_step,0,0,0.0033128693316710257,0.029867422077728852,1.244316562795605,1.3694174244756643,3.9091064761100407,1.2144491407178764,2.5396890516343769,3.7541381923522534,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,0,0,0.0033128693316710257,0.029867422077728852,1.244316562795605,1.3694174244756643,3.9091064761100407,1.2144491407178764,2.5396890516343769,3.7541381923522534,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,1,0.0033128693316710257,0.0066257386633420514,0.034405976539552283,1.2572856152818515,1.3530224940082758,3.9315069641871645,1.2228796387422993,2.5784844701788892,3.8013641089211885,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,2,0.0066257386633420514,0.0099386079950130775,0.038889947616375063,1.2703288986729586,1.3361380767218203,3.9541512378047767,1.2314389510565837,2.6180131610829567,3.8494521121395406,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,3,0.0099386079950130775,0.013251477326684103,0.043317705714007143,1.2834472251989735,1.3187546192414195,3.9770449430861663,1.2401295194849666,2.6582903238447471,3.8984198433297137,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,4,0.013251477326684103,0.016564346658355128,0.047687589352951011,1.2966414261267745,1.3008623682019218,4.0001939407193339,1.2489538367738238,2.6993315725174125,3.9482854092912363,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,5,0.016564346658355128,0.019877215990026155,0.051997904495412819,1.3099123524867577,1.2824513634355899,4.0236043148996661,1.2579144479913451,2.7411529514640764,3.9990673994554218,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,6,0.019877215990026155,0.023190085321697182,0.056246923849162661,1.3232608758298499,1.263511430797988,4.0472823826686053,1.2670139519806873,2.783770951870618,4.0507849038513051,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,7,0.023190085321697182,0.026502954653368209,0.060432886147010409,1.3366878890161891,1.2440321746106355,4.0712347036685061,1.2762550028691788,2.8272025290578711,4.1034575319270497,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,8,0.026502954653368209,0.029815823985039236,0.064553995400593853,1.350194307036894,1.2240029696976706,4.0954680903350669,1.2856403116363004,2.8714651206373967,4.1571054322736973,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,9,0.029815823985039236,0.033128693316710263,0.068608420127094658,1.3637810678703988,1.2034129529923829,4.1199896185500444,1.2951726477433043,2.9165766655576619,4.2117493133009667,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,10,0.033128693316710263,0.03644156264838129,0.072594292547419129,1.3774491333749308,1.182251014687983,4.1448066387783795,1.3048548408275118,2.9625556240903967,4.2674104649179085,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,11,0.03644156264838129,0.039754431980052317,0.076509707754291473,1.3911994902187725,1.1605057889054007,4.1699267877153314,1.3146897824644812,3.0094209988099312,4.3241107812744124,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,12,0.039754431980052317,0.043067301311723344,0.080352722848612584,1.4050331508500364,1.1381656438491785,4.1953580004708781,1.3246804280014242,3.0571923566217003,4.3818727846231242,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,13,0.043067301311723344,0.046380170643394371,0.084121356042345566,1.4189511545077933,1.1152186714207488,4.2211085233203534,1.334829798465448,3.105889851899605,4.440719650365053,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,14,0.046380170643394371,0.049693039975065398,0.087813585726074145,1.4329545682764693,1.0916526762564247,4.247186927052093,1.3451409825503953,3.1555342507956685,4.5006752333460636,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,15,0.049693039975065398,0.053005909306736425,0.091427349499278734,1.4470444881855486,1.0674551641553769,4.2736021209449753,1.3556171386862701,3.2061469567895986,4.5617640954758691,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,16,0.053005909306736425,0.056318778638407452,0.094960543161252756,1.4612220403567278,1.0426133298606404,4.3003633674107258,1.3662614971954752,3.2577500375500859,4.624011534745561,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,17,0.056318778638407452,0.059631647970078479,0.098411019660450794,1.4754883822007789,1.0171140441538227,4.3274802973382736,1.3770773625403283,3.3103662531844513,4.6874436157247796,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,18,0.059631647970078479,0.062944517301749506,0.1017765879999363,1.4898447036665163,0.99094384021821347,4.3549629261832949,1.3880681156665802,3.364019085965082,4.752087201631662,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,19,0.062944517301749506,0.066257386633420526,0.10505501209643384,1.5042922285444067,0.96408889923817287,4.3828216708327963,1.3992372164479732,3.4187327715946236,4.8179699880425968,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,20,0.066257386633420526,0.069570255965091546,0.10824400959038119,1.5188322158274588,0.93653503517143266,4.4110673673058081,1.4105882062370778,3.474532332134376,4.8851205383714538,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,21,0.069570255965091546,0.072883125296762566,0.11134125060416858,1.533465961132245,0.90826767865058333,4.4397112893315036,1.4221247105280765,3.5314436106809208,4.9535683212089978,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,22,0.072883125296762566,0.076195994628433586,0.11434435644559243,1.5481947981830446,0.87927185996055079,4.4687651678554783,1.4338504417374525,3.5894933078949278,5.0233437496323798,validated
o4_insert_t6p4,6.4000000000000004,o4_insert,pytorch,mini_horizon,23,0.076195994628433586,0.079508863960104606,0.11715642293136737,1.563114582559008,0.84952770951246537,4.498237437322901,1.445958159627641,3.6487097278104361,5.0946678874380771,failed
o6_insert_t0p75,0.75,o6_insert,pytorch,one_step,0,0,0.10000000000000001,1.8729529803041403,2.0713486559808523,-0.32585840882043671,-0.12130910862957024,0.19839567567671204,0.20454930019086651,0.40294497586757855,validated
o6_insert_t0p75,0.75,o6_insert,pytorch,mini_horizon,0,0,0.10000000000000001,1.8729529803041403,2.0713486559808523,-0.32585840882043671,-0.12130910862957024,0.19839567567671204,0.20454930019086651,0.40294497586757855,validated
o6_insert_t1p3,1.3,o6_insert,flowstar,one_step,0,-0,0.10000000000000001,1.6402429999999999,1.7880940000000001,-0.70467069999999998,-0.57475639999999995,0.14785100000000018,0.12991430000000004,0.27776530000000021,completed
o6_insert_t1p3,1.3,o6_insert,flowstar,mini_horizon,0,-0,0.10000000000000001,1.6402429999999999,1.7880940000000001,-0.70467069999999998,-0.57475639999999995,0.14785100000000018,0.12991430000000004,0.27776530000000021,completed
o6_insert_t1p3,1.3,o6_insert,pytorch,one_step,0,0,0.10000000000000001,1.6409655421539882,1.7281201620199875,-0.68966308366366436,-0.62425487546231828,0.087154619865999386,0.065408208201346088,0.15256282806734547,validated
