checkpoint_label,checkpoint_t,path_id,run_id,order,candidate_order,source_segment_index,source_t_hi,h_try,reset_box_width_x,reset_box_width_y,reset_box_width_sum,flowstar_one_step_status,flowstar_one_step_completed,flowstar_one_step_width_sum,pytorch_one_step_status,pytorch_one_step_completed,pytorch_one_step_width_sum,flowstar_mini_status,flowstar_mini_completed,flowstar_mini_width_sum,pytorch_mini_status,pytorch_mini_completed,pytorch_mini_width_sum,width_ratio_pytorch_over_flowstar,step_rejection_count,residual_failure_dimension,residual_failure_width_x,residual_failure_width_y,residual_failure_width_sum,failure_reason
o4_insert_t0p75,0.75,o4_insert,flowstar_style_o4_target_insert,4,,31,0.74680487947529783,0.041145313575171399,0.12930788822039332,0.22327845303446642,0.35258634125485977,not_completed,false,,validated,true,0.33976507650478632,not_completed,false,,completed,true,0.32302424150530734,,0,,,,,Flow* reach did not complete
o4_insert_t1p3,1.3,o4_insert,flowstar_style_o4_target_insert,4,,42,1.2829483556187122,0.050000000000000003,0.079893621338124512,0.068505814249806299,0.14839943558793081,completed,true,0.21222519999999989,validated,true,0.15010073911978475,completed,true,0.21361640000000015,completed,true,0.15264725437570861,0.71458583880127413,0,,,,,
o4_insert_t1p68,1.6799999999999999,o4_insert,flowstar_style_o4_target_insert,4,,47,1.6329483556187123,0.10000000000000001,0.074947063834186936,0.053971940434237926,0.12891900426842487,not_completed,false,,validated,true,0.13924942198569881,not_completed,false,,completed,true,0.13924942198569881,,0,,,,,Flow* reach did not complete
o4_insert_t2p12,2.1200000000000001,o4_insert,flowstar_style_o4_target_insert,4,,51,2.0329483556187125,0.10000000000000001,0.084188546774144349,0.068310425429040769,0.15249897220318512,not_completed,false,,validated,true,0.17108743650286165,not_completed,false,,completed,true,0.17108743650286165,,0,,,,,Flow* reach did not complete
o4_insert_t3,3,o4_insert,flowstar_style_o4_target_insert,4,,66,2.9729874181187124,0.035595703125000003,0.18676435537184896,0.19817260165072351,0.38493695702257247,completed,true,0.55525080000000004,validated,true,0.42009686596686924,not_completed,false,0.58673330000000012,completed,true,0.50054478491284993,0.85310444270480268,0,,,,,Flow* reach did not complete
o4_insert_t5,5,o4_insert,flowstar_style_o4_target_insert,4,,126,4.9994278841032642,0.038091078656981608,0.23687226144163523,0.14822148176107344,0.38509374320270867,not_completed,false,,validated,true,0.39903238695250015,not_completed,false,,completed,true,0.42479466078157657,,0,,,,,Flow* reach did not complete
o4_insert_t6p4,6.4000000000000004,o4_insert,flowstar_style_o4_target_insert,4,,214,6.3993353033255458,0.0033128693316710257,1.2061502571727629,2.5047446030297196,3.7108948602024823,completed,true,3.7621982799999998,validated,true,3.7541381923522534,not_completed,false,4.1466112299999995,failed,false,5.0946678874380771,1.2286340833158063,1,,,,,Picard residual not subset of target remainder
o6_insert_t0p75,0.75,o6_insert,flowstar_style_o6_candidate8_output6_insert,6,8,9,0.69999999999999996,0.10000000000000001,0.17614573708218464,0.2568356492326847,0.43298138631486938,not_completed,false,,validated,true,0.40294497586757855,not_completed,false,,completed,true,0.40294497586757855,,0,,,,,Flow* reach did not complete
o6_insert_t1p3,1.3,o6_insert,flowstar_style_o6_candidate8_output6_insert,6,8,15,1.3,0.10000000000000001,0.080525851221426428,0.067399287704456592,0.14792513892588302,completed,true,0.27776530000000021,validated,true,0.15256282806734547,completed,true,0.27776530000000021,completed,true,0.15256282806734547,0.54925085339077762,0,,,,,
o6_insert_t1p68,1.6799999999999999,o6_insert,flowstar_style_o6_candidate8_output6_insert,6,8,18,1.6000000000000003,0.10000000000000001,0.073085513885022615,0.052970250150308769,0.12605576403533139,completed,true,0.26926000000000005,validated,true,0.13555685463401071,completed,true,0.26926000000000005,completed,true,0.13555685463401071,0.50344222919858383,0,,,,,
o6_insert_t2p12,2.1200000000000001,o6_insert,flowstar_style_o6_candidate8_output6_insert,6,8,23,2.1000000000000005,0.10000000000000001,0.084627926767115516,0.071195586113429923,0.15582351288054544,completed,true,0.37548519999999996,validated,true,0.17564013771541234,completed,true,0.37548519999999996,completed,true,0.17564013771541234,0.46776847054268011,0,,,,,
o6_insert_t3,3,o6_insert,flowstar_style_o6_candidate8_output6_insert,6,8,32,3.0000000000000013,0.10000000000000001,0.18202666771099227,0.21965683357085289,0.40168350128184516,not_completed,false,,validated,true,0.51160405978814238,not_completed,false,,completed,true,0.51160405978814238,,0,,,,,Flow* reach did not complete
o6_insert_t5,5,o6_insert,flowstar_style_o6_candidate8_output6_insert,6,8,54,4.9749999999999988,0.10000000000000001,0.11889860869222459,0.071071675212856858,0.18997028390508144,completed,true,0.34344770000000002,validated,true,0.20706476519986156,completed,true,0.34344770000000002,completed,true,0.20706476519986156,0.60290042763384799,0,,,,,
o6_insert_t6p4,6.4000000000000004,o6_insert,flowstar_style_o6_candidate8_output6_insert,6,8,68,6.3749999999999938,0.050000000000000003,0.44884883449044843,0.68770989752582212,1.1365587320162707,not_completed,false,,validated,true,1.3044304697284184,not_completed,false,,completed,true,1.5129273030992563,,0,,,,,Flow* reach did not complete
o6_insert_t7p4,7.4000000000000004,o6_insert,flowstar_style_o6_candidate8_output6_insert,6,8,123,7.3988717130679893,0.0062630644627567882,3.0068231653239672,8.8016980323137748,11.808521197637742,not_completed,false,,validated,true,12.15933979933626,not_completed,false,,completed,true,22.375181422610765,,23,,,,,Flow* reach did not complete
