run_id,mode,order,candidate_order,output_order,truncation_range_split,normal_eval_range_split,validation_mode,reset_mode,flowstar_symbolic_queue_max_size,cutoff_threshold,target_remainder_radius,center_correction_width_factor,selective_high_degree_terms_top_k,selective_retained_terms_count,selective_dropped_terms_count,selective_nonretained_terms_count,selective_dropped_remainder_width_sum,selective_total_dropped_width_sum,segment_index,status,validation_attempts,t_lo,t_hi,h,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,reset_box_source,reset_width_x,reset_width_y,reset_width_sum,flowstar_queue_size_before,flowstar_queue_size_after,flowstar_queue_reset,flowstar_propagated_remainder_width_sum,flowstar_total_remainder_width_sum,queue_size,propagated_symbolic_width_x,propagated_symbolic_width_y,propagated_symbolic_width_sum,new_symbolic_width_x,new_symbolic_width_y,new_symbolic_width_sum,materialized_width_x,materialized_width_y,materialized_width_sum,materialized_for_output_width,ordinary_only_range_width,symbolic_contribution_width,total_range_width_with_symbolic,target_checked_width,linear_map_norm,scalars,symqueue_approximation,endpoint_box_width_x,endpoint_box_width_y,endpoint_box_width_sum,endpoint_tm_width_x,endpoint_tm_width_y,endpoint_tm_width_sum,inserted_endpoint_width_x,inserted_endpoint_width_y,inserted_endpoint_width_sum,normalized_reset_width_x,normalized_reset_width_y,normalized_reset_width_sum,normal_state_right_width_x,normal_state_right_width_y,normal_state_right_width_sum,insertion_truncation_width_x,insertion_truncation_width_y,insertion_truncation_width,insertion_truncation_width_sum,insertion_cutoff_width_x,insertion_cutoff_width_y,insertion_cutoff_width,insertion_cutoff_width_sum,insertion_truncation_ordinary_width,insertion_cutoff_ordinary_width,insertion_symbolic_candidate_width,composed_poly_range_width_x,composed_poly_range_width_y,composed_poly_range_width,composed_poly_range_width_sum,output_remainder_width_x,output_remainder_width_y,output_remainder_width,output_remainder_width_sum,scale_x,scale_y,center_x,center_y,tmv_right_degree,tmv_pre_degree,tmv_right_term_count,tmv_pre_term_count,terms_before_insertion_truncation,terms_after_insertion,step_rejections,next_h,message
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,0,validated,1,0,0.050000000000000003,0.050000000000000003,1.2152074582892709,1.5176150544840932,2.1485666581987743,2.3525636893406876,0.30240759619482227,0.20399703114191325,0.50640462733673552,normalized_insertion,0.30246437144019289,0.20604027562221106,0.50850464706240395,,,,,,,,,,,,,,,,,,,,,,,,,,0.50640462733673564,,,,,,0.50640462733671499,,,0.50850464706240406,,,,,,9.8813129168249309e-324,,,,9.8813129168249309e-324,,,,,,,0.50629477746504259,,,,0.00010984987167231932,,0.15123218572009586,0.10302013781110422,1.3664396440093696,2.2515867960098861,5,6,28,68,28,28,1,0.075000000000000011,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,1,validated,1,0.050000000000000003,0.125,0.075000000000000011,1.3692062292723295,1.6809324357024105,1.7942788493171571,2.1428570349175349,0.31172620643008098,0.34857818560037779,0.66030439203045876,normalized_insertion,0.29664526334979069,0.33888282156361638,0.63552808491340707,,,,,,,,,,,,,,,,,,,,,,,,,,0.66030439203045888,,,,,,0.63291264457895524,,,0.63552808491340718,,,,,,2.6616468844048692e-10,,,,2.5357808592438671e-10,,,,,,,0.63260780689382379,,,,0.00030483768513131325,,0.14832263167489468,0.16944141078180722,1.5251215209970321,1.9696800196483615,6,6,36,68,458,36,0,0.10000000000000001,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,2,validated,1,0.125,0.17499999999999999,0.050000000000000003,1.4629057556703822,1.7736129009089687,1.5437204672203497,1.9628219969827705,0.31070714523858656,0.41910152976242077,0.72980867500100732,normalized_insertion,0.28690245686250471,0.40113327635488494,0.68803573321738964,,,,,,,,,,,,,,,,,,,,,,,,,,0.72980867500100743,,,,,,0.68680443548869696,,,0.68803573321738976,,,,,,5.5715525616350318e-10,,,,3.2941090027185568e-10,,,,,,,0.68636816345889662,,,,0.00043627202980022796,,0.14345122843125169,0.20056663817744186,1.6182807754577426,1.7540157431080914,6,6,39,68,653,39,1,0.075000000000000011,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,3,validated,1,0.17499999999999999,0.25,0.075000000000000011,1.5817573597872912,1.8923297659904561,1.1695774154681402,1.6536418481313409,0.31057240620316495,0.48406443266320065,0.7946368388663656,normalized_insertion,0.26525811008012345,0.46167866813680947,0.72693677821693292,,,,,,,,,,,,,,,,,,,,,,,,,,0.79463683886636571,,,,,,0.72381346236241861,,,0.72693677821693303,,,,,,2.1964660753074344e-09,,,,1.1390222100484578e-10,,,,,,,0.72316629504203633,,,,0.000647167320382257,,0.13262905504006112,0.23083933406840415,1.7370780706881856,1.4123191191670095,6,6,42,68,684,42,0,0.10000000000000001,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,4,validated,1,0.25,0.29999999999999999,0.050000000000000003,1.6591853322663226,1.9447822874509251,0.93839833209850598,1.4315645526529459,0.28559695518460249,0.49316622055443993,0.77876317573904241,normalized_insertion,0.24753152669557599,0.47771535331585091,0.7252468800114269,,,,,,,,,,,,,,,,,,,,,,,,,,0.77876317573904252,,,,,,0.71953311238779072,,,0.72524688001142701,,,,,,2.6759804263053099e-09,,,,2.4406738064668621e-10,,,,,,,0.71875983689245049,,,,0.00077327549534012951,,0.12376576334778731,0.23885767665792493,1.8019961830230378,1.1854146841879258,6,6,43,68,748,43,1,0.075000000000000011,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,5,validated,1,0.29999999999999999,0.375,0.075000000000000011,1.739837975586122,2.0174595133164033,0.61937260461851285,1.1081954708058077,0.27762153773028131,0.48882286618729487,0.76644440391757618,normalized_insertion,0.22062326988340342,0.46757133146220831,0.68819460134561172,,,,,,,,,,,,,,,,,,,,,,,,,,0.76644440391757629,,,,,,0.67841307335242662,,,0.68819460134561183,,,,,,4.7610472687651437e-09,,,,2.9986030346067804e-10,,,,,,,0.67745741421012207,,,,0.00095565914230444934,,0.11031163494170103,0.23378566573110371,1.8786675842979887,0.86420058979765491,6,6,44,68,764,44,0,0.10000000000000001,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,6,validated,1,0.375,0.42499999999999999,0.050000000000000003,1.7960782738840126,2.037791039101676,0.44046965616995432,0.89847454313031383,0.24171276521766338,0.45800488696035951,0.69971765217802284,normalized_insertion,0.20293012143077505,0.4437024342250272,0.64663255565580224,,,,,,,,,,,,,,,,,,,,,,,,,,0.69971765217802295,,,,,,0.63468516067736813,,,0.64663255565580235,,,,,,3.6503985752180325e-09,,,,1.8937064105513122e-10,,,,,,,0.63363127935304875,,,,0.001053881324319285,,0.10146506071538663,0.22185121711251329,1.9169405202956342,0.66969200947823015,6,6,45,68,790,45,1,0.075000000000000011,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,7,validated,1,0.42499999999999999,0.5,0.075000000000000011,1.8414299275990207,2.0731082009463555,0.20755025151727299,0.61850401490883844,0.23167827334733482,0.41095376339156542,0.64263203673890024,normalized_insertion,0.17796146567044779,0.39289412598493423,0.57085559165538202,,,,,,,,,,,,,,,,,,,,,,,,,,0.64263203673890035,,,,,,0.55677894797120109,,,0.57085559165538213,,,,,,7.0074473937788729e-09,,,,9.3116373255691884e-11,,,,,,,0.55559703525835724,,,,0.0011819127128437424,,0.088980732835222967,0.19644706299246692,1.9572781527179373,0.41325812424557495,6,6,46,68,794,46,0,0.10000000000000001,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,8,validated,1,0.5,0.59999999999999998,0.10000000000000001,1.8788251994864105,2.0896268871276051,-0.02877893239669348,0.30478511025325955,0.21080168764119467,0.33356404264995304,0.54436573029114776,normalized_insertion,0.14911249820115802,0.3175582555369254,0.46667075373808342,,,,,,,,,,,,,,,,,,,,,,,,,,0.54436573029114776,,,,,,0.45153313915332238,,,0.46667075373808353,,,,,,8.4210045336563657e-09,,,,1.7180727481546364e-10,,,,,,,0.45021463930151184,,,,0.0013184998518104773,,0.074556249100578009,0.15877912776846259,1.9842359615959364,0.13820854530983306,6,6,47,68,848,47,0,0.10000000000000001,
flowstar_style_o6_candidate8_output6_cutoff_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,1e-10,0.0001,,,,,,,,9,validated,1,0.59999999999999998,0.69999999999999996,0.10000000000000001,1.8991024946214816,2.0752482337023745,-0.19773611486148507,0.059099535350037889,0.17614573908089293,0.25683565021152294,0.43298138929241586,normalized_insertion,0.12597370654831508,0.24892600902792505,0.37489971557624013,,,,,,,,,,,,,,,,,,,,,,,,,,0.43298138929241592,,,,,,0.35992484930365387,,,0.37489971557624019,,,,,,5.5069468521003163e-09,,,,1.4558988749621963e-10,,,,,,,0.35853491207206128,,,,0.0013899372315925342,,0.062986853274156693,0.12446300451396247,1.9871802783687216,-0.069200120434031218,6,6,48,68,864,48,0,0.10000000000000001,
