plant,view,range_kind,state,comparison,scope,selection,requested_time,actual_time,ratio,numerator_width,denominator_width,numerator_lo,numerator_hi,denominator_lo,denominator_hi,absolute_width_difference,reason
brusselator,published,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.092262935307182,0.051210257005028126,0.046884550733771846,2.879988863928585,2.9311991209336132,2.882151718027856,2.929036268761628,0.00432570627125628,
brusselator,published,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.05235703795478952,,,1.3615514641951685,1.413908502149958,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.010319461296592003,,,4.289650413973336,4.299969875269928,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.015379810028023133,,,2.9813118542445682,2.9966916642725914,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.017942661403042015,,,1.0124797594712602,1.0304224208743022,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.008663252352608453,,,4.592434521710793,4.601097774063401,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.0107950761116582,0.051210257005028126,0.050663342368093556,2.879988863928585,2.9311991209336132,2.8802509677869526,2.930914310155046,0.0005469146369345701,
brusselator,published,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.0000004467049004,0.051210257005028126,0.05121023412916559,2.879988863928585,2.9311991209336132,2.879988874960499,2.9311991090896647,2.2875862537574676e-08,
brusselator,published,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,1,1.0,0.9232455659559436,0.048338403138346475,0.05235703795478952,1.363051299943135,1.4113897030814815,1.3615514641951685,1.413908502149958,-0.004018634816443045,
brusselator,published,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,5,5.0,0.9960073104850335,0.010278258891672998,0.010319461296592003,4.289702652947384,4.299980911839057,4.289650413973336,4.299969875269928,-4.1202404919005176e-05,
brusselator,published,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,10,10.0,0.9919640262884349,0.015256218278949074,0.015379810028023133,2.981397197600063,2.996653415879012,2.9813118542445682,2.9966916642725914,-0.000123591749074059,
brusselator,published,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,15,15.0,0.9332864348983402,0.016745642493433133,0.017942661403042015,1.013084484634906,1.0298301271283392,1.0124797594712602,1.0304224208743022,-0.0011970189096088824,
brusselator,published,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,20,20.0,0.9622385054964608,0.008336114996512656,0.008663252352608453,4.592612161756297,4.60094827675281,4.592434521710793,4.601097774063401,-0.00032713735609579686,
brusselator,published,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,maximum_ratio_in_observed_prefix,,13.46,1.0384547886615927,0.0007228037089967998,0.0006960377253673045,4.72139050603282,4.722113309741816,4.721390831218782,4.7220868689441495,2.6765983629495338e-05,
brusselator,published,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.06456522784185315,,,1.9514172727742023,2.0159825006160554,,missing_or_stopped
brusselator,published,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.0030054568763693834,,,0.424600239808198,0.4276056966845674,,missing_or_stopped
brusselator,published,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.006385946193444958,,,0.41183081154619805,0.418216757739643,,missing_or_stopped
brusselator,published,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.10879315002834344,,,2.637170903767081,2.7459640537954244,,missing_or_stopped
brusselator,published,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.0063391203720706835,,,0.49400096720749515,0.5003400875795658,,missing_or_stopped
brusselator,published,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.000000307698678,0.09039941851354172,0.0903993906977687,1.5091610719940574,1.599560490507599,1.5091610849669643,1.599560475664733,2.7815773018247114e-08,
brusselator,published,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.06209611308274843,,,1.9524580367434234,2.014554149826172,,missing_or_stopped
