plant,view,range_kind,state,comparison,scope,requested_duration,compared_duration,ratio_duration,near_zero_denominator_duration,missing_duration,full_requested_coverage,max_absolute_width_difference,max_absolute_lower_shift,max_absolute_upper_shift,max_absolute_center_shift,disjoint_duration,duration_above_1_10_plus_1e_12,max_ratio,max_at_time,weighted_median,weighted_p95,worst_numerator_width,worst_denominator_width
brusselator,published,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,2.8888468843746296e-06,1.4434884623160116e-06,1.445358422058618e-06,9.349798713031987e-10,0.0,0.0,1.0000543213627138,0.04,1.0000246171506997,1.0000543213627138,0.05318356657761303,0.053180677730728654
brusselator,published,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.0005413224085493162,0.00028164730942714655,0.0002596750991221697,1.0986105152488435e-05,0.0,0.0,1.010283042014904,0.04,1.000000173888497,1.010283042014904,0.05318356657761303,0.05264224416906371
brusselator,published,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,2.042095625931495e-08,1.0508084180571586e-08,9.912872078743362e-09,2.976060509141121e-10,0.0,0.0,1.000000383971317,0.04,1.0000001738884874,1.000000383971317,0.05318356657761303,0.05318354615665677
brusselator,published,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,20.0,20.0,20.0,0.0,0.0,True,0.06491698348672648,0.03180780132592265,0.03310918216080383,0.001077360841549302,0.0,1.16,1.3566840773377749,7.2,0.9957775274693066,1.1100877952903736,0.24691833317201395,0.18200134968528747
brusselator,published,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.00432570627125628,0.002162854099271083,0.0021628521719851967,9.636429432191562e-10,0.0,0.0,1.092262935307182,0.04,1.0886755370417414,1.092262935307182,0.051210257005028126,0.046884550733771846
brusselator,published,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.0005469146369345701,0.0002621038583674462,0.0002848107785671239,1.1353460099838841e-05,0.0,0.0,1.0107950761116582,0.04,1.0000001923296633,1.0107950761116582,0.051210257005028126,0.050663342368093556
brusselator,published,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,2.2875862537574676e-08,1.1031914048942326e-08,1.184394848863235e-08,4.060172198450118e-10,0.0,0.0,1.0000004467049004,0.04,1.0000001923296444,1.0000004467049004,0.051210257005028126,0.05121023412916559
brusselator,published,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,20.0,20.0,20.0,0.0,0.0,True,0.05304501805279105,0.025553718822532545,0.02753188411384566,0.0010796627674181103,0.0,0.0,1.0384547886615927,13.46,0.9911242518764041,1.0061440343568837,0.0007228037089967998,0.0006960377253673045
brusselator,published,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,2.7815773018247114e-08,1.2972906970887266e-08,1.4842866047359848e-08,9.349795382362913e-10,0.0,0.0,1.000000307698678,0.04,1.0000001236525276,1.000000307698678,0.09039941851354172,0.0903993906977687
brusselator,published,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.0005413224085493162,0.00028164730942714655,0.0002596750991221697,1.0986105152488435e-05,0.0,0.0,1.0060241918314943,0.04,1.000000097947431,1.0060241918314943,0.09039941851354172,0.0898580961049924
