step,time,channel,flowstar_lo,flowstar_hi,flowstar_width,torch_lo,torch_hi,torch_width,absolute_excess,relative_ratio,flowstar_width_increment,torch_width_increment,excess_increment
1,0.01,endpoint_x,1.1233097182976843,1.4244225119339453,0.301112793636261,1.1234168579141735,1.4243153549019467,0.30089849698777327,-0.00021429664848771068,0.9992883176901923,0.0011127936362609891,0.0008984969877732785,-0.00021429664848771068
1,0.01,endpoint_y,2.311664291358734,2.434298058178654,0.12263376681992,2.312314245043018,2.433648536212411,0.1213342911693931,-0.0012994756505269045,0.9894036064925323,0.022633766819919993,0.021334291169393088,-0.0012994756505269045
1,0.01,segment_tube_x,1.0993097056396248,1.4245550681839452,0.32524536254432035,1.0993087672378825,1.4245559891701776,0.32524722193229505,1.8593879747008657e-06,1.0000057168777448,0.02524536254432036,0.02524722193229506,1.8593879747008657e-06
1,0.01,segment_tube_y,2.3116590217343096,2.4610649331786534,0.1494059114443438,2.311648456567026,2.4610759300639784,0.1494274734969525,2.156205260872568e-05,1.000144318604266,0.04940591144434378,0.049427473496952506,2.156205260872568e-05
2,0.02,endpoint_x,1.1463431164287508,1.448566150802123,0.3022230343733723,1.1464501005045302,1.448466743220258,0.3020166427157278,-0.00020639165764446687,0.9993170882620764,0.001110240737111301,0.0011181457279545448,7.904990843243809e-06
2,0.02,endpoint_y,2.2724661522317584,2.416508500955514,0.14404234872375543,2.2730951438938103,2.416347131657433,0.1432519877636227,-0.000790360960132741,0.9945129958853386,0.021408581903835433,0.021917696594229596,0.0005091146903941635
2,0.02,segment_tube_x,1.1226107177825237,1.44870624101504,0.3260955232325162,1.122607636621552,1.4487168986699264,0.3261092620483743,1.3738815858088671e-05,1.0000421312617906,0.0008501606881958779,0.0008620401160792657,1.1879427883387805e-05
2,0.02,segment_tube_y,2.2724600705092985,2.44477669537337,0.1723166248640715,2.2722150945538337,2.445489293692805,0.17327419913897124,0.0009575742748997307,1.0055570626203658,0.022910713419727724,0.02384672564201873,0.000936012222291005
3,0.03,endpoint_x,1.169192926651731,1.4723117697196855,0.30311884306795456,1.169295859428248,1.4722256834263818,0.30292982399813373,-0.00018901906982082828,0.999376419268734,0.0008958086945822785,0.0009131812824059171,1.7372587823638597e-05
3,0.03,endpoint_y,2.231946526546192,2.3971684239334445,0.16522189738725235,2.2325656493394574,2.397431464351676,0.16486581501221842,-0.00035608237503392814,0.9978448233517175,0.021179548663496917,0.02161382724859573,0.0004342785850988129
3,0.03,segment_tube_x,1.1457431471448418,1.472459209485946,0.3267160623411043,1.145734032272316,1.4724851708416857,0.32675113856936977,3.5076228265484843e-05,1.0001073599749402,0.0006205391085880585,0.0006418765209954547,2.1337412407396172e-05
3,0.03,segment_tube_y,2.2319396559619262,2.4269002494421277,0.19496059348020145,2.2314298523561265,2.4282922162594245,0.19686236390329803,0.0019017704230965826,1.0097546401000759,0.02264396861612994,0.02358816476432679,0.0009441961481968519
4,0.04,endpoint_x,1.1918493120764078,1.4956431261045193,0.30379381402811156,1.1919408334974848,1.4955766356269056,0.30363580212942076,-0.0001580118986908019,0.9994798712436055,0.0006749709601570064,0.0007059781312870328,3.100717113002638e-05
4,0.04,endpoint_y,2.19020439794521,2.376265550923973,0.18606115297876302,2.1908039178169028,2.3769080555262394,0.18610413770933665,4.2984730573625285e-05,1.0002310247458186,0.020839255591510675,0.021238322697118228,0.00039906710560755343
4,0.04,segment_tube_x,1.1686967802003874,1.495797707425346,0.32710092722495854,1.1686743395929813,1.4958451789762157,0.32717083938323444,6.99121582758977e-05,1.0002137326814358,0.0003848648838542523,0.0004197008138646652,3.483593001041285e-05
4,0.04,segment_tube_y,2.1901967676653804,2.4074186260796417,0.21722185841426134,2.189388197282496,2.4094692209364856,0.22008102365398985,0.0028591652397285117,1.0131624195677207,0.022261264934059888,0.023218659750691817,0.000957394816631929
5,0.05,endpoint_x,1.2142984945840025,1.5185460892717926,0.30424759468779006,1.2143718772275394,1.5185047966034984,0.304132919375959,-0.00011467531183106949,0.9996230855598095,0.00045378065967849324,0.0004971172465382256,4.333658685973241e-05
5,0.05,endpoint_y,2.147313247925057,2.3538216611420713,0.2065084132170143,2.1478917111844877,2.3547888217292194,0.2068971105447317,0.0003886973277174022,1.001882234828413,0.020447260238251275,0.02079297283539505,0.0003457125971437769
5,0.05,segment_tube_x,1.1914574153220059,1.5187075814482904,0.32725016612628455,1.1914149987604745,1.5187820879850644,0.3273670892245899,0.00011692309830535486,1.000357289653018,0.0001492389013260098,0.00019624984135546697,4.701094002945716e-05
5,0.05,segment_tube_y,2.1473048928127283,2.3863490950747446,0.23904420226201628,2.1461732022843782,2.3890264094496745,0.24285320716529624,0.0038090049032799556,1.0159343120110687,0.021822343847754944,0.022772183511306388,0.0009498396635514439
6,0.06,endpoint_x,1.236511290526765,1.5410071059660422,0.3044958154392772,1.2365760365839311,1.5409961520247988,0.30442011544086767,-7.569999840950636e-05,0.9997513923194632,0.000248220751487116,0.0002871960649086791,3.897531342156313e-05
6,0.06,endpoint_y,2.1033608364573957,2.3298548169928086,0.22649398053541292,2.103913901390914,2.3310911362254263,0.22717723483451246,0.0006832542990995449,1.0030166554426054,0.019985567318398623,0.020280124289780765,0.00029455697138214276
6,0.06,segment_tube_x,1.213995400315551,1.541175256658369,0.3271798563428179,1.21394259634305,1.5412818527467926,0.32733925640374273,0.00015940006092485248,1.0004871939938682,-7.030978346667105e-05,-2.7832820847173423e-05,4.247696261949763e-05
6,0.06,segment_tube_y,2.103351796763038,2.3637054268612756,0.2603536300982374,2.1018712760276133,2.3669753317628364,0.2651040557352231,0.004750425636985689,1.0182460510928664,0.02130942783622114,0.022250848569926873,0.0009414207337057334
7,0.07,endpoint_x,1.2584870000306463,1.563013563121163,0.30452656309051673,1.258540584132364,1.5630375245921246,0.3044969404597606,-2.9622630756120927e-05,0.9999027256261145,3.0747651239559914e-05,7.682501889294535e-05,4.607736765338544e-05
