step,time,reasons,endpoint_x_absolute_excess,endpoint_x_relative_ratio,endpoint_x_excess_increment,endpoint_y_absolute_excess,endpoint_y_relative_ratio,endpoint_y_excess_increment,segment_tube_x_absolute_excess,segment_tube_x_relative_ratio,segment_tube_x_excess_increment,segment_tube_y_absolute_excess,segment_tube_y_relative_ratio,segment_tube_y_excess_increment
1,0.01,mandatory_step_1,-0.00021429664848771068,0.9992883176901923,-0.00021429664848771068,-0.0012994756505269045,0.9894036064925323,-0.0012994756505269045,1.8593879747008657e-06,1.0000057168777448,1.8593879747008657e-06,2.156205260872568e-05,1.000144318604266,2.156205260872568e-05
2,0.02,mandatory_step_2,-0.00020639165764446687,0.9993170882620764,7.904990843243809e-06,-0.000790360960132741,0.9945129958853386,0.0005091146903941635,1.3738815858088671e-05,1.0000421312617906,1.1879427883387805e-05,0.0009575742748997307,1.0055570626203658,0.000936012222291005
50,0.5,nearest_to_0.5,0.002641779600076166,1.014456329576867,0.00014153051755694257,0.0006084297280389839,1.0015373662481564,-0.00019988741751086891,0.002804392435609815,1.0149685096451624,0.00013707756726866194,0.023641595929353,1.0552112880913926,-0.0004805394368123661
98,0.98,first_endpoint_x_ratio_gt_1.1,0.00826343251515782,1.1014040574318127,8.870648254011293e-05,0.002520433063084304,1.021447867927015,0.00010001297353140481,0.008296245707374306,1.0969605261167497,8.767616220684005e-05,0.009096946850817689,1.0721972455373807,-0.00010658478081282396
100,1.0,first_segment_tube_x_ratio_gt_1.1;nearest_to_1.0,0.008438095460857609,1.1061157688329692,8.688595108607977e-05,0.002715258977108115,1.0243353113289309,9.657449056216239e-05,0.008468946029541069,1.1011186386824114,8.592072978630405e-05,0.008898245576982322,1.0743583953482423,-9.696044727974806e-05
118,1.18,first_segment_tube_y_ratio_gt_1.1,0.009886058510333084,1.1486700183854583,7.700305288294018e-05,0.004251336712746467,1.0583646611259399,8.075896336290356e-05,0.009904190288128945,1.1377052149017277,7.648963441231338e-05,0.00788650508592692,1.1003694160011634,-2.1984281447784415e-05
134,1.34,first_endpoint_y_ratio_gt_1.1,0.011106857963160799,1.1845914102018165,7.676863809358281e-05,0.005532869556695741,1.1018456483906447,7.816767021839865e-05,0.011118859863257669,1.1673844565151938,7.647991406378729e-05,0.007941020080506678,1.1340809588456848,2.0356557017264798e-05
200,2.0,nearest_to_2.0,0.01783657618603396,1.2880320493101916,0.00014836677711205226,0.013942762319304136,1.2844808695181318,0.00021432638173923824,0.0178394282419434,1.2482528394702719,0.00014824990164785667,0.014517298584138083,1.2564241043315139,0.00019091673179882918
300,3.0,nearest_to_3.0,0.048754263006459575,1.352002801307621,0.00035137066297857844,0.047012584088458986,1.431895840052862,2.1214025019311578e-05,0.04881416425335772,1.29779101738795,0.0003544537404925885,0.047084002379503165,1.3746227052696502,2.4615479327305678e-05
306,3.06,first_endpoint_y_ratio_gt_1.5,0.05060515110184516,1.3518679276009646,0.00027824775895335385,0.045423202822031605,1.5196338559200582,-0.0003807675045854886,0.05068459074087511,1.2980370620981037,0.00028159307212588525,0.045510698611963996,1.4574777396225393,-0.0003788046177373161
308,3.08,first_segment_tube_y_ratio_gt_1.5,0.05112503639170407,1.3520746318743604,0.0002537211169690856,0.044541124156708634,1.5711828655060809,-0.0004607513931569329,0.0512112054530508,1.2983389514429726,0.00025708908076904624,0.044630996599565265,1.5069796507564288,-0.00045983739910138155
315,3.15,first_endpoint_y_ratio_gt_2.0;first_segment_tube_y_ratio_gt_2.0,0.05253050167670692,1.3546647731197485,0.0001604232621648105,0.04026733753090417,2.085105340068994,-0.0006933746007460329,0.05263950382817739,1.3010015042923304,0.00016352503870198376,0.04034620229161234,2.0493503348305913,-0.0006959328360909289
343,3.43,first_endpoint_x_ratio_gt_1.5,0.06130762455022176,1.5017568365688476,0.00034023280995265637,0.14064389149634748,1.5827372955780987,0.0034634428846049836,0.06148764365474291,1.4297185964164256,0.000341519447861538,0.15096253199038312,1.532295262727021,0.004139725187772836
349,3.49,first_segment_tube_x_ratio_gt_1.5,0.06342721823180564,1.5852825115009126,0.00036643048844009485,0.1585358760302431,1.6208812977731644,0.0026205897848881055,0.06361143200247321,1.502290106677801,0.00036676418462344706,0.17281222472405644,1.5727992618289635,0.003264773003644139
365,3.65,first_endpoint_x_ratio_gt_2.0,0.07038507964656526,2.0426370366761484,0.0005219134139764492,0.16182811989209567,1.6351856980450463,-0.0004721484212116822,0.07055409771431731,1.9010755447886065,0.0005200127790281339,0.1828951128096279,1.6106183136499004,-0.00028444134864880066
368,3.68,first_segment_tube_x_ratio_gt_2.0,0.07201573105799164,2.1981432859164634,0.0005541625017608798,0.15982214350218504,1.6499531490028916,-0.0007633748419205721,0.07217839695381612,2.037292340231183,0.0005519433191991663,0.1812385479043106,1.6274937647178718,-0.0006818588223687083
388,3.88,first_endpoint_x_ratio_gt_5.0,0.08402784625792514,5.140268244542934,0.0006221313564473974,0.12974172771522804,1.8084893761906895,-0.001937412281955181,0.08413591933756814,4.701688572388583,0.0006192638196642619,0.1476694237699052,1.7867426158477966,-0.0022655029671153626
389,3.89,first_segment_tube_x_ratio_gt_5.0,0.08465080949755377,5.508682742140353,0.0006229632396286267,0.12778039987800494,1.8183190591423,-0.001961327837223109,0.08475603166078938,5.047481911231647,0.0006201123232212336,0.14537287679763358,1.7960633317560395,-0.002296546972271607
421,4.21,nearest_to_4.205867,0.11082074063451608,5.564495058763453,0.0007289273992754364,0.06701708043873938,2.105340977583155,-0.0011780246400314165,0.11085807452258067,5.006049698131219,0.0007278720800212302,0.0745071829318012,2.051519392507039,-0.001389421970164284
536,5.36,first_endpoint_y_ratio_gt_5.0,0.21859557712283917,4.545475907669673,0.001901111635516095,0.19111833037763937,5.012109472110098,0.0034412558494252288,0.21860481764824424,4.0433188873599315,0.0019007172486174007,0.19299857179878532,4.475983723183394,0.003362457738840474
575,5.75,first_segment_tube_y_ratio_gt_5.0,0.3296709190004038,4.794453370285167,0.004038616266159645,0.4069137965859826,5.669907777303711,0.008055188049326034,0.3296711327496191,4.256234999379108,0.004038629268231175,0.4070219096339043,5.0132080074767,0.008060755162631272
623,6.23,nearest_to_6.225303,0.6512414923079715,5.571070378887794,0.010617184597360052,1.0883839521656278,9.079462824082631,0.03183563205020956,0.6513893087953765,4.924048999282961,0.010628496463794268,1.088606453330825,7.990786628868175,0.031870318465101244
632,6.32,nearest_to_6.32,0.7634365472439139,5.987318478989109,0.014203618809671359,1.4675631002797296,13.000127268946539,0.05169985545474187,0.7637141425470748,5.282654101161162,0.01422079140255783,1.4682484934615618,11.500892201495919,0.05176755592699078
