forced_step_index,t_before,h_forced,flowstar_status,torch_noqueue_status,torch_v2_status,torch_noqueue_accepts_flowstar_h,torch_v2_accepts_flowstar_h,first_numeric_channel_divergence,channel_attribution_valid,center_delta_noqueue,center_delta_v2,scale_delta_noqueue,scale_delta_v2,right_map_width_ratio_noqueue_over_flowstar,right_map_width_ratio_v2_over_flowstar,reset_width_ratio_noqueue_over_flowstar,reset_width_ratio_v2_over_flowstar,target_width_ratio_noqueue_over_flowstar,target_width_ratio_v2_over_flowstar,picard_residual_ratio_noqueue_over_flowstar,picard_residual_ratio_v2_over_flowstar,output_range_width_ratio_noqueue_over_flowstar,output_range_width_ratio_v2_over_flowstar,verdict
0,9.9999999999999998e-13,0.012500000000000001,accepted,accepted,accepted,true,true,center_scaling,true,0.033687849170818129,0.033687849170818129,0.013633243452705432,0.013633243452705432,0.10693024082361671,0.10693024082361671,1.0709041391306491,1.0709041391306491,1,1,1.5703224334395423,1.5703224334395423,0.86638811627841295,0.86638811627841295,center_scaling
1,0.012500000001000001,0.013750000000000002,accepted,accepted,accepted,true,true,center_scaling,true,0.039745121106607773,0.039745121106607773,0.014766247070915742,0.014766247070915742,0.11465128605933569,0.11465128605933569,1.0709081246367851,1.0709081246367851,1,1,1.3916467966537025,1.3916467966537025,0.86069417874716236,0.86069417874716236,center_scaling
2,0.026250000001000001,0.015125000000000003,accepted,accepted,accepted,true,true,center_scaling,true,0.046852158345044081,0.046852158345044081,0.01585602323952065,0.01585602323952065,0.12275007072993611,0.12275007072993611,1.0702101871119096,1.0702101871119096,1,1,1.2246709195038663,1.2246709195038663,0.85433631253643116,0.85433631253643116,center_scaling
3,0.041375000001000001,0.016637500000000003,accepted,accepted,accepted,true,true,center_scaling,true,0.055140866789908483,0.055140866789908483,0.016841875508705084,0.016841875508705084,0.13117087483537976,0.13117087483537976,1.068710426893464,1.068710426893464,1,1,1.0869104698528165,1.0869104698528165,0.84738903892996231,0.84738903892996231,center_scaling
4,0.058012500001,0.018301250000000005,accepted,accepted,accepted,true,true,center_scaling,true,0.064730631073992573,0.064730631073992573,0.017618432295555153,0.017618432295555153,0.13979903187031278,0.13979903187031278,1.066069080590583,1.066069080590583,1,1,0.97193698771961223,0.97193698771961223,0.83971178876138741,0.83971178876138741,center_scaling
5,0.076313750001000005,0.020131375000000007,accepted,accepted,accepted,true,true,center_scaling,true,0.07570967599689471,0.07570967599689471,0.018075648675901945,0.018075648675901945,0.14844134664377431,0.14844134664377431,1.0621235231689179,1.0621235231689179,1,1,0.8761885153759742,0.8761885153759742,0.83126199322230043,0.83126199322230043,center_scaling
6,0.096445125001000012,0.011072256250000004,accepted,accepted,accepted,true,true,center_scaling,true,0.043466339528677622,0.043466339528677622,0.0092884541259345421,0.0092884541259345421,0.15274620271861883,0.15274620271861883,1.0294841426617494,1.0294841426617494,1,1,1.3476598853238342,1.3476598853238342,0.90371106253346334,0.90371106253346334,center_scaling
7,0.10751738125100002,0.012179481875000005,accepted,accepted,accepted,true,true,center_scaling,true,0.049167361427072231,0.049167361427072231,0.0096472434685521691,0.0096472434685521691,0.1571529689649192,0.1571529689649192,1.0291996650130997,1.0291996650130997,1,1,1.2246755145615762,1.2246755145615762,0.89616161006680939,0.89616161006680939,center_scaling
8,0.11969686312600003,0.013397430062500007,accepted,accepted,accepted,true,true,center_scaling,true,0.055571004804486845,0.055571004804486845,0.0098736756085553434,0.0098736756085553434,0.16155826240691848,0.16155826240691848,1.0283541539299323,1.0283541539299323,1,1,1.1177061116921747,1.1177061116921747,0.88806414454257021,0.88806414454257021,center_scaling
9,0.13309429318850002,0.014737173068750008,accepted,accepted,accepted,true,true,center_scaling,true,0.062719306845673284,0.062719306845673284,0.0099248367085978673,0.0099248367085978673,0.16585045651973923,0.16585045651973923,1.0268590985004187,1.0268590985004187,1,1,1.0250800757310465,1.0250800757310465,0.87940488616485546,0.87940488616485546,center_scaling
