forced_step_index,t_before,h_forced,flowstar_status,torch_noqueue_status,torch_v2_status,torch_noqueue_accepts_flowstar_h,torch_v2_accepts_flowstar_h,first_numeric_channel_divergence,channel_attribution_valid,center_delta_noqueue,center_delta_v2,scale_delta_noqueue,scale_delta_v2,right_map_width_ratio_noqueue_over_flowstar,right_map_width_ratio_v2_over_flowstar,reset_width_ratio_noqueue_over_flowstar,reset_width_ratio_v2_over_flowstar,target_width_ratio_noqueue_over_flowstar,target_width_ratio_v2_over_flowstar,picard_residual_ratio_noqueue_over_flowstar,picard_residual_ratio_v2_over_flowstar,output_range_width_ratio_noqueue_over_flowstar,output_range_width_ratio_v2_over_flowstar,verdict
10,0.14783146625725002,0.016210890375625009,accepted,accepted,accepted,true,true,center_scaling,true,0.070634118523199341,0.070634118523199341,0.0097420768608997566,0.0097420768608997566,0.16988634494938701,0.16988634494938701,1.0245841303388739,1.0245841303388739,1,1,0.94470613657825453,0.94470613657825453,0.8701608993608787,0.8701608993608787,center_scaling
11,0.16404235663287503,0.01783197941318751,accepted,accepted,accepted,true,true,center_scaling,true,0.079305567170426361,0.079305567170426361,0.0092580807906163243,0.0092580807906163243,0.17348537632020164,0.17348537632020164,1.0213832083984897,1.0213832083984897,1,1,0.87584351789797321,0.87584351789797321,0.86031636490519336,0.86031636490519336,center_scaling
12,0.18187433604606254,0.0098075886772531311,accepted,accepted,accepted,true,true,center_scaling,true,0.044183807532526709,0.044183807532526709,0.0044717850070098986,0.0044717850070098986,0.17500249974268903,0.17500249974268903,1.0095570420170947,1.0095570420170947,1,1,1.3637964395379525,1.3637964395379525,0.91972734628801622,0.91972734628801622,center_scaling
13,0.19168192472331566,0.010788347544978445,accepted,accepted,accepted,true,true,center_scaling,true,0.048957521990850239,0.048957521990850239,0.0052184315819813754,0.0052184315819813754,0.17669071443691026,0.17669071443691026,1.0110473494618883,1.0110473494618883,1,1,1.2617591106744761,1.2617591106744761,0.91261290087475311,0.91261290087475311,center_scaling
14,0.20247027226829412,0.01186718229947629,accepted,accepted,accepted,true,true,center_scaling,true,0.054174298819016586,0.054174298819016586,0.0053235707456000259,0.0053235707456000259,0.17843219680780417,0.17843219680780417,1.0105767669032801,1.0105767669032801,1,1,1.1646253276546921,1.1646253276546921,0.90601680935203188,0.90601680935203188,center_scaling
15,0.2143374545677704,0.01305390052942392,accepted,accepted,accepted,true,true,center_scaling,true,0.059838301462485921,0.059838301462485921,0.0051662246298354586,0.0051662246298354586,0.17996244007298934,0.17996244007298934,1.0092881857365019,1.0092881857365019,1,1,1.0788122250008643,1.0788122250008643,0.89948715246133792,0.89948715246133792,center_scaling
16,0.22739135509719433,0.014359290582366313,accepted,accepted,accepted,true,true,center_scaling,true,0.065937354012507221,0.065937354012507221,0.0048432398492346818,0.0048432398492346818,0.18115608903995892,0.18115608903995892,1.0074703862626742,1.0074703862626742,1,1,1.0033946513304206,1.0033946513304206,0.89263648223251191,0.89263648223251191,center_scaling
17,0.24175064567956064,0.015795219640602945,accepted,accepted,accepted,true,true,center_scaling,true,0.072436730776903602,0.072436730776903602,0.0043156668304491219,0.0043156668304491219,0.1818894160974355,0.1818894160974355,1.0050186208997642,1.0050186208997642,1,1,0.93745923535178111,0.93745923535178111,0.88535283719459834,0.88535283719459834,center_scaling
18,0.2575458653201636,0.017374741604663242,accepted,accepted,accepted,true,true,center_scaling,true,0.07927194142597549,0.07927194142597549,0.0035426109970462805,0.0035426109970462805,0.18201829330587868,0.18201829330587868,1.001817488833892,1.001817488833892,1,1,0.88210403076091903,0.88210403076091903,0.87736954560259772,0.87736954560259772,center_scaling
19,0.27492060692482684,0.019112215765129569,accepted,accepted,accepted,true,true,center_scaling,true,0.086340906708270326,0.086340906708270326,0.0033070176349007385,0.0033070176349007385,0.18137993257309074,0.18137993257309074,0.99774263448307943,0.99774263448307943,1,1,0.83092028019780217,0.83092028019780217,0.86889580451746984,0.86889580451746984,center_scaling
20,0.2940328226899564,0.010511718670821265,accepted,accepted,accepted,true,true,center_scaling,true,0.046969502542686836,0.046969502542686836,0.0017875370378855754,0.0017875370378855754,0.18077292279944696,0.18077292279944696,0.99731639145982587,0.99731639145982587,1,1,1.2961664755685058,1.2961664755685058,0.92937841862107973,0.92937841862107973,center_scaling
21,0.30454454136077769,0.011562890537903391,accepted,accepted,accepted,true,true,center_scaling,true,0.051153053316016717,0.051153053316016717,0.0019111532972870965,0.0019111532972870965,0.17981389535544059,0.17981389535544059,0.99591476165744486,0.99591476165744486,1,1,1.210006631590167,1.210006631590167,0.9235307117636754,0.9235307117636754,center_scaling
22,0.31610743189868107,0.012719179591693731,accepted,accepted,accepted,true,true,center_scaling,true,0.055564154549692768,0.055564154549692768,0.0021250290643629599,0.0021250290643629599,0.17850638567665078,0.17850638567665078,0.99389419231877552,0.99389419231877552,1,1,1.1318830157671187,1.1318830157671187,0.91742719752060276,0.91742719752060276,center_scaling
23,0.32882661149037479,0.013991097550863106,accepted,accepted,accepted,true,true,center_scaling,true,0.060167533844975751,0.060167533844975751,0.0023562589334919365,0.0023562589334919365,0.17675022576563262,0.17675022576563262,0.99142005749686246,0.99142005749686246,1,1,1.062023167711069,1.062023167711069,0.91101278392161156,0.91101278392161156,center_scaling
24,0.34281770904123787,0.015390207305949418,accepted,accepted,accepted,true,true,center_scaling,true,0.064910705668223323,0.064910705668223323,0.0026037971374857777,0.0026037971374857777,0.17446571416973977,0.17446571416973977,0.9884248244646221,0.9884248244646221,1,1,0.9994171352267639,0.9994171352267639,0.90254030983132894,0.90254030983132894,center_scaling
25,0.35820791634718729,0.016929228036544362,accepted,accepted,accepted,true,true,center_scaling,true,0.069720722041800243,0.069720722041800243,0.002865582948642989,0.002865582948642989,0.17156743087342388,0.17156743087342388,0.98482873483846312,0.98482873483846312,1,1,0.94338248645812839,0.94338248645812839,0.89171356367595067,0.89171356367595067,center_scaling
26,0.37513714438373164,0.0186221508401988,accepted,accepted,accepted,true,true,center_scaling,true,0.074501308895133733,0.074501308895133733,0.0035528971451254387,0.0035528971451254387,0.16797012942671902,0.16797012942671902,0.98055531443794486,0.98055531443794486,1,1,0.89403354638626931,0.89403354638626931,0.87983427430362737,0.87983427430362737,center_scaling
27,0.39375929522393044,0.020484365924218682,accepted,accepted,accepted,true,true,center_scaling,true,0.079130971229233293,0.079130971229233293,0.0048289397806614287,0.0048289397806614287,0.16359299697965071,0.16359299697965071,0.97553033180060056,0.97553033180060056,1,1,0.85220661105546147,0.85220661105546147,0.86687753604364248,0.86687753604364248,center_scaling
28,0.41424366114814914,0.022532802516640551,accepted,accepted,accepted,true,true,center_scaling,true,0.083462849298739816,0.083462849298739816,0.0062595787983325268,0.0062595787983325268,0.15836632403820053,0.15836632403820053,0.96967714505637759,0.96967714505637759,1,1,0.81497427002254752,0.81497427002254752,0.8528281942857403,0.8528281942857403,center_scaling
29,0.43677646366478967,0.012393041384152304,accepted,accepted,accepted,true,true,center_scaling,true,0.044257480100641788,0.044257480100641788,0.0037113096698032089,0.0037113096698032089,0.1554774021784692,0.1554774021784692,0.98238513876849198,0.98238513876849198,1,1,1.3854648356647428,1.3854648356647428,0.92298119806529022,0.92298119806529022,center_scaling
30,0.44916950504894199,0.013632345522567535,accepted,accepted,accepted,true,true,center_scaling,true,0.047310971186527051,0.047310971186527051,0.0043331833230624839,0.0043331833230624839,0.15205070514642294,0.15205070514642294,0.97952019807549684,0.97952019807549684,1,1,1.3084017429227659,1.3084017429227659,0.91428918671039228,0.91428918671039228,center_scaling
31,0.46280185057150952,0.014995580074824289,accepted,accepted,accepted,true,true,center_scaling,true,0.050369386329565113,0.050369386329565113,0.0050286466367817084,0.0050286466367817084,0.14818808202116152,0.14818808202116152,0.97620951733409134,0.97620951733409134,1,1,1.2395606017669651,1.2395606017669651,0.90480719287829303,0.90480719287829303,center_scaling
32,0.47779743064633379,0.01649513808230672,accepted,accepted,accepted,true,true,center_scaling,true,0.053377462807873033,0.053377462807873033,0.0057903563462761709,0.0057903563462761709,0.14385878590688528,0.14385878590688528,0.97243198259227193,0.97243198259227193,1,1,1.1785899517032397,1.1785899517032397,0.89455143225872624,0.89455143225872624,center_scaling
33,0.49429256872864052,0.0057074312713594755,accepted,accepted,accepted,true,true,center_scaling,true,0.017974884982535078,0.017974884982535078,0.0019148373046780631,0.0019148373046780631,0.14248162746849846,0.14248162746849846,0.99112628617323284,0.99112628617323284,1,1,0.22545965591232614,0.22545965591232614,0.88617333208446802,0.88617333208446802,center_scaling
