step_index,t_flowstar,t_noqueue,t_v2,flowstar_h,noqueue_h,v2_h,flowstar_width_sum,noqueue_width_sum,v2_width_sum,noqueue_width_ratio,v2_width_ratio,flowstar_residual_sum,noqueue_residual_sum,v2_residual_sum,noqueue_residual_ratio,v2_residual_ratio,center_scale_delta_noqueue,center_scale_delta_v2,inserted_endpoint_ratio_noqueue,inserted_endpoint_ratio_v2,right_map_ratio_noqueue,right_map_ratio_v2,target_remainder_ratio_noqueue,target_remainder_ratio_v2,picard_residual_ratio_noqueue,picard_residual_ratio_v2,cutoff_poly_ratio_noqueue,cutoff_poly_ratio_v2,symbolic_queue_ratio_v2,first_material_channel,channel_attribution_valid,comparison_kind,alignment_warning,notes
0,9.9999999999999998e-13,0,0,0.012500000000000001,0.025000000000000001,0.025000000000000001,0.49368286020791841,0.45483193066960526,0.45483193066960526,0.92130387204054287,0.92130387204054287,2.3804823442195511e-05,0.000118611214130067,0.000118611214130067,4.9826546463613477,4.9826546463613477,7.0270468351595721,7.0270468351595721,0.92125194910437069,0.92125194910437069,0.11370798266739884,0.11370798266739884,1,1,4.9826546463613477,4.9826546463613477,339432.27657498454,339432.27657498454,,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001; v2_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001","noqueue_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001; v2_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001; channel attribution marked invalid/noncausal"
1,0.012500000001000001,0.025000000000000001,0.025000000000000001,0.013750000000000002,0.018750000000000003,0.018750000000000003,0.53361495807493586,0.49838135280415174,0.49838135280415174,0.93397185604036936,0.93397185604036936,3.2323721465607676e-05,7.7991545780666774e-05,7.7991545780666774e-05,2.4128269346600297,2.4128269346600297,5.375768568615781,5.375768568615781,0.92324973665697585,0.92324973665697585,0.12379431845879112,0.12379431845879112,1,1,2.4128269346600297,2.4128269346600297,195120.96432888691,195120.96432888691,8.366317289649011,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.012500000001000001, torch=0.025000000000000001; v2_t differs: Flow*=0.012500000001000001, torch=0.025000000000000001; noqueue_h differs: Flow*=0.013750000000000002, torch=0.018750000000000003; v2_h differs: Flow*=0.013750000000000002, torch=0.018750000000000003","noqueue_t differs: Flow*=0.012500000001000001, torch=0.025000000000000001; v2_t differs: Flow*=0.012500000001000001, torch=0.025000000000000001; noqueue_h differs: Flow*=0.013750000000000002, torch=0.018750000000000003; v2_h differs: Flow*=0.013750000000000002, torch=0.018750000000000003; channel attribution marked invalid/noncausal"
2,0.026250000001000001,0.043750000000000004,0.043750000000000004,0.015125000000000003,0.028125000000000004,0.028125000000000004,0.57711414119498383,0.5588160587956158,0.5588160587956158,0.968293824231235,0.968293824231235,4.4707227559476292e-05,0.00018638973612422038,0.00018638973612422038,4.1691186481258908,4.1691186481258908,4.7280158497856828,4.7280158497856828,0.94518174770812458,0.94518174770812458,0.13764913355450142,0.13764913355450142,1,1,4.1691186481258908,4.1691186481258908,136532.5160231826,136532.5160231826,12.017445537581821,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.026250000001000001, torch=0.043750000000000004; v2_t differs: Flow*=0.026250000001000001, torch=0.043750000000000004; noqueue_h differs: Flow*=0.015125000000000003, torch=0.028125000000000004; v2_h differs: Flow*=0.015125000000000003, torch=0.028125000000000004","noqueue_t differs: Flow*=0.026250000001000001, torch=0.043750000000000004; v2_t differs: Flow*=0.026250000001000001, torch=0.043750000000000004; noqueue_h differs: Flow*=0.015125000000000003, torch=0.028125000000000004; v2_h differs: Flow*=0.015125000000000003, torch=0.028125000000000004; channel attribution marked invalid/noncausal"
3,0.041375000001000001,0.071875000000000008,0.071875000000000008,0.016637500000000003,0.021093750000000001,0.021093750000000001,0.62400178154764929,0.59820487255944343,0.59820487255944343,0.9586589177290098,0.9586589177290098,6.2269214735849581e-05,0.00011566192656973362,0.00011566192656973362,1.857449576976034,1.857449576976034,3.6572369251322439,3.6572369251322439,0.92991636230418684,0.92991636230418684,0.14699916552779535,0.14699916552779535,1,1,1.857449576976034,1.857449576976034,161417.2050387584,161417.2050387584,11.308136337392426,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.041375000001000001, torch=0.071875000000000008; v2_t differs: Flow*=0.041375000001000001, torch=0.071875000000000008; noqueue_h differs: Flow*=0.016637500000000003, torch=0.021093750000000001; v2_h differs: Flow*=0.016637500000000003, torch=0.021093750000000001","noqueue_t differs: Flow*=0.041375000001000001, torch=0.071875000000000008; v2_t differs: Flow*=0.041375000001000001, torch=0.071875000000000008; noqueue_h differs: Flow*=0.016637500000000003, torch=0.021093750000000001; v2_h differs: Flow*=0.016637500000000003, torch=0.021093750000000001; channel attribution marked invalid/noncausal"
4,0.058012500001,0.092968750000000017,0.092968750000000017,0.018301250000000005,0.015820312500000003,0.015820312500000003,0.67402322664466863,0.62298082646297959,0.62298082646297959,0.92427204558545939,0.92427204558545939,8.718322785209427e-05,7.2249687456093942e-05,7.2249687456093942e-05,0.82871085684812018,0.82871085684812018,2.6391487890325456,2.6391487890325456,0.89446728518933816,0.89446728518933816,0.15332501070972593,0.15332501070972593,1,1,0.82871085684812018,0.82871085684812018,109712.56067737492,109712.56067737492,9.3958194076150949,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.058012500001, torch=0.092968750000000017; v2_t differs: Flow*=0.058012500001, torch=0.092968750000000017; noqueue_h differs: Flow*=0.018301250000000005, torch=0.015820312500000003; v2_h differs: Flow*=0.018301250000000005, torch=0.015820312500000003","noqueue_t differs: Flow*=0.058012500001, torch=0.092968750000000017; v2_t differs: Flow*=0.058012500001, torch=0.092968750000000017; noqueue_h differs: Flow*=0.018301250000000005, torch=0.015820312500000003; v2_h differs: Flow*=0.018301250000000005, torch=0.015820312500000003; channel attribution marked invalid/noncausal"
5,0.076313750001000005,0.10878906250000002,0.10878906250000002,0.020131375000000007,0.023730468750000004,0.023730468750000004,0.72655821997583891,0.66321418858586256,0.66321418858586256,0.91281630343115128,0.91281630343115128,0.00012233579185089524,0.00016277220092625496,0.00016277220092625496,1.3305362107325405,1.3305362107325405,2.0626650847122878,2.0626650847122878,0.87101624715504511,0.87101624715504511,0.1615995331811603,0.1615995331811603,1,1,1.3305362107325405,1.3305362107325405,79974.486696033171,79974.486696033171,8.6838773409598851,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.076313750001000005, torch=0.10878906250000002; v2_t differs: Flow*=0.076313750001000005, torch=0.10878906250000002; noqueue_h differs: Flow*=0.020131375000000007, torch=0.023730468750000004; v2_h differs: Flow*=0.020131375000000007, torch=0.023730468750000004","noqueue_t differs: Flow*=0.076313750001000005, torch=0.10878906250000002; v2_t differs: Flow*=0.076313750001000005, torch=0.10878906250000002; noqueue_h differs: Flow*=0.020131375000000007, torch=0.023730468750000004; v2_h differs: Flow*=0.020131375000000007, torch=0.023730468750000004; channel attribution marked invalid/noncausal"
6,0.096445125001000012,0.13251953125000002,0.13251953125000002,0.011072256250000004,0.017797851562500001,0.017797851562500001,0.68405763049981783,0.68196334251869983,0.68196334251869983,0.99693843341885136,0.99693843341885136,3.0192561097914789e-05,9.6489464057920933e-05,9.6489464057920933e-05,3.1958025602731945,3.1958025602731945,1.4676533767365374,1.4676533767365374,0.95738313664762553,0.95738313664762553,0.16678658592506382,0.16678658592506382,1,1,3.1958025602731945,3.1958025602731945,144059.59402777252,144059.59402777252,7.031002634941772,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.096445125001000012, torch=0.13251953125000002; v2_t differs: Flow*=0.096445125001000012, torch=0.13251953125000002; noqueue_h differs: Flow*=0.011072256250000004, torch=0.017797851562500001; v2_h differs: Flow*=0.011072256250000004, torch=0.017797851562500001","noqueue_t differs: Flow*=0.096445125001000012, torch=0.13251953125000002; v2_t differs: Flow*=0.096445125001000012, torch=0.13251953125000002; noqueue_h differs: Flow*=0.011072256250000004, torch=0.017797851562500001; v2_h differs: Flow*=0.011072256250000004, torch=0.017797851562500001; channel attribution marked invalid/noncausal"
7,0.10751738125100002,0.15031738281250001,0.15031738281250001,0.012179481875000005,0.013348388671875001,0.013348388671875001,0.71134056905376886,0.69239753158341777,0.69239753158341777,0.97336994641603347,0.97336994641603347,3.9323924948390052e-05,5.9175594865746595e-05,5.9175594865746595e-05,1.5048242245251586,1.5048242245251586,1.2801399884980658,1.2801399884980658,0.93765860024304581,0.93765860024304581,0.1701095929515454,0.1701095929515454,1,1,1.5048242245251586,1.5048242245251586,131428.9389458081,131428.9389458081,29.21777101042192,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.10751738125100002, torch=0.15031738281250001; v2_t differs: Flow*=0.10751738125100002, torch=0.15031738281250001; noqueue_h differs: Flow*=0.012179481875000005, torch=0.013348388671875001; v2_h differs: Flow*=0.012179481875000005, torch=0.013348388671875001","noqueue_t differs: Flow*=0.10751738125100002, torch=0.15031738281250001; v2_t differs: Flow*=0.10751738125100002, torch=0.15031738281250001; noqueue_h differs: Flow*=0.012179481875000005, torch=0.013348388671875001; v2_h differs: Flow*=0.012179481875000005, torch=0.013348388671875001; channel attribution marked invalid/noncausal"
8,0.11969686312600003,0.163665771484375,0.163665771484375,0.013397430062500007,0.020022583007812501,0.020022583007812501,0.73984659186925472,0.71619181433563861,0.71619181433563861,0.9680274562408252,0.9680274562408252,5.1317857967845854e-05,0.00012524173202598969,0.00012524173202598969,2.4405097364831985,2.4405097364831985,1.1647095849732594,1.1647095849732594,0.92169431561628445,0.92169431561628445,0.17420122581968014,0.17420122581968014,1,1,2.4405097364831985,2.4405097364831985,100996.16443053726,100996.16443053726,25.901344310872741,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.11969686312600003, torch=0.163665771484375; v2_t differs: Flow*=0.11969686312600003, torch=0.163665771484375; noqueue_h differs: Flow*=0.013397430062500007, torch=0.020022583007812501; v2_h differs: Flow*=0.013397430062500007, torch=0.020022583007812501","noqueue_t differs: Flow*=0.11969686312600003, torch=0.163665771484375; v2_t differs: Flow*=0.11969686312600003, torch=0.163665771484375; noqueue_h differs: Flow*=0.013397430062500007, torch=0.020022583007812501; v2_h differs: Flow*=0.013397430062500007, torch=0.020022583007812501; channel attribution marked invalid/noncausal"
9,0.13309429318850002,0.18368835449218751,0.18368835449218751,0.014737173068750008,0.015016937255859376,0.015016937255859376,0.76920272713976634,0.72118396188026057,0.72118396188026057,0.93757332941595173,0.93757332941595173,6.7062862384687874e-05,7.3869314846157846e-05,7.3869314846157846e-05,1.1014936168758591,1.1014936168758591,0.98407122678081826,0.98407122678081826,0.89726497331656352,0.89726497331656352,0.17664968153882762,0.17664968153882762,1,1,1.1014936168758591,1.1014936168758591,70467.782984139747,70467.782984139747,21.506815501962127,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.13309429318850002, torch=0.18368835449218751; v2_t differs: Flow*=0.13309429318850002, torch=0.18368835449218751; noqueue_h differs: Flow*=0.014737173068750008, torch=0.015016937255859376; v2_h differs: Flow*=0.014737173068750008, torch=0.015016937255859376","noqueue_t differs: Flow*=0.13309429318850002, torch=0.18368835449218751; v2_t differs: Flow*=0.13309429318850002, torch=0.18368835449218751; noqueue_h differs: Flow*=0.014737173068750008, torch=0.015016937255859376; v2_h differs: Flow*=0.014737173068750008, torch=0.015016937255859376; channel attribution marked invalid/noncausal"
10,0.14783146625725002,0.19870529174804688,0.19870529174804688,0.016210890375625009,0.022525405883789065,0.022525405883789065,0.79887926996701197,0.7407003349878486,0.7407003349878486,0.92717430885199248,0.92717430885199248,8.7654236243393159e-05,0.0001620984517948137,0.0001620984517948137,1.8492939844311482,1.8492939844311482,0.89178780507899535,0.89178780507899535,0.87648810128469301,0.87648810128469301,0.17961632253824797,0.17961632253824797,1,1,1.8492939844311482,1.8492939844311482,95169.453280784845,95169.453280784845,19.034981684836236,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.14783146625725002, torch=0.19870529174804688; v2_t differs: Flow*=0.14783146625725002, torch=0.19870529174804688; noqueue_h differs: Flow*=0.016210890375625009, torch=0.022525405883789065; v2_h differs: Flow*=0.016210890375625009, torch=0.022525405883789065","noqueue_t differs: Flow*=0.14783146625725002, torch=0.19870529174804688; v2_t differs: Flow*=0.14783146625725002, torch=0.19870529174804688; noqueue_h differs: Flow*=0.016210890375625009, torch=0.022525405883789065; v2_h differs: Flow*=0.016210890375625009, torch=0.022525405883789065; channel attribution marked invalid/noncausal"
