analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.14582612499361858,0.0,True,3,cpu,float64,0.13727112498600036,0.03,completed,0.06586600001901388,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,8.707982487976551e-06,0,0.03,3,0,total_configuration_v2,0.14582612499361858,0.03998006248730235,0.14582612499361858,0.03,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.1003950877929539
required,True,True,0.0,0.0,True,3,cpu,float64,0.11213504103943706,0.03,completed,0.03820137499133125,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,9.374984074383974e-06,1,0.03,3,0,total_configuration_v2,0.11505487497197464,0.038426749990321696,0.11505487497197464,0.03,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.1003950877929539
required,True,True,0.10606150003150105,0.0,True,3,cpu,float64,0.09899741609115154,0.03,completed,0.03592012502485886,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.0625011529773474e-05,0,0.03,3,0,total_configuration_v2,0.10606150003150105,0.035070687503321096,0.10606150003150105,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803
required,True,True,0.0,0.0,True,3,cpu,float64,0.21977254102239385,0.03,completed,0.036694749956950545,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,0.00019087502732872963,1,0.03,3,0,total_configuration_v2,0.23050979094114155,0.0969075204920955,0.23050979094114155,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803
not_applicable,False,,0.5332214590162039,0.0,True,3,cpu,float64,0.5255208759335801,0.015,completed,0.25474520900752395,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,3.916036803275347e-06,0,0.015,3,0,total_configuration_v2,0.5332214590162039,0.13923812500433996,0.5332214590162039,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996
not_applicable,False,,0.0,0.0,True,3,cpu,float64,0.37162153993267566,0.015,completed,0.12522883299971,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,5.082983989268541e-06,1,0.015,3,0,total_configuration_v2,0.3778257079538889,0.12629843747708946,0.3778257079538889,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996
not_applicable,False,,0.4039007499231957,0.0,True,3,cpu,float64,0.3974914160789922,0.015,completed,0.13495891698403284,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,3.5840203054249287e-06,0,0.015,3,0,total_configuration_v2,0.4039007499231957,0.13447091646958143,0.4039007499231957,0.015,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,0.30176622127677466
not_applicable,False,,0.0,0.0,True,3,cpu,float64,0.3970712910522707,0.015,completed,0.1351588750258088,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,5.875015631318092e-06,1,0.015,3,0,total_configuration_v2,0.40327283402439207,0.13405697949929163,0.40327283402439207,0.015,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,0.30176622127677466
required,True,True,0.0006244169780984521,1.565965874993708,True,3,cpu,float64,0.00042804202530533075,0.03,completed,,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.624996704980731e-05,0,0.03,3,,total_configuration_v2,0.0006244169780984521,0.00020813899269948402,0.0006244169780984521,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127
required,True,True,0.0,0.0,True,3,cpu,float64,0.00035379198379814625,0.03,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.795799471437931e-05,1,0.03,3,,total_configuration_v2,0.0005919579998590052,0.00019731933328633508,0.0005919579998590052,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127
