plant,step,category,operation,seconds,calls
brusselator,2,E,Polynomial.mul_truncate,0.005163076799362898,26
brusselator,2,E,Polynomial.cutoff,0.005642655771225691,44
brusselator,2,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.0162328677251935,24
brusselator,2,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.04751892480999231,46
brusselator,2,E,Polynomial.__add__,0.0009537944570183754,30
brusselator,2,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.0009936471469700336,18
brusselator,2,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.015365782659500837,2
brusselator,2,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.005260033532977104,1
brusselator,2,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.016897710040211678,6
brusselator,2,E,torch_tm_flowpipe.accepted_boundary_sr._linear_polynomial_image,0.012333308812230825,1
brusselator,2,E,torch_tm_flowpipe.accepted_boundary_sr._add_polynomial_images,0.004980663303285837,1
brusselator,2,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0008139805868268013,1
brusselator,2,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.0002399771474301815,2
brusselator,2,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,0.00010397378355264664,1
brusselator,2,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0013020290061831474,1
brusselator,2,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.006701753940433264,1
brusselator,2,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.000711528118699789,1
brusselator,2,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.0001803012564778328,1
brusselator,2,E,Polynomial.__mul__,6.253086030483246e-05,2
brusselator,2,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.00029123155400156975,1
brusselator,2,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.0035809455439448357,1
brusselator,3,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.00019984040409326553,1
brusselator,3,B,BatchedPolynomial.substitute_const_and_drop,0.0002589123323559761,1
brusselator,3,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.015720064286142588,3
brusselator,3,C,DenseRemainderLedger.total,3.511318936944008e-05,1
brusselator,3,C,BatchedTaylorModel.endpoint,0.00027019716799259186,1
brusselator,3,A,Polynomial.__init__,0.04362304322421551,232
brusselator,3,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.0016337218694388866,1
brusselator,3,B,Polynomial.substitute_const,0.000775954220443964,2
brusselator,3,C,Polynomial.substitute_const_with_roundoff,0.0015650801360607147,2
brusselator,3,D,Polynomial.evaluate_interval,0.4130946979857981,210
brusselator,3,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,1.1044088751077652e-05,1
brusselator,3,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.3072585463523865e-05,1
brusselator,3,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.0013093240559101105,15
brusselator,3,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.00048808101564645767,5
brusselator,3,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,4.726368933916092e-05,1
brusselator,3,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,7.940363138914108e-05,2
brusselator,3,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,2.4300068616867065e-05,1
brusselator,3,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.0008437260985374451,1
brusselator,3,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0006208638660609722,1
brusselator,3,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.0003518713638186455,30
brusselator,3,E,Polynomial.mul_truncate,0.007056545000523329,26
brusselator,3,E,Polynomial.cutoff,0.0062394519336521626,44
brusselator,3,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.016614694148302078,24
brusselator,3,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.05059013143181801,46
brusselator,3,E,Polynomial.__add__,0.0009511890821158886,30
brusselator,3,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.0009676064364612103,18
brusselator,3,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.015639761928468943,2
brusselator,3,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.0056058787740767,1
brusselator,3,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.018054683227092028,6
brusselator,3,E,torch_tm_flowpipe.accepted_boundary_sr._linear_polynomial_image,0.015675827395170927,1
brusselator,3,E,torch_tm_flowpipe.accepted_boundary_sr._add_polynomial_images,0.004997007083147764,1
brusselator,3,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0008492087945342064,1
brusselator,3,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.00031942781060934067,2
brusselator,3,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,0.00013526016846299171,1
brusselator,3,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0012327628210186958,1
brusselator,3,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.006123257800936699,1
brusselator,3,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.0006656725890934467,1
brusselator,3,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.00017173821106553078,1
brusselator,3,E,Polynomial.__mul__,6.367824971675873e-05,2
brusselator,3,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.0003165188245475292,1
brusselator,3,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.0033469446934759617,1
brusselator,4,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.00020508095622062683,1
brusselator,4,B,BatchedPolynomial.substitute_const_and_drop,0.00023580575361847878,1
brusselator,4,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.01587689993903041,3
brusselator,4,C,DenseRemainderLedger.total,3.4415628761053085e-05,1
brusselator,4,C,BatchedTaylorModel.endpoint,0.0002645556814968586,1
brusselator,4,A,Polynomial.__init__,0.04393324954435229,232
brusselator,4,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.0016219401732087135,1
brusselator,4,B,Polynomial.substitute_const,0.0007266397587954998,2
brusselator,4,C,Polynomial.substitute_const_with_roundoff,0.0016071498394012451,2
brusselator,4,D,Polynomial.evaluate_interval,0.42251522839069366,210
brusselator,4,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,8.987728506326675e-06,1
brusselator,4,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.1242070943117142e-05,1
brusselator,4,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.0013737156987190247,15
brusselator,4,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.0004800809547305107,5
brusselator,4,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,4.891958087682724e-05,1
brusselator,4,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,0.00010103313252329826,2
brusselator,4,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,3.313319757580757e-05,1
brusselator,4,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.0010321666486561298,1
brusselator,4,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0006649112328886986,1
brusselator,4,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.0003395448438823223,30
brusselator,4,E,Polynomial.mul_truncate,0.0071348827332258224,26
brusselator,4,E,Polynomial.cutoff,0.006524342577904463,44
brusselator,4,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.017213578801602125,24
brusselator,4,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.05471659870818257,46
brusselator,4,E,Polynomial.__add__,0.0010104896500706673,30
brusselator,4,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.0010115308687090874,18
brusselator,4,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.01588132046163082,2
brusselator,4,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.00550421979278326,1
brusselator,4,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.01801502425223589,6
brusselator,4,E,torch_tm_flowpipe.accepted_boundary_sr._linear_polynomial_image,0.01449572341516614,1
brusselator,4,E,torch_tm_flowpipe.accepted_boundary_sr._add_polynomial_images,0.005152307450771332,1
brusselator,4,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0008492772467434406,1
brusselator,4,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.00035828957334160805,2
brusselator,4,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,9.908108040690422e-05,1
brusselator,4,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0012677493505179882,1
brusselator,4,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.006128851789981127,1
brusselator,4,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.0006655496545135975,1
brusselator,4,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.00016656331717967987,1
brusselator,4,E,Polynomial.__mul__,6.06318935751915e-05,2
brusselator,4,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.0002772621810436249,1
brusselator,4,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.003314129076898098,1
brusselator,5,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.00018567312508821487,1
brusselator,5,B,BatchedPolynomial.substitute_const_and_drop,0.00023068860173225403,1
brusselator,5,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.01573000568896532,3
brusselator,5,C,DenseRemainderLedger.total,3.479188308119774e-05,1
brusselator,5,C,BatchedTaylorModel.endpoint,0.00026061851531267166,1
brusselator,5,A,Polynomial.__init__,0.044109778478741646,232
brusselator,5,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.0016116206534206867,1
brusselator,5,B,Polynomial.substitute_const,0.0007386398501694202,2
brusselator,5,C,Polynomial.substitute_const_with_roundoff,0.0015089730732142925,2
brusselator,5,D,Polynomial.evaluate_interval,0.41466336138546467,210
brusselator,5,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,8.297618478536606e-06,1
brusselator,5,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.093985676765442e-05,1
brusselator,5,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.0014862730167806149,15
brusselator,5,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.0004843086935579777,5
brusselator,5,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,4.695262759923935e-05,1
brusselator,5,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,0.0001155417412519455,2
brusselator,5,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,3.919936716556549e-05,1
brusselator,5,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.0012109349481761456,1
brusselator,5,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0006296727806329727,1
brusselator,5,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.00032383017241954803,30
brusselator,5,E,Polynomial.mul_truncate,0.007029648870229721,26
brusselator,5,E,Polynomial.cutoff,0.006303921341896057,44
brusselator,5,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.016535363625735044,24
