id,diagnostic,path,trace,h,requested_order,effective_rhs_order,x0_lower,x0_upper,candidate_remainder,cutoff,exported_lower,exported_upper,oracle_lower,oracle_upper,signed_lower_error,signed_upper_error,lower_defect,upper_defect,max_defect,contained,tolerance,accepted_remainder_lower,accepted_remainder_upper,accepted_polynomial_term_count
step_h0.01__order_o4__corner_interval,step+order+corner,generated-stock,primary_repeat_1,0.01,4,4,0,0.1,0.0001,1e-15,0.010100670333333329,0.1121208036666667,0.010100670013377904,0.1121208040160535,3.199554250016279e-10,-3.4938679727147814e-10,3.199554250016279e-10,3.4938679727147814e-10,3.4938679727147814e-10,False,,-2.265795929406518e-18,3.4655412233824323e-23,9
step_h0.005,step,generated-stock,matrix_step_h0p005,0.005,4,4,0,0.1,0.0001,1e-15,0.005025083562499996,0.1060301002291667,0.005025083542084028,0.10603010025050084,2.0415967527664947e-11,-2.1334142785711663e-11,2.0415967527664947e-11,2.1334142785711663e-11,2.1334142785711663e-11,False,,-1.1214401509405381e-18,2.7523315603301105e-24,9
step_h0.0025,step,generated-stock,matrix_step_h0p0025,0.0025,4,4,0,0.1,0.0001,1e-15,0.0025062604309895797,0.10300751251432294,0.0025062604297005314,0.10300751251564065,1.2890482951888327e-12,-1.3177098301397905e-12,1.2890482951888327e-12,1.3177098301397905e-12,1.3177098301397905e-12,False,,-5.579014306441956e-19,4.1324464740136477e-25,9
order_o5,order,generated-stock,matrix_order_o5,0.01,5,5,0,0.1,0.0001,1e-15,0.01010067001466666,0.1121208040146667,0.010100670013377904,0.1121208040160535,1.2887555606022616e-12,-1.3867934578470908e-12,1.2887555606022616e-12,1.3867934578470908e-12,1.3867934578470908e-12,False,,-2.2657959158214516e-18,3.4643911439151094e-23,11
order_o6,order,generated-stock,matrix_order_o6,0.01,6,6,0,0.1,0.0001,1e-15,0.010100670013382215,0.11212080401604892,0.010100670013377904,0.1121208040160535,4.310787837802366e-15,-4.579669976578771e-15,4.310787837802366e-15,4.579669976578771e-15,4.579669976578771e-15,False,,-2.2657959159375513e-18,3.4644017464429796e-23,13
corner_lower_corner,corner,generated-stock,matrix_corner_lower_corner,0.01,4,4,0,0,0.0001,1e-15,0.010100669999999996,0.010100670000000003,0.010100670013377904,0.010100670013377906,-1.3377908156253504e-11,-1.3377902952083076e-11,0.0,1.3377902952083076e-11,1.3377902952083076e-11,False,,-8.192000000000012e-27,1.1329625601032756e-22,4
corner_upper_corner,corner,generated-stock,matrix_corner_upper_corner,0.01,4,4,0.1,0.1,0.0001,1e-15,0.11212080399999998,0.11212080400000003,0.11212080401605348,0.1121208040160535,-1.6053505746960184e-11,-1.605346411359676e-11,0.0,1.605346411359676e-11,1.605346411359676e-11,False,,-2.0480000000000027e-23,2.265895043628155e-18,5
