source,t_before,h_try,status,raw_ctrunc_residual_x_lo,raw_ctrunc_residual_x_hi,raw_ctrunc_residual_y_lo,raw_ctrunc_residual_y_hi,raw_ctrunc_polynomial_range_x_lo,raw_ctrunc_polynomial_range_x_hi,raw_ctrunc_polynomial_range_y_lo,raw_ctrunc_polynomial_range_y_hi,raw_ctrunc_remainder_x_lo,raw_ctrunc_remainder_x_hi,raw_ctrunc_remainder_y_lo,raw_ctrunc_remainder_y_hi,picard_no_remainder_range_x_lo,picard_no_remainder_range_x_hi,picard_no_remainder_range_y_lo,picard_no_remainder_range_y_hi,picard_no_remainder_remainder_x_lo,picard_no_remainder_remainder_x_hi,picard_no_remainder_remainder_y_lo,picard_no_remainder_remainder_y_hi,target_remainder_x_lo,target_remainder_x_hi,target_remainder_y_lo,target_remainder_y_hi,residual_domain_semantics,includes_target_remainder,includes_ordinary_remainder,includes_cutoff_poly_diff,raw_y_hi_delta_vs_flowstar,component_matching_raw_y_hi_delta,missing_fields,notes
flowstar,9.9999999999999998e-13,0.025000000000000001,rejected,-5.703499317169186e-06,9.6267419600486733e-06,-8.3561112430812905e-05,0.00010832839036914122,1.0975358357950837,1.4615953422541308,2.2510580929374671,2.478034980892597,-5.703499317169186e-06,9.6267419600486733e-06,-8.3561112430812905e-05,0.00010832839036914122,1.073556615885416,1.6507437147135424,1.8885861120605458,2.5788354915608749,0,0,0,0,-0.0001,0.0001,-0.0001,0.0001,physical_remainder_interval_over_full_step_tau_domain_before_cutoff_polyDiff,false,false,false,0,reference,flowstar.ordinary_remainder_x_hi; flowstar.ordinary_remainder_x_lo; flowstar.ordinary_remainder_y_hi; flowstar.ordinary_remainder_y_lo,"raw_ctrunc_residual from raw_ctrunc_residual; Flow* probe does not expose a separate ordinary Picard residual endpoint object here; ordinary_step_remainder remains width-only for Picard_no_remainder result range; raw Picard_ctrunc_normal returned remainder before intDifferences are added; blank component endpoint columns mean unknown, not zero"
torch_noqueue,0,0.025000000000000001,accepted,-3.5138681795527176e-06,4.7947406664619514e-06,-5.1533345624557196e-05,5.8769251659495075e-05,1.0975358357950817,1.4615953422541328,2.2510580929374617,2.4780349808926032,-3.5138681795527176e-06,4.7947406664619514e-06,-5.1533345624557196e-05,5.8769251659495075e-05,,,,,,,,,-0.0001,0.0001,-0.0001,0.0001,physical_remainder_interval_over_full_step_tau_domain_before_cutoff_polyDiff,false,false,false,-4.955913870964615e-05,raw_remainder_gap,torch_noqueue.picard_no_remainder_range_x_hi; torch_noqueue.picard_no_remainder_range_x_lo; torch_noqueue.picard_no_remainder_range_y_hi; torch_noqueue.picard_no_remainder_range_y_lo; torch_noqueue.picard_no_remainder_remainder_x_hi; torch_noqueue.picard_no_remainder_remainder_x_lo; torch_noqueue.picard_no_remainder_remainder_y_hi; torch_noqueue.picard_no_remainder_remainder_y_lo,"raw_ctrunc_residual from raw_ctrunc_residual; PyTorch ordinary_residual_range is exposed separately; it is not included in raw_ctrunc_residual; raw ctrunc remainder is recorded before adding poly_diff_range; target remainder is only the containment set; blank component endpoint columns mean unknown, not zero"
torch_v2,0,0.025000000000000001,accepted,-3.5138681795527176e-06,4.7947406664619514e-06,-5.1533345624557196e-05,5.8769251659495075e-05,1.0975358357950817,1.4615953422541328,2.2510580929374617,2.4780349808926032,-3.5138681795527176e-06,4.7947406664619514e-06,-5.1533345624557196e-05,5.8769251659495075e-05,,,,,,,,,-0.0001,0.0001,-0.0001,0.0001,physical_remainder_interval_over_full_step_tau_domain_before_cutoff_polyDiff,false,false,false,-4.955913870964615e-05,raw_remainder_gap,torch_v2.picard_no_remainder_range_x_hi; torch_v2.picard_no_remainder_range_x_lo; torch_v2.picard_no_remainder_range_y_hi; torch_v2.picard_no_remainder_range_y_lo; torch_v2.picard_no_remainder_remainder_x_hi; torch_v2.picard_no_remainder_remainder_x_lo; torch_v2.picard_no_remainder_remainder_y_hi; torch_v2.picard_no_remainder_remainder_y_lo,"raw_ctrunc_residual from raw_ctrunc_residual; PyTorch ordinary_residual_range is exposed separately; it is not included in raw_ctrunc_residual; raw ctrunc remainder is recorded before adding poly_diff_range; target remainder is only the containment set; blank component endpoint columns mean unknown, not zero"
