window,plant,step,history_before,replay_calls,optimized_plan_count,optimized_ordered_operations_prepared,optimized_ordered_operation_hits,plan_setup_inside_diagnostic_solve_seconds,reference_fixed_polynomial_calls,reference_fixed_polynomial_exclusive_seconds,reference_whole_refinement_scoped_seconds,optimized_fixed_polynomial_calls,optimized_fixed_polynomial_exclusive_seconds,optimized_whole_refinement_scoped_seconds
brusselator_0101_0120,brusselator,108,107,9,1,34,272,0.06511927163228393,351,0.570422591175884,0.6679964996874332,39,0.06322806375101209,0.1561980932019651
brusselator_0101_0120,brusselator,109,108,9,1,34,272,0.07007333263754845,351,0.5702399061992764,0.6686266418546438,39,0.06359843304380774,0.15638574678450823
brusselator_0101_0120,brusselator,110,109,9,1,34,272,0.06479063676670194,351,0.5821649278514087,0.6816468620672822,39,0.06367505993694067,0.1553055001422763
brusselator_0101_0120,brusselator,111,110,9,1,34,272,0.06494441442191601,351,0.5728775509633124,0.6700671399012208,39,0.06736150896176696,0.16009897738695145
brusselator_0101_0120,brusselator,112,111,9,1,34,272,0.06518588215112686,351,0.5781246605329216,0.6762774330563843,39,0.06395996920764446,0.16154162492603064
brusselator_0101_0120,brusselator,113,112,9,1,34,272,0.06511228438466787,351,0.588315520901233,0.6882115448825061,39,0.06936021754518151,0.16673139110207558
brusselator_0101_0120,brusselator,114,113,9,1,34,272,0.06481938809156418,351,0.5883931634016335,0.6893356256186962,39,0.06380020640790462,0.1557516399770975
brusselator_0101_0120,brusselator,115,114,9,1,34,272,0.06480954587459564,351,0.5777291082777083,0.6771312956698239,39,0.06613344326615334,0.15851146914064884
brusselator_0101_0120,brusselator,116,115,9,1,34,272,0.06685848440974951,351,0.5759380785748363,0.6740465988405049,39,0.06461271876469254,0.1583382119424641
brusselator_0101_0120,brusselator,117,116,9,1,34,272,0.06592658068984747,351,0.5735181095078588,0.6715064970776439,39,0.06310893641784787,0.15518074622377753
brusselator_0101_0120,brusselator,118,117,9,1,34,272,0.06497081089764833,351,0.5809120321646333,0.6801275298930705,39,0.06369650131091475,0.15548439975827932
brusselator_0101_0120,brusselator,119,118,9,1,34,272,0.0656034154817462,351,0.5767889968119562,0.6758899400010705,39,0.0630752113647759,0.1549459840171039
brusselator_0101_0120,brusselator,120,119,9,1,34,272,0.06485621305182576,351,0.5733076599426568,0.671702719759196,39,0.06337819527834654,0.15551701514050364
brusselator_0981_1000,brusselator,981,980,9,1,34,272,0.06604569545015693,351,0.5676315468735993,0.665547349024564,39,0.06350413290783763,0.156683465000242
brusselator_0981_1000,brusselator,982,981,9,1,34,272,0.0658142352476716,351,0.5823950353078544,0.6824461799114943,39,0.06347470264881849,0.15756203094497323
brusselator_0981_1000,brusselator,983,982,9,1,34,272,0.06636458728462458,351,0.5707721109502017,0.6683424320071936,39,0.063287612516433,0.15612157294526696
brusselator_0981_1000,brusselator,984,983,9,1,34,272,0.06569848023355007,351,0.614403567276895,0.7183878659270704,39,0.06351434998214245,0.156379961874336
brusselator_0981_1000,brusselator,985,984,9,1,34,272,0.06740980735048652,351,0.5704767568968236,0.6682632369920611,39,0.0630700602196157,0.15545534109696746
brusselator_0981_1000,brusselator,986,985,9,1,34,272,0.06551338359713554,351,0.5674855625256896,0.6650344240479171,39,0.06343122851103544,0.1564837098121643
brusselator_0981_1000,brusselator,987,986,9,1,34,272,0.06565009616315365,351,0.5717571340501308,0.6695617348887026,39,0.06481251074001193,0.16113533405587077
brusselator_0981_1000,brusselator,988,987,9,1,34,272,0.06775332195684314,351,0.5746539859101176,0.6727121961303055,39,0.06420459831133485,0.1562686488032341
brusselator_0981_1000,brusselator,989,988,9,1,34,272,0.06642522988840938,351,0.579863054677844,0.6789764068089426,39,0.06380990333855152,0.15630334382876754
brusselator_0981_1000,brusselator,990,989,9,1,34,272,0.06605789065361023,351,0.5953794927336276,0.6976200472563505,39,0.06705628335475922,0.1603834806010127
brusselator_0981_1000,brusselator,991,990,9,1,34,272,0.06612809002399445,351,0.575221277307719,0.6738256551325321,39,0.06341156968846917,0.15711394557729363
brusselator_0981_1000,brusselator,992,991,9,1,34,272,0.06506697507575154,351,0.580434896517545,0.6802978231571615,39,0.063071692828089,0.15551396319642663
brusselator_0981_1000,brusselator,993,992,9,1,34,272,0.06608196767047048,351,0.5853768149390817,0.6857254123315215,39,0.06332697905600071,0.15863246796652675
brusselator_0981_1000,brusselator,994,993,9,1,34,272,0.06577558210119605,351,0.5980382906273007,0.7003315482288599,39,0.06429877690970898,0.15669020591303706
brusselator_0981_1000,brusselator,995,994,9,1,34,272,0.06532945949584246,351,0.5872513931244612,0.6879774420522153,39,0.0685551343485713,0.16844630613923073
brusselator_0981_1000,brusselator,996,995,9,1,34,272,0.0654361522756517,351,0.5925652561709285,0.6944403410889208,39,0.06775926984846592,0.16246478399261832
brusselator_0981_1000,brusselator,997,996,9,1,34,272,0.06612633541226387,351,0.5861832168884575,0.6860384456813335,39,0.06499833427369595,0.1590542900376022
brusselator_0981_1000,brusselator,998,997,9,1,34,272,0.07220101682469249,351,0.5924019631929696,0.6939705400727689,39,0.06352824391797185,0.1561879520304501
brusselator_0981_1000,brusselator,999,998,9,1,34,272,0.06539272703230381,351,0.5894176815636456,0.6899598748423159,39,0.06707797152921557,0.16635763086378574
brusselator_0981_1000,brusselator,1000,999,9,1,34,272,0.06511356495320797,351,0.6287280414253473,0.7372642830014229,39,0.0636385502293706,0.15565554797649384
van_der_pol_0001_0020,van_der_pol,1,0,4,0,0,0,0.0,23,0.06712598586454988,0.10400220286101103,23,0.06750136753544211,0.10480311699211597
van_der_pol_0001_0020,van_der_pol,2,1,4,0,0,0,0.0,23,0.06676627788692713,0.10339514398947358,23,0.06666036322712898,0.10354909533634782
van_der_pol_0001_0020,van_der_pol,3,2,4,0,0,0,0.0,23,0.06731833750382066,0.10411390010267496,23,0.07145728543400764,0.10844256402924657
van_der_pol_0001_0020,van_der_pol,4,3,4,0,0,0,0.0,23,0.06721185334026814,0.10452303802594543,23,0.06780121894553304,0.10531016672030091
van_der_pol_0001_0020,van_der_pol,5,4,4,0,0,0,0.0,23,0.06697496911510825,0.10373474704101682,23,0.06654426315799356,0.10324807092547417
van_der_pol_0001_0020,van_der_pol,6,5,4,0,0,0,0.0,23,0.06646177778020501,0.10338372737169266,23,0.06683507794514298,0.1036051670089364
van_der_pol_0001_0020,van_der_pol,7,6,4,0,0,0,0.0,23,0.07248840248212218,0.11221420858055353,23,0.07114008581265807,0.10821199417114258
van_der_pol_0001_0020,van_der_pol,8,7,4,0,0,0,0.0,23,0.06821486866101623,0.10509924404323101,23,0.06656207330524921,0.10328506072983146
van_der_pol_0001_0020,van_der_pol,9,8,4,0,0,0,0.0,23,0.0683641922660172,0.10515547497197986,23,0.06648739194497466,0.10324769234284759
van_der_pol_0001_0020,van_der_pol,10,9,4,0,0,0,0.0,23,0.06682186014950275,0.10351914912462234,23,0.06802565883845091,0.10489374119788408
van_der_pol_0001_0020,van_der_pol,11,10,4,0,0,0,0.0,23,0.06709091691300273,0.10448545264080167,23,0.06677336758002639,0.10363277001306415
van_der_pol_0001_0020,van_der_pol,12,11,4,0,0,0,0.0,23,0.06807850254699588,0.1050385981798172,23,0.06658803625032306,0.10316496388986707
van_der_pol_0001_0020,van_der_pol,13,12,4,0,0,0,0.0,23,0.06652301829308271,0.10316379694268107,23,0.07259815325960517,0.11221994925290346
van_der_pol_0001_0020,van_der_pol,14,13,4,0,0,0,0.0,23,0.06841735262423754,0.10638382891193032,23,0.06840041698887944,0.10517753707244992
van_der_pol_0001_0020,van_der_pol,15,14,4,0,0,0,0.0,23,0.06753482948988676,0.10435541206970811,23,0.06638081138953567,0.10291654290631413
van_der_pol_0001_0020,van_der_pol,16,15,4,0,0,0,0.0,23,0.06649432145059109,0.1034045210108161,23,0.06642190786078572,0.10312959039583802
van_der_pol_0001_0020,van_der_pol,17,16,4,0,0,0,0.0,23,0.06781057361513376,0.10466384701430798,23,0.06725069787353277,0.10492115374654531
van_der_pol_0001_0020,van_der_pol,18,17,4,0,0,0,0.0,23,0.06741457432508469,0.10428381990641356,23,0.06638885149732232,0.10323559818789363
van_der_pol_0001_0020,van_der_pol,19,18,4,0,0,0,0.0,23,0.06675499118864536,0.10371787706390023,23,0.06680311169475317,0.10346176708117127
van_der_pol_0001_0020,van_der_pol,20,19,4,0,0,0,0.0,23,0.07014731597155333,0.10722379805520177,23,0.06839547911658883,0.10542596690356731
van_der_pol_0091_0110,van_der_pol,91,90,4,0,0,0,0.0,23,0.06625327980145812,0.10345916636288166,23,0.06664291583001614,0.1034886478446424
van_der_pol_0091_0110,van_der_pol,92,91,4,0,0,0,0.0,23,0.06719793984666467,0.10405322909355164,23,0.06653542211279273,0.10292286286130548
van_der_pol_0091_0110,van_der_pol,93,92,4,0,0,0,0.0,23,0.07250477746129036,0.10939287720248103,23,0.06676591094583273,0.10495201637968421
van_der_pol_0091_0110,van_der_pol,94,93,4,0,0,0,0.0,23,0.06695615127682686,0.10381212132051587,23,0.0661382395774126,0.10265983920544386
van_der_pol_0091_0110,van_der_pol,95,94,4,0,0,0,0.0,23,0.06650222931057215,0.10311381611973047,23,0.06644801329821348,0.10320007707923651
van_der_pol_0091_0110,van_der_pol,96,95,4,0,0,0,0.0,23,0.0713071133941412,0.10881783394142985,23,0.06622898066416383,0.10272826626896858
van_der_pol_0091_0110,van_der_pol,97,96,4,0,0,0,0.0,23,0.06646958040073514,0.10332110105082393,23,0.06987356208264828,0.1067850268445909
van_der_pol_0091_0110,van_der_pol,98,97,4,0,0,0,0.0,23,0.0669434112496674,0.103467449080199,23,0.06616326607763767,0.10272489115595818
van_der_pol_0091_0110,van_der_pol,99,98,4,0,0,0,0.0,23,0.07065471448004246,0.10759366489946842,23,0.06644862564280629,0.10313836485147476
van_der_pol_0091_0110,van_der_pol,100,99,4,0,0,0,0.0,23,0.06964040733873844,0.10773591790348291,23,0.06615289580076933,0.10295250313356519
van_der_pol_0091_0110,van_der_pol,101,0,4,0,0,0,0.0,23,0.06721976166591048,0.10388913471251726,23,0.0668978588655591,0.10339033091440797
van_der_pol_0091_0110,van_der_pol,102,1,4,0,0,0,0.0,23,0.07350391615182161,0.11147000640630722,23,0.06655663764104247,0.10427858540788293
van_der_pol_0091_0110,van_der_pol,103,2,4,0,0,0,0.0,23,0.0660248575732112,0.10283112106844783,23,0.06636876007542014,0.10302296001464128
van_der_pol_0091_0110,van_der_pol,104,3,4,0,0,0,0.0,23,0.06808878341689706,0.10471756989136338,23,0.06685499614104629,0.10400407295674086
van_der_pol_0091_0110,van_der_pol,105,4,4,0,0,0,0.0,23,0.06812095269560814,0.10697619197890162,23,0.06807263242080808,0.10461053671315312
van_der_pol_0091_0110,van_der_pol,106,5,4,0,0,0,0.0,23,0.06671157199889421,0.1042541773058474,23,0.06663975911214948,0.10318642389029264
van_der_pol_0091_0110,van_der_pol,107,6,4,0,0,0,0.0,23,0.0678340345621109,0.10524245211854577,23,0.06642610486596823,0.1030565770342946
van_der_pol_0091_0110,van_der_pol,108,7,4,0,0,0,0.0,23,0.06692790519446135,0.10475347097963095,23,0.07037419406697154,0.10714917303994298
van_der_pol_0091_0110,van_der_pol,109,8,4,0,0,0,0.0,23,0.06667794845998287,0.10355521598830819,23,0.06649752985686064,0.10336458124220371
van_der_pol_0091_0110,van_der_pol,110,9,4,0,0,0,0.0,23,0.0671358616091311,0.1038061948493123,23,0.06614037975668907,0.1029938398860395
