window,plant,execution_mode,stage,category,exclusive_seconds,calls,exclusive_fraction,scoped_solve_seconds,production_speed_denominator
brusselator_0001_0020,brusselator,prepared_remainder_replay,boundary,boundary_endpoint,0.9648819556459785,40,0.03590594854368619,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,boundary,python_objects_and_small_tensor_validation,0.9256643233820796,27308,0.03444655107248982,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,candidate,candidate_polynomial,0.3315603230148554,20,0.012338284313057866,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,candidate,polynomial_multiply_truncate_range,3.601801233366132,2160,0.13403306901230974,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,candidate,python_objects_and_small_tensor_validation,0.22941155964508653,12280,0.008537043943814378,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,history,cross_step_history,7.039437699131668,40,0.2619571091805606,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,history,python_objects_and_small_tensor_validation,8.034701383672655,239479,0.2989936465885002,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,other_solve,initial_remainder,0.12113532144576311,20,0.004507783147154542,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,other_solve,polynomial_multiply_truncate_range,1.8766353409737349,1160,0.06983483481474594,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,other_solve,python_objects_and_small_tensor_validation,0.4117124010808766,12594,0.015320966675255558,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,other_solve,unwrapped_dispatch_and_other,0.4693549950607121,20,0.01746600835756054,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,post_accept,fixed_plan_operation_dispatch,0.015230951830744743,5032,0.0005667861954574041,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,post_accept,plan_binding_checks,0.0008445600979030132,148,3.142843664959417e-05,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,post_accept,plan_snapshot_and_binding,0.02272337069734931,20,0.0008455999972057635,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,post_accept,python_objects_and_small_tensor_validation,0.6896765981800854,26700,0.025664789667933823,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,post_accept,refinement_dynamic,0.8458338100463152,168,0.031475835030721794,26.872481992002577,False
brusselator_0001_0020,brusselator,prepared_remainder_replay,post_accept,refinement_fixed_polynomial,1.2918761647306383,780,0.04807431502289625,26.872481992002577,False
brusselator_0001_0020,brusselator,reference,boundary,boundary_endpoint,0.9570754431188107,40,0.02749413156787045,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,boundary,python_objects_and_small_tensor_validation,0.9263922772370279,27308,0.026612689038195383,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,candidate,candidate_polynomial,0.33043365832418203,20,0.009492445492920257,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,candidate,polynomial_multiply_truncate_range,3.5940034659579396,2160,0.10324578366197125,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,candidate,python_objects_and_small_tensor_validation,0.22813481744378805,12280,0.0065536826078954865,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,history,cross_step_history,6.928391465451568,40,0.19903353270050297,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,history,python_objects_and_small_tensor_validation,7.935005363542587,239479,0.2279507671266356,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,other_solve,initial_remainder,0.12068365793675184,20,0.0034669078527313365,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,other_solve,polynomial_multiply_truncate_range,1.8754643769934773,1160,0.0538769066771591,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,other_solve,python_objects_and_small_tensor_validation,0.40454030130058527,12594,0.01162132447178828,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,other_solve,unwrapped_dispatch_and_other,0.4584607658907771,20,0.013170310351953003,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,post_accept,python_objects_and_small_tensor_validation,0.6971234176307917,30340,0.02002642853412459,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,post_accept,refinement_dynamic,0.921035067178309,168,0.026458791203651476,34.81017179088667,False
brusselator_0001_0020,brusselator,reference,post_accept,refinement_fixed_polynomial,9.433427712880075,5772,0.27099629871260084,34.81017179088667,False
brusselator_0101_0120,brusselator,prepared_remainder_replay,boundary,boundary_endpoint,1.4953064466826618,40,0.055127543973446685,27.12448875652626,False
brusselator_0101_0120,brusselator,prepared_remainder_replay,boundary,python_objects_and_small_tensor_validation,1.2265649707987905,36140,0.045219837387853956,27.12448875652626,False
brusselator_0101_0120,brusselator,prepared_remainder_replay,candidate,candidate_polynomial,0.33621515752747655,20,0.01239526247095005,27.12448875652626,False
brusselator_0101_0120,brusselator,prepared_remainder_replay,candidate,polynomial_multiply_truncate_range,3.6740685468539596,2160,0.1354520846395663,27.12448875652626,False
brusselator_0101_0120,brusselator,prepared_remainder_replay,candidate,python_objects_and_small_tensor_validation,0.2323769498616457,12280,0.008567053629931914,27.12448875652626,False
brusselator_0101_0120,brusselator,prepared_remainder_replay,history,cross_step_history,6.677045793272555,40,0.24616300986192893,27.12448875652626,False
