plant,step,t_end_exact,view,kind,component,reference_lo_hex,reference_hi_hex,optimized_lo_hex,optimized_hi_hex,bit_identical,width_ratio
brusselator,596,858926520932101015/72057594037927936,common,endpoint,y,0x1.0aebf1949a656p+2,0x1.0ba0801de9aa9p+2,0x1.0aebf1949a656p+2,0x1.0ba0801de9aa9p+2,True,1.0
brusselator,596,858926520932101015/72057594037927936,common,tube,x,0x1.a14ea1bb6e159p-2,0x1.a3ee8127f839ap-2,0x1.a14ea1bb6e159p-2,0x1.a3ee8127f839ap-2,True,1.0
brusselator,596,858926520932101015/72057594037927936,common,tube,y,0x1.0a3d8041f0f7cp+2,0x1.0ba17a9b46c89p+2,0x1.0a3d8041f0f7cp+2,0x1.0ba17a9b46c89p+2,True,1.0
brusselator,597,3441470691251438295/288230376151711744,published,endpoint,x,0x1.a3dd901cf1584p-2,0x1.a536f2d871d9dp-2,0x1.a3dd901cf1584p-2,0x1.a536f2d871d9dp-2,True,1.0
brusselator,597,3441470691251438295/288230376151711744,published,endpoint,y,0x1.0b9909ceb2b00p+2,0x1.0c4cd4a16e302p+2,0x1.0b9909ceb2b00p+2,0x1.0c4cd4a16e302p+2,True,1.0
brusselator,597,3441470691251438295/288230376151711744,published,tube,x,0x1.a28ff4a812deep-2,0x1.a53aef0b0d9c3p-2,0x1.a28ff4a812deep-2,0x1.a53aef0b0d9c3p-2,True,1.0
brusselator,597,3441470691251438295/288230376151711744,published,tube,y,0x1.0aeb572637cc0p+2,0x1.0c4dd0ea6ead8p+2,0x1.0aeb572637cc0p+2,0x1.0c4dd0ea6ead8p+2,True,1.0
brusselator,597,3441470691251438295/288230376151711744,common,endpoint,x,0x1.a3dd901cf158bp-2,0x1.a536f2d871d97p-2,0x1.a3dd901cf158bp-2,0x1.a536f2d871d97p-2,True,1.0
brusselator,597,3441470691251438295/288230376151711744,common,endpoint,y,0x1.0b9909ceb2b07p+2,0x1.0c4cd4a16e2fcp+2,0x1.0b9909ceb2b07p+2,0x1.0c4cd4a16e2fcp+2,True,1.0
brusselator,597,3441470691251438295/288230376151711744,common,tube,x,0x1.a28ff4a812e14p-2,0x1.a53aef0b0d99dp-2,0x1.a28ff4a812e14p-2,0x1.a53aef0b0d99dp-2,True,1.0
brusselator,597,3441470691251438295/288230376151711744,common,tube,y,0x1.0aeb572637ce6p+2,0x1.0c4dd0ea6eab4p+2,0x1.0aeb572637ce6p+2,0x1.0c4dd0ea6eab4p+2,True,1.0
brusselator,598,1723617649387236265/144115188075855872,published,endpoint,x,0x1.a529d7ef3e4d8p-2,0x1.a6890ddedc546p-2,0x1.a529d7ef3e4d8p-2,0x1.a6890ddedc546p-2,True,1.0
brusselator,598,1723617649387236265/144115188075855872,published,endpoint,y,0x1.0c456007e7b6fp+2,0x1.0cf864255ff4ep+2,0x1.0c456007e7b6fp+2,0x1.0cf864255ff4ep+2,True,1.0
brusselator,598,1723617649387236265/144115188075855872,published,tube,x,0x1.a3d6bbb819aadp-2,0x1.a68cf8b4a7553p-2,0x1.a3d6bbb819aadp-2,0x1.a68cf8b4a7553p-2,True,1.0
brusselator,598,1723617649387236265/144115188075855872,published,tube,y,0x1.0b986f0743145p+2,0x1.0cf96246bf4d1p+2,0x1.0b986f0743145p+2,0x1.0cf96246bf4d1p+2,True,1.0
brusselator,598,1723617649387236265/144115188075855872,common,endpoint,x,0x1.a529d7ef3e4dfp-2,0x1.a6890ddedc540p-2,0x1.a529d7ef3e4dfp-2,0x1.a6890ddedc540p-2,True,1.0
brusselator,598,1723617649387236265/144115188075855872,common,endpoint,y,0x1.0c456007e7b75p+2,0x1.0cf864255ff48p+2,0x1.0c456007e7b75p+2,0x1.0cf864255ff48p+2,True,1.0
brusselator,598,1723617649387236265/144115188075855872,common,tube,x,0x1.a3d6bbb819ad3p-2,0x1.a68cf8b4a752dp-2,0x1.a3d6bbb819ad3p-2,0x1.a68cf8b4a752dp-2,True,1.0
brusselator,598,1723617649387236265/144115188075855872,common,tube,y,0x1.0b986f0743167p+2,0x1.0cf96246bf4acp+2,0x1.0b986f0743167p+2,0x1.0cf96246bf4acp+2,True,1.0
brusselator,599,3452999906297506765/288230376151711744,published,endpoint,x,0x1.a67bbbf3218dap-2,0x1.a7e0dbfc7f680p-2,0x1.a67bbbf3218dap-2,0x1.a7e0dbfc7f680p-2,True,1.0
brusselator,599,3452999906297506765/288230376151711744,published,endpoint,y,0x1.0cf0f128ba182p+2,0x1.0da32b7915c1fp+2,0x1.0cf0f128ba182p+2,0x1.0da32b7915c1fp+2,True,1.0
brusselator,599,3452999906297506765/288230376151711744,published,tube,x,0x1.a5230ab3b315ap-2,0x1.a7e4b4368ed0dp-2,0x1.a5230ab3b315ap-2,0x1.a7e4b4368ed0dp-2,True,1.0
brusselator,599,3452999906297506765/288230376151711744,published,tube,y,0x1.0c44c4e6f9d36p+2,0x1.0da42b7fd9dadp+2,0x1.0c44c4e6f9d36p+2,0x1.0da42b7fd9dadp+2,True,1.0
brusselator,599,3452999906297506765/288230376151711744,common,endpoint,x,0x1.a67bbbf3218e1p-2,0x1.a7e0dbfc7f679p-2,0x1.a67bbbf3218e1p-2,0x1.a7e0dbfc7f679p-2,True,1.0
brusselator,599,3452999906297506765/288230376151711744,common,endpoint,y,0x1.0cf0f128ba188p+2,0x1.0da32b7915c19p+2,0x1.0cf0f128ba188p+2,0x1.0da32b7915c19p+2,True,1.0
brusselator,599,3452999906297506765/288230376151711744,common,tube,x,0x1.a5230ab3b317dp-2,0x1.a7e4b4368eceap-2,0x1.a5230ab3b317dp-2,0x1.a7e4b4368eceap-2,True,1.0
brusselator,599,3452999906297506765/288230376151711744,common,tube,y,0x1.0c44c4e6f9d5cp+2,0x1.0da42b7fd9d89p+2,0x1.0c44c4e6f9d5cp+2,0x1.0da42b7fd9d89p+2,True,1.0
brusselator,600,432345564227567625/36028797018963968,published,endpoint,x,0x1.a7d35239dec94p-2,0x1.a93e7497c0642p-2,0x1.a7d35239dec94p-2,0x1.a93e7497c0642p-2,True,1.0
brusselator,600,432345564227567625/36028797018963968,published,endpoint,y,0x1.0d9bb9ff86ce3p+2,0x1.0e4d27510506cp+2,0x1.0d9bb9ff86ce3p+2,0x1.0e4d27510506cp+2,True,1.0
brusselator,600,432345564227567625/36028797018963968,published,tube,x,0x1.a674f67e1c538p-2,0x1.a94238ee4eef3p-2,0x1.a674f67e1c538p-2,0x1.a94238ee4eef3p-2,True,1.0
brusselator,600,432345564227567625/36028797018963968,published,tube,y,0x1.0cf055adec1fcp+2,0x1.0e4e294a83214p+2,0x1.0cf055adec1fcp+2,0x1.0e4e294a83214p+2,True,1.0
brusselator,600,432345564227567625/36028797018963968,common,endpoint,x,0x1.a7d35239dec9bp-2,0x1.a93e7497c063cp-2,0x1.a7d35239dec9bp-2,0x1.a93e7497c063cp-2,True,1.0
brusselator,600,432345564227567625/36028797018963968,common,endpoint,y,0x1.0d9bb9ff86ce9p+2,0x1.0e4d275105065p+2,0x1.0d9bb9ff86ce9p+2,0x1.0e4d275105065p+2,True,1.0
brusselator,600,432345564227567625/36028797018963968,common,tube,x,0x1.a674f67e1c55dp-2,0x1.a94238ee4eecep-2,0x1.a674f67e1c55dp-2,0x1.a94238ee4eecep-2,True,1.0
brusselator,600,432345564227567625/36028797018963968,common,tube,y,0x1.0cf055adec227p+2,0x1.0e4e294a831ebp+2,0x1.0cf055adec227p+2,0x1.0e4e294a831ebp+2,True,1.0
brusselator,601,3464529121343575235/288230376151711744,published,endpoint,x,0x1.a930b21e60368p-2,0x1.aaa1f04a49f2fp-2,0x1.a930b21e60368p-2,0x1.aaa1f04a49f2fp-2,True,1.0
brusselator,601,3464529121343575235/288230376151711744,published,endpoint,y,0x1.0e45b73fb41f0p+2,0x1.0ef65445d8ff9p+2,0x1.0e45b73fb41f0p+2,0x1.0ef65445d8ff9p+2,True,1.0
brusselator,601,3464529121343575235/288230376151711744,published,tube,x,0x1.a7cc953db1c66p-2,0x1.aaa59f6baa504p-2,0x1.a7cc953db1c66p-2,0x1.aaa59f6baa504p-2,True,1.0
brusselator,601,3464529121343575235/288230376151711744,published,tube,y,0x1.0d9b1e2a8c362p+2,0x1.0ef7583fbad86p+2,0x1.0d9b1e2a8c362p+2,0x1.0ef7583fbad86p+2,True,1.0
brusselator,601,3464529121343575235/288230376151711744,common,endpoint,x,0x1.a930b21e6036fp-2,0x1.aaa1f04a49f28p-2,0x1.a930b21e6036fp-2,0x1.aaa1f04a49f28p-2,True,1.0
brusselator,601,3464529121343575235/288230376151711744,common,endpoint,y,0x1.0e45b73fb41f6p+2,0x1.0ef65445d8ff3p+2,0x1.0e45b73fb41f6p+2,0x1.0ef65445d8ff3p+2,True,1.0
brusselator,601,3464529121343575235/288230376151711744,common,tube,x,0x1.a7cc953db1c8dp-2,0x1.aaa59f6baa4dep-2,0x1.a7cc953db1c8dp-2,0x1.aaa59f6baa4dep-2,True,1.0
brusselator,601,3464529121343575235/288230376151711744,common,tube,y,0x1.0d9b1e2a8c386p+2,0x1.0ef7583fbad62p+2,0x1.0d9b1e2a8c386p+2,0x1.0ef7583fbad62p+2,True,1.0
brusselator,602,1735146864433304735/144115188075855872,published,endpoint,x,0x1.aa93f43611804p-2,0x1.ac0b6900a8cdap-2,0x1.aa93f43611804p-2,0x1.ac0b6900a8cdap-2,True,1.0
brusselator,602,1735146864433304735/144115188075855872,published,endpoint,y,0x1.0eeee580f3c7cp+2,0x1.0f9eaed35aa4dp+2,0x1.0eeee580f3c7cp+2,0x1.0f9eaed35aa4dp+2,True,1.0
brusselator,602,1735146864433304735/144115188075855872,published,tube,x,0x1.a929fe4ba8e5fp-2,0x1.ac0f0190b2888p-2,0x1.a929fe4ba8e5fp-2,0x1.ac0f0190b2888p-2,True,1.0
brusselator,602,1735146864433304735/144115188075855872,published,tube,y,0x1.0e451b107dab3p+2,0x1.0f9fb4dba380ap+2,0x1.0e451b107dab3p+2,0x1.0f9fb4dba380ap+2,True,1.0
brusselator,602,1735146864433304735/144115188075855872,common,endpoint,x,0x1.aa93f4361180bp-2,0x1.ac0b6900a8cd3p-2,0x1.aa93f4361180bp-2,0x1.ac0b6900a8cd3p-2,True,1.0
brusselator,602,1735146864433304735/144115188075855872,common,endpoint,y,0x1.0eeee580f3c83p+2,0x1.0f9eaed35aa46p+2,0x1.0eeee580f3c83p+2,0x1.0f9eaed35aa46p+2,True,1.0
brusselator,602,1735146864433304735/144115188075855872,common,tube,x,0x1.a929fe4ba8e83p-2,0x1.ac0f0190b2865p-2,0x1.a929fe4ba8e83p-2,0x1.ac0f0190b2865p-2,True,1.0
brusselator,602,1735146864433304735/144115188075855872,common,tube,y,0x1.0e451b107dad9p+2,0x1.0f9fb4dba37e3p+2,0x1.0e451b107dad9p+2,0x1.0f9fb4dba37e3p+2,True,1.0
brusselator,603,3476058336389643705/288230376151711744,published,endpoint,x,0x1.abfd3260517c8p-2,0x1.ad7af9fcabdbbp-2,0x1.abfd3260517c8p-2,0x1.ad7af9fcabdbbp-2,True,1.0
brusselator,603,3476058336389643705/288230376151711744,published,endpoint,y,0x1.0f97413dd4cd3p+2,0x1.10463357edd82p+2,0x1.0f97413dd4cd3p+2,0x1.10463357edd82p+2,True,1.0
brusselator,603,3476058336389643705/288230376151711744,published,tube,x,0x1.aa8d4a430680bp-2,0x1.ad7e7a93f6313p-2,0x1.aa8d4a430680bp-2,0x1.ad7e7a93f6313p-2,True,1.0
brusselator,603,3476058336389643705/288230376151711744,published,tube,y,0x1.0eee48f72a53bp+2,0x1.10473b7d0a0d9p+2,0x1.0eee48f72a53bp+2,0x1.10473b7d0a0d9p+2,True,1.0
brusselator,603,3476058336389643705/288230376151711744,common,endpoint,x,0x1.abfd3260517cep-2,0x1.ad7af9fcabdb4p-2,0x1.abfd3260517cep-2,0x1.ad7af9fcabdb4p-2,True,1.0
brusselator,603,3476058336389643705/288230376151711744,common,endpoint,y,0x1.0f97413dd4cd9p+2,0x1.10463357edd7bp+2,0x1.0f97413dd4cd9p+2,0x1.10463357edd7bp+2,True,1.0
brusselator,603,3476058336389643705/288230376151711744,common,tube,x,0x1.aa8d4a430682fp-2,0x1.ad7e7a93f62efp-2,0x1.aa8d4a430682fp-2,0x1.ad7e7a93f62efp-2,True,1.0
brusselator,603,3476058336389643705/288230376151711744,common,tube,y,0x1.0eee48f72a560p+2,0x1.10473b7d0a0b3p+2,0x1.0eee48f72a560p+2,0x1.10473b7d0a0b3p+2,True,1.0
brusselator,604,870455735978169485/72057594037927936,published,endpoint,x,0x1.ad6c87cbe1bb9p-2,0x1.aef0bfe33116dp-2,0x1.ad6c87cbe1bb9p-2,0x1.aef0bfe33116dp-2,True,1.0
brusselator,604,870455735978169485/72057594037927936,published,endpoint,y,0x1.103ec6d33d940p+2,0x1.10ecde1309b07p+2,0x1.103ec6d33d940p+2,0x1.10ecde1309b07p+2,True,1.0
brusselator,604,870455735978169485/72057594037927936,published,tube,x,0x1.abf69305525c7p-2,0x1.aef4270e54948p-2,0x1.abf69305525c7p-2,0x1.aef4270e54948p-2,True,1.0
brusselator,604,870455735978169485/72057594037927936,published,tube,y,0x1.0f96a4595510cp+2,0x1.10ede863d3c8ap+2,0x1.0f96a4595510cp+2,0x1.10ede863d3c8ap+2,True,1.0
brusselator,604,870455735978169485/72057594037927936,common,endpoint,x,0x1.ad6c87cbe1bc0p-2,0x1.aef0bfe331167p-2,0x1.ad6c87cbe1bc0p-2,0x1.aef0bfe331167p-2,True,1.0
brusselator,604,870455735978169485/72057594037927936,common,endpoint,y,0x1.103ec6d33d946p+2,0x1.10ecde1309b01p+2,0x1.103ec6d33d946p+2,0x1.10ecde1309b01p+2,True,1.0
brusselator,604,870455735978169485/72057594037927936,common,tube,x,0x1.abf69305525e9p-2,0x1.aef4270e54925p-2,0x1.abf69305525e9p-2,0x1.aef4270e54925p-2,True,1.0
brusselator,604,870455735978169485/72057594037927936,common,tube,y,0x1.0f96a45955134p+2,0x1.10ede863d3c63p+2,0x1.0f96a45955134p+2,0x1.10ede863d3c63p+2,True,1.0
brusselator,605,3487587551435712175/288230376151711744,published,endpoint,x,0x1.aee2110c99900p-2,0x1.b06cd8bb2963fp-2,0x1.aee2110c99900p-2,0x1.b06cd8bb2963fp-2,True,1.0
brusselator,605,3487587551435712175/288230376151711744,published,endpoint,y,0x1.10e5727f38137p+2,0x1.1192ab2440a42p+2,0x1.10e5727f38137p+2,0x1.1192ab2440a42p+2,True,1.0
brusselator,605,3487587551435712175/288230376151711744,published,tube,x,0x1.ad65f3cfcf7ffp-2,0x1.b07024f9bed04p-2,0x1.ad65f3cfcf7ffp-2,0x1.b07024f9bed04p-2,True,1.0
brusselator,605,3487587551435712175/288230376151711744,published,tube,y,0x1.103e29940de8cp+2,0x1.1193b7afed9b9p+2,0x1.103e29940de8cp+2,0x1.1193b7afed9b9p+2,True,1.0
brusselator,605,3487587551435712175/288230376151711744,common,endpoint,x,0x1.aee2110c99906p-2,0x1.b06cd8bb29639p-2,0x1.aee2110c99906p-2,0x1.b06cd8bb29639p-2,True,1.0
brusselator,605,3487587551435712175/288230376151711744,common,endpoint,y,0x1.10e5727f3813ep+2,0x1.1192ab2440a3cp+2,0x1.10e5727f3813ep+2,0x1.1192ab2440a3cp+2,True,1.0
brusselator,605,3487587551435712175/288230376151711744,common,tube,x,0x1.ad65f3cfcf825p-2,0x1.b07024f9becdcp-2,0x1.ad65f3cfcf825p-2,0x1.b07024f9becdcp-2,True,1.0
brusselator,605,3487587551435712175/288230376151711744,common,tube,y,0x1.103e29940deb3p+2,0x1.1193b7afed993p+2,0x1.103e29940deb3p+2,0x1.1193b7afed993p+2,True,1.0
brusselator,606,1746676079479373205/144115188075855872,published,endpoint,x,0x1.b05dec1e0e368p-2,0x1.b1ef640134e1fp-2,0x1.b05dec1e0e368p-2,0x1.b1ef640134e1fp-2,True,1.0
brusselator,606,1746676079479373205/144115188075855872,published,endpoint,y,0x1.118b405fd05ebp+2,0x1.1237968a169f7p+2,0x1.118b405fd05ebp+2,0x1.1237968a169f7p+2,True,1.0
brusselator,606,1746676079479373205/144115188075855872,published,tube,x,0x1.aedb893d40788p-2,0x1.b1f293c4f18a0p-2,0x1.aedb893d40788p-2,0x1.b1f293c4f18a0p-2,True,1.0
brusselator,606,1746676079479373205/144115188075855872,published,tube,y,0x1.10e4d4e575753p+2,0x1.1238a5604d1cdp+2,0x1.10e4d4e575753p+2,0x1.1238a5604d1cdp+2,True,1.0
brusselator,606,1746676079479373205/144115188075855872,common,endpoint,x,0x1.b05dec1e0e36fp-2,0x1.b1ef640134e18p-2,0x1.b05dec1e0e36fp-2,0x1.b1ef640134e18p-2,True,1.0
brusselator,606,1746676079479373205/144115188075855872,common,endpoint,y,0x1.118b405fd05f1p+2,0x1.1237968a169f0p+2,0x1.118b405fd05f1p+2,0x1.1237968a169f0p+2,True,1.0
brusselator,606,1746676079479373205/144115188075855872,common,tube,x,0x1.aedb893d407acp-2,0x1.b1f293c4f187ep-2,0x1.aedb893d407acp-2,0x1.b1f293c4f187ep-2,True,1.0
brusselator,606,1746676079479373205/144115188075855872,common,tube,y,0x1.10e4d4e575779p+2,0x1.1238a5604d1a9p+2,0x1.10e4d4e575779p+2,0x1.1238a5604d1a9p+2,True,1.0
brusselator,607,3499116766481780645/288230376151711744,published,endpoint,x,0x1.b1e03874215d1p-2,0x1.b37882aef9103p-2,0x1.b1e03874215d1p-2,0x1.b37882aef9103p-2,True,1.0
brusselator,607,3499116766481780645/288230376151711744,published,endpoint,y,0x1.12302c71e6ff2p+2,0x1.12db9c20c1e6fp+2,0x1.12302c71e6ff2p+2,0x1.12db9c20c1e6fp+2,True,1.0
brusselator,607,3499116766481780645/288230376151711744,published,tube,x,0x1.b0577155c6ce0p-2,0x1.b37b945aa9da7p-2,0x1.b0577155c6ce0p-2,0x1.b37b945aa9da7p-2,True,1.0
brusselator,607,3499116766481780645/288230376151711744,published,tube,y,0x1.118aa26bb084cp+2,0x1.12dcad51a0de9p+2,0x1.118aa26bb084cp+2,0x1.12dcad51a0de9p+2,True,1.0
brusselator,607,3499116766481780645/288230376151711744,common,endpoint,x,0x1.b1e03874215d7p-2,0x1.b37882aef90fcp-2,0x1.b1e03874215d7p-2,0x1.b37882aef90fcp-2,True,1.0
brusselator,607,3499116766481780645/288230376151711744,common,endpoint,y,0x1.12302c71e6ff9p+2,0x1.12db9c20c1e68p+2,0x1.12302c71e6ff9p+2,0x1.12db9c20c1e68p+2,True,1.0
brusselator,607,3499116766481780645/288230376151711744,common,tube,x,0x1.b0577155c6d04p-2,0x1.b37b945aa9d81p-2,0x1.b0577155c6d04p-2,0x1.b37b945aa9d81p-2,True,1.0
brusselator,607,3499116766481780645/288230376151711744,common,tube,y,0x1.118aa26bb0872p+2,0x1.12dcad51a0dc3p+2,0x1.118aa26bb0872p+2,0x1.12dcad51a0dc3p+2,True,1.0
brusselator,608,109527542937650465/9007199254740992,published,endpoint,x,0x1.b36916fb71a08p-2,0x1.b50857544b722p-2,0x1.b36916fb71a08p-2,0x1.b50857544b722p-2,True,1.0
brusselator,608,109527542937650465/9007199254740992,published,endpoint,y,0x1.12d4328fefa9bp+2,0x1.137eb7a0dc4b3p+2,0x1.12d4328fefa9bp+2,0x1.137eb7a0dc4b3p+2,True,1.0
brusselator,608,109527542937650465/9007199254740992,published,tube,x,0x1.b1d9cb8e530fap-2,0x1.b50b493af56e0p-2,0x1.b1d9cb8e530fap-2,0x1.b50b493af56e0p-2,True,1.0
brusselator,608,109527542937650465/9007199254740992,published,tube,y,0x1.122f8e23b824fp+2,0x1.137fcb3d01f39p+2,0x1.122f8e23b824fp+2,0x1.137fcb3d01f39p+2,True,1.0
brusselator,608,109527542937650465/9007199254740992,common,endpoint,x,0x1.b36916fb71a0fp-2,0x1.b50857544b71cp-2,0x1.b36916fb71a0fp-2,0x1.b50857544b71cp-2,True,1.0
brusselator,608,109527542937650465/9007199254740992,common,endpoint,y,0x1.12d4328fefaa2p+2,0x1.137eb7a0dc4acp+2,0x1.12d4328fefaa2p+2,0x1.137eb7a0dc4acp+2,True,1.0
brusselator,608,109527542937650465/9007199254740992,common,tube,x,0x1.b1d9cb8e53120p-2,0x1.b50b493af56bap-2,0x1.b1d9cb8e53120p-2,0x1.b50b493af56bap-2,True,1.0
brusselator,608,109527542937650465/9007199254740992,common,tube,y,0x1.122f8e23b8276p+2,0x1.137fcb3d01f13p+2,0x1.122f8e23b8276p+2,0x1.137fcb3d01f13p+2,True,1.0
brusselator,609,3510645981527849115/288230376151711744,published,endpoint,x,0x1.b4f8aa33b69c0p-2,0x1.b69f06183cd09p-2,0x1.b4f8aa33b69c0p-2,0x1.b69f06183cd09p-2,True,1.0
brusselator,609,3510645981527849115/288230376151711744,published,endpoint,y,0x1.13774e70a2593p+2,0x1.1420e49dfcbb5p+2,0x1.13774e70a2593p+2,0x1.1420e49dfcbb5p+2,True,1.0
brusselator,609,3510645981527849115/288230376151711744,published,tube,x,0x1.b362b8e260c47p-2,0x1.b6a1d67bf766dp-2,0x1.b362b8e260c47p-2,0x1.b6a1d67bf766dp-2,True,1.0
brusselator,609,3510645981527849115/288230376151711744,published,tube,y,0x1.12d393e81d099p+2,0x1.1421fab68dd96p+2,0x1.12d393e81d099p+2,0x1.1421fab68dd96p+2,True,1.0
brusselator,609,3510645981527849115/288230376151711744,common,endpoint,x,0x1.b4f8aa33b69c6p-2,0x1.b69f06183cd02p-2,0x1.b4f8aa33b69c6p-2,0x1.b69f06183cd02p-2,True,1.0
brusselator,609,3510645981527849115/288230376151711744,common,endpoint,y,0x1.13774e70a259ap+2,0x1.1420e49dfcbafp+2,0x1.13774e70a259ap+2,0x1.1420e49dfcbafp+2,True,1.0
brusselator,609,3510645981527849115/288230376151711744,common,tube,x,0x1.b362b8e260c6fp-2,0x1.b6a1d67bf7648p-2,0x1.b362b8e260c6fp-2,0x1.b6a1d67bf7648p-2,True,1.0
brusselator,609,3510645981527849115/288230376151711744,common,tube,y,0x1.12d393e81d0bep+2,0x1.1421fab68dd70p+2,0x1.12d393e81d0bep+2,0x1.1421fab68dd70p+2,True,1.0
brusselator,610,1758205294525441675/144115188075855872,published,endpoint,x,0x1.b68f163850318p-2,0x1.b83cb4cdd7e2cp-2,0x1.b68f163850318p-2,0x1.b83cb4cdd7e2cp-2,True,1.0
brusselator,610,1758205294525441675/144115188075855872,published,endpoint,y,0x1.14197ba593446p+2,0x1.14c21e85427e5p+2,0x1.14197ba593446p+2,0x1.14c21e85427e5p+2,True,1.0
brusselator,610,1758205294525441675/144115188075855872,published,tube,x,0x1.b4f25bdb94625p-2,0x1.b83f61dea5549p-2,0x1.b4f25bdb94625p-2,0x1.b83f61dea5549p-2,True,1.0
brusselator,610,1758205294525441675/144115188075855872,published,tube,y,0x1.1376af6fb2d91p+2,0x1.14c3372bf214cp+2,0x1.1376af6fb2d91p+2,0x1.14c3372bf214cp+2,True,1.0
brusselator,610,1758205294525441675/144115188075855872,common,endpoint,x,0x1.b68f16385031ep-2,0x1.b83cb4cdd7e26p-2,0x1.b68f16385031ep-2,0x1.b83cb4cdd7e26p-2,True,1.0
brusselator,610,1758205294525441675/144115188075855872,common,endpoint,y,0x1.14197ba59344cp+2,0x1.14c21e85427dep+2,0x1.14197ba59344cp+2,0x1.14c21e85427dep+2,True,1.0
brusselator,610,1758205294525441675/144115188075855872,common,tube,x,0x1.b4f25bdb9464bp-2,0x1.b83f61dea5523p-2,0x1.b4f25bdb9464bp-2,0x1.b83f61dea5523p-2,True,1.0
brusselator,610,1758205294525441675/144115188075855872,common,tube,y,0x1.1376af6fb2db6p+2,0x1.14c3372bf2128p+2,0x1.1376af6fb2db6p+2,0x1.14c3372bf2128p+2,True,1.0
brusselator,611,3522175196573917585/288230376151711744,published,endpoint,x,0x1.b82c80ce32a61p-2,0x1.b9e18b05841fbp-2,0x1.b82c80ce32a61p-2,0x1.b9e18b05841fbp-2,True,1.0
brusselator,611,3522175196573917585/288230376151711744,published,endpoint,y,0x1.14bab599b9de0p+2,0x1.1562609bc7a22p+2,0x1.14bab599b9de0p+2,0x1.1562609bc7a22p+2,True,1.0
brusselator,611,3522175196573917585/288230376151711744,published,tube,x,0x1.b688d89ea5ec9p-2,0x1.b9e412e02af49p-2,0x1.b688d89ea5ec9p-2,0x1.b9e412e02af49p-2,True,1.0
brusselator,611,3522175196573917585/288230376151711744,published,tube,y,0x1.1418dc4c2ba9bp+2,0x1.15637be2df054p+2,0x1.1418dc4c2ba9bp+2,0x1.15637be2df054p+2,True,1.0
brusselator,611,3522175196573917585/288230376151711744,common,endpoint,x,0x1.b82c80ce32a67p-2,0x1.b9e18b05841f5p-2,0x1.b82c80ce32a67p-2,0x1.b9e18b05841f5p-2,True,1.0
brusselator,611,3522175196573917585/288230376151711744,common,endpoint,y,0x1.14bab599b9de6p+2,0x1.1562609bc7a1cp+2,0x1.14bab599b9de6p+2,0x1.1562609bc7a1cp+2,True,1.0
brusselator,611,3522175196573917585/288230376151711744,common,tube,x,0x1.b688d89ea5eecp-2,0x1.b9e412e02af26p-2,0x1.b688d89ea5eecp-2,0x1.b9e412e02af26p-2,True,1.0
brusselator,611,3522175196573917585/288230376151711744,common,tube,y,0x1.1418dc4c2bac1p+2,0x1.15637be2df02cp+2,0x1.1418dc4c2bac1p+2,0x1.15637be2df02cp+2,True,1.0
brusselator,612,881984951024237955/72057594037927936,published,endpoint,x,0x1.b9d1117597541p-2,0x1.bb8db21cc25a0p-2,0x1.b9d1117597541p-2,0x1.bb8db21cc25a0p-2,True,1.0
brusselator,612,881984951024237955/72057594037927936,published,endpoint,y,0x1.155af78fe2a80p+2,0x1.1601a5fcfc54fp+2,0x1.155af78fe2a80p+2,0x1.1601a5fcfc54fp+2,True,1.0
brusselator,612,881984951024237955/72057594037927936,published,tube,x,0x1.b82654fc20725p-2,0x1.bb9012c988c6ap-2,0x1.b82654fc20725p-2,0x1.bb9012c988c6ap-2,True,1.0
brusselator,612,881984951024237955/72057594037927936,published,tube,y,0x1.14ba15e89f89fp+2,0x1.1602c3f763ab0p+2,0x1.14ba15e89f89fp+2,0x1.1602c3f763ab0p+2,True,1.0
brusselator,612,881984951024237955/72057594037927936,common,endpoint,x,0x1.b9d1117597549p-2,0x1.bb8db21cc2599p-2,0x1.b9d1117597549p-2,0x1.bb8db21cc2599p-2,True,1.0
brusselator,612,881984951024237955/72057594037927936,common,endpoint,y,0x1.155af78fe2a88p+2,0x1.1601a5fcfc548p+2,0x1.155af78fe2a88p+2,0x1.1601a5fcfc548p+2,True,1.0
brusselator,612,881984951024237955/72057594037927936,common,tube,x,0x1.b82654fc2074ep-2,0x1.bb9012c988c43p-2,0x1.b82654fc2074ep-2,0x1.bb9012c988c43p-2,True,1.0
brusselator,612,881984951024237955/72057594037927936,common,tube,y,0x1.14ba15e89f8c5p+2,0x1.1602c3f763a8cp+2,0x1.14ba15e89f8c5p+2,0x1.1602c3f763a8cp+2,True,1.0
brusselator,613,3533704411619986055/288230376151711744,published,endpoint,x,0x1.bb7cf175ebe8cp-2,0x1.bd415555e94d4p-2,0x1.bb7cf175ebe8cp-2,0x1.bd415555e94d4p-2,True,1.0
brusselator,613,3533704411619986055/288230376151711744,published,endpoint,y,0x1.15fa3ca1063f1p+2,0x1.169fe998ee13cp+2,0x1.15fa3ca1063f1p+2,0x1.169fe998ee13cp+2,True,1.0
brusselator,613,3533704411619986055/288230376151711744,published,tube,x,0x1.b9caf87b38733p-2,0x1.bd438cc74a556p-2,0x1.b9caf87b38733p-2,0x1.bd438cc74a556p-2,True,1.0
