plant,kind,component,P50,P95,maximum,maximum_at_step,maximum_at_time,data_origin,fresh_flowstar_timing
brusselator,endpoint,x,0.995777528256729,1.1100877952951078,1.3566840776661562,360,7.2,REUSED_MATCHED_REFERENCE,False
brusselator,endpoint,y,0.9911242525176691,1.0061440348611272,1.038454790850262,673,13.46,REUSED_MATCHED_REFERENCE,False
brusselator,tube,x,1.0059264674909028,1.0887618804632209,1.1880313484128868,361,7.22,REUSED_MATCHED_REFERENCE,False
brusselator,tube,y,1.0020406267425985,1.1376513545256297,1.2031840431888623,382,7.640000000000001,REUSED_MATCHED_REFERENCE,False
van_der_pol,endpoint,x,1.1975754660985138,1.2678663697706758,1.2781452841273657,285,2.85,REUSED_MATCHED_REFERENCE,False
van_der_pol,endpoint,y,1.1653677563025322,1.2513914221638123,1.2661819569472081,349,3.49,REUSED_MATCHED_REFERENCE,False
van_der_pol,tube,x,1.1740512671013297,1.227078243838774,1.2347670185184663,285,2.85,REUSED_MATCHED_REFERENCE,False
van_der_pol,tube,y,1.1835510832013874,1.2311823549119372,1.2622728623468247,349,3.49,REUSED_MATCHED_REFERENCE,False
