window,plant,rank,file,line,function,primitive_calls,total_calls,self_seconds,self_fraction,cprofile_total_seconds,production_speed_denominator
brusselator_0001_0020,brusselator,1,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,56,__init__,268139,268139,3.0908074070000002,0.09540681137452718,32.39608747499992,False
brusselator_0001_0020,brusselator,2,~,0,<method 'clone' of 'torch._C.TensorBase' objects>,1311906,1311906,2.585245113,0.07980115237665768,32.39608747499992,False
brusselator_0001_0020,brusselator,3,~,0,<built-in method torch.any>,817013,817013,1.9299603740000002,0.0595738721686485,32.39608747499992,False
brusselator_0001_0020,brusselator,4,~,0,<built-in method torch.stack>,201064,201064,1.310024989,0.040437753170377344,32.39608747499992,False
brusselator_0001_0020,brusselator,5,~,0,<built-in method torch.min>,174172,174172,1.274881932,0.03935295992097277,32.39608747499992,False
brusselator_0001_0020,brusselator,6,~,0,<built-in method torch.full_like>,501572,501572,1.2329274190000001,0.038057911158298076,32.39608747499992,False
brusselator_0001_0020,brusselator,7,~,0,<built-in method torch.max>,187174,187174,1.156567485,0.035700838438978894,32.39608747499992,False
brusselator_0001_0020,brusselator,8,~,0,<built-in method torch.nextafter>,501344,501344,1.1370335390000001,0.03509786605797535,32.39608747499992,False
brusselator_0001_0020,brusselator,9,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,152,__mul__,79976,79976,1.0683880460000001,0.03297892212522502,32.39608747499992,False
brusselator_0001_0020,brusselator,10,~,0,<built-in method torch.isnan>,536278,536278,1.021684767,0.03153728880959575,32.39608747499992,False
brusselator_0001_0020,brusselator,11,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,15,_as_tensor,536318,536318,0.9501557410000001,0.029329336196330366,32.39608747499992,False
brusselator_0001_0020,brusselator,12,~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,595317,595317,0.922025945,0.02846102776181006,32.39608747499992,False
brusselator_0001_0020,brusselator,13,~,0,<method 'pow' of 'torch._C.TensorBase' objects>,310170,310170,0.87769158,0.027092517905975992,32.39608747499992,False
brusselator_0001_0020,brusselator,14,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,487,_power_interval_bounds,12240,12240,0.7949641510000001,0.02453889382825856,32.39608747499992,False
brusselator_0001_0020,brusselator,15,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,175,pow_int,68914,68914,0.789878548,0.024381911816034874,32.39608747499992,False
brusselator_0001_0020,brusselator,16,~,0,<built-in method torch.all>,228389,228389,0.645143506,0.01991424138787925,32.39608747499992,False
