stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
sin_tm,<stack-unavailable>:0:unknown,[[]],26,26,26,10.276679841897232
remainder_picard_round_01,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_02,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_03,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_04,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_05,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_06,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_07,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_08,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_09,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
remainder_picard_round_10,<stack-unavailable>:0:unknown,[[]],20,20,20,7.905138339920948
initial_remainder_picard,<stack-unavailable>:0:unknown,[[]],18,18,18,7.1146245059288535
affine_composition,<stack-unavailable>:0:unknown,[[]],4,4,4,1.5810276679841897
full_q3_step,<stack-unavailable>:0:unknown,[[]],2,2,2,0.7905138339920948
final_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],1,1,1,0.3952569169960474
composed_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],1,1,1,0.3952569169960474
unscoped,<stack-unavailable>:0:unknown,[[]],1,1,1,0.3952569169960474
