operator,event_count,self_cpu_time_us,most_common_input_shapes,most_common_input_shapes_count
aten::as_strided,49846,31287.45899997014,"[[48],[],[],[]]",20216
aten::unsqueeze,16567,24473.01000002549,"[[48],[]]",10360
aten::empty_strided,14538,85960.25899999557,"[[],[],[],[],[],[]]",14538
aten::fill_,12883,64323.72399999028,"[[48,1],[]]",3762
aten::empty_like,12383,32213.5679999926,"[[48,1],[],[],[],[],[]]",3770
aten::abs,10986,59481.02200000076,[[48]],4558
aten::empty,10374,49403.83300000108,"[[],[],[],[],[],[]]",10374
aten::resize_,10026,33447.66699999312,"[[0],[],[]]",10026
aten::pow,8069,88657.35599998289,"[[48],[]]",8064
aten::full_like,7866,22122.349000029863,"[[48,84],[],[],[],[],[],[]]",3360
aten::nextafter,7864,75673.93800001126,"[[48,84],[48,84]]",3360
aten::mul,7716,71917.83100000663,"[[48,84],[48,84]]",3360
aten::le,6708,68370.49699998483,"[[48,1],[48,1]]",2674
aten::select,6347,20986.796000034028,"[[48,6],[],[]]",2226
aten::cat,6328,81254.67500000194,"[[],[]]",6328
aten::stack,6097,47951.58600000621,"[[],[]]",6097
aten::all,5740,87892.8889999945,"[[48,1]]",2771
aten::slice,5174,18066.23299999642,"[[48,6],[],[],[],[]]",2266
aten::view,3983,6013.726999999624,"[[96],[]]",2456
aten::min,3820,84695.86599998614,"[[2,48],[],[]]",2456
aten::max,3820,77058.7260000034,"[[2,48],[],[]]",2456
aten::zero_,3223,9328.878999987652,"[[48,1]]",1911
aten::zeros_like,3124,8242.343000006284,"[[48,1],[],[],[],[],[]]",1911
aten::copy_,3094,17213.261000006565,"[[48,5],[48,5],[]]",1520
aten::maximum,2895,29480.735999991804,"[[48],[48]]",1138
aten::index_select,2592,32477.55200000867,"[[48,4],[],[84]]",1680
aten::minimum,2545,24811.307999997916,"[[48],[48]]",1138
aten::__and__,2542,4125.853999996374,"[[48],[48]]",1149
aten::bitwise_and,2542,27944.260999996142,"[[48],[48]]",1149
aten::ge,2493,31939.11200000289,"[[48],[]]",1138
aten::clone,2117,8084.994999993563,"[[48,1],[]]",1190
aten::add,2035,21383.297999986036,"[[48,5],[48,5],[]]",960
aten::where,1803,22062.505000000856,"[[48],[48],[48]]",1576
aten::ones_like,1353,3617.1070000098825,"[[48],[],[],[],[],[]]",1138
aten::sub,476,4683.094999996631,"[[48,1],[48,1],[]]",221
aten::eq,425,4090.3020000031606,"[[48,1],[48,1]]",195
aten::sum,416,6835.364999997968,"[[48,1,84],[],[],[]]",260
aten::isfinite,304,2374.13700000061,"[[48,1]]",195
aten::ne,304,3512.1580000006006,"[[48,1],[]]",195
aten::lift_fresh,288,59.25499999460044,[[]],271
aten::item,253,284.05999999609594,[[]],253
aten::_local_scalar_dense,253,240.1300000012543,[[]],253
aten::ones,206,919.1560000029349,"[[],[],[],[],[]]",206
aten::arange,206,1218.8779999970975,"[[],[],[],[],[]]",103
aten::neg,185,1740.9000000031228,"[[48,1]]",169
aten::expand,110,482.9040000027853,"[[],[],[]]",31
aten::zeros,99,357.36700000111523,"[[],[],[],[],[]]",99
aten::to,80,157.95000000085565,"[[],[],[],[],[],[]]",31
aten::div,80,921.3939999999857,"[[48,1],[]]",65
aten::expand_as,78,151.8989999990772,"[[1,1,455],[48,1,455]]",26
aten::scatter_add_,78,1225.7820000002612,"[[48,1,84],[],[48,1,455],[48,1,455]]",39
aten::_to_copy,78,366.28599999864673,"[[],[],[],[],[],[],[]]",46
aten::reshape,46,56.55500000109896,"[[1],[]]",15
aten::index_put_,41,114.54400000208989,"[[48,84],[],[48,21],[]]",12
aten::_index_put_impl_,41,681.0259999977425,"[[48,84],[],[48,21],[],[]]",12
aten::nonzero,35,1222.1199999991804,[[84]],30
aten::t,35,118.50700000254437,"[[1,1]]",15
aten::transpose,35,87.37199999811128,"[[1,1],[],[]]",15
aten::set_,35,115.40600000089034,"[[1,1],[1,1]]",15
aten::bincount,15,402.2760000004928,"[[455],[],[]]",15
aten::rsub,15,81.19399999975576,"[[84],[],[]]",15
aten::__iand__,12,26.00099999893655,"[[48,5],[48,5]]",10
aten::bitwise_and_,12,122.42100000021856,"[[48,5],[48,5]]",10
aten::__ior__,7,25.844999999337233,"[[56],[56]]",5
aten::bitwise_or_,7,73.57800000152383,"[[56],[56]]",5
aten::index,5,114.54099999880418,"[[48,5,56],[]]",5
aten::squeeze,5,22.54300000052899,"[[48,5,1],[]]",5
aten::is_nonzero,3,7.297999999951571,[[]],3
aten::isclose,2,104.40199999999959,"[[48],[48],[],[],[]]",2
aten::bmm,2,151.45599999977276,"[[48,5,84],[48,84,84]]",2
aten::detach_,1,2.8020000000251457,[[5]],1
aten::broadcast_tensors,1,1.6100000000442378,[[]],1
