stage,source_callsite,input_shapes,aten_to_count,percent_of_total_aten_to
tora_rhs,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",26,32.5
sin_tm,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",13,16.25
sin_tm,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",13,16.25
affine_composition,<stack-unavailable>:0:unknown,"[[5],[],[],[],[],[]]",5,6.25
affine_composition,<stack-unavailable>:0:unknown,"[[21],[],[],[],[],[]]",3,3.75
affine_composition,<stack-unavailable>:0:unknown,"[[56],[],[],[],[],[]]",3,3.75
full_q3_step,<stack-unavailable>:0:unknown,"[[48,5],[],[],[],[],[]]",2,2.5
affine_composition,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",2,2.5
affine_composition,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",2,2.5
full_q3_step,<stack-unavailable>:0:unknown,"[[5],[],[],[],[],[]]",1,1.25
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,1.25
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,1.25
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,1.25
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,1.25
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,1.25
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,1.25
unscoped,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,1.25
unscoped,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,1.25
endpoint_projection,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,1.25
endpoint_projection,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,1.25
