step,time,time_hex,both_completed,flowstar_prestate_sha256,flowstar_retained_coefficient_sha256,torch_prestate_sha256,torch_retained_coefficient_sha256,flowstar_prestate_center_x,flowstar_prestate_center_y,flowstar_prestate_scale_x,flowstar_prestate_scale_y,torch_prestate_center_x,torch_prestate_center_y,torch_prestate_scale_x,torch_prestate_scale_y,flowstar_cumulative_runtime_s,torch_cumulative_runtime_s,flowstar_peak_rss_bytes,torch_peak_rss_bytes,qualification,prestate_center_x_delta_torch_minus_flowstar,prestate_scale_x_delta_torch_minus_flowstar,prestate_center_y_delta_torch_minus_flowstar,prestate_scale_y_delta_torch_minus_flowstar,flowstar_endpoint_x_lo,flowstar_endpoint_x_hi,flowstar_endpoint_x_width,flowstar_segment_tube_x_lo,flowstar_segment_tube_x_hi,flowstar_segment_tube_x_width,flowstar_prefix_tube_x_lo,flowstar_prefix_tube_x_hi,flowstar_prefix_tube_x_width,flowstar_endpoint_y_lo,flowstar_endpoint_y_hi,flowstar_endpoint_y_width,flowstar_segment_tube_y_lo,flowstar_segment_tube_y_hi,flowstar_segment_tube_y_width,flowstar_prefix_tube_y_lo,flowstar_prefix_tube_y_hi,flowstar_prefix_tube_y_width,torch_endpoint_x_lo,torch_endpoint_x_hi,torch_endpoint_x_width,torch_segment_tube_x_lo,torch_segment_tube_x_hi,torch_segment_tube_x_width,torch_prefix_tube_x_lo,torch_prefix_tube_x_hi,torch_prefix_tube_x_width,torch_endpoint_y_lo,torch_endpoint_y_hi,torch_endpoint_y_width,torch_segment_tube_y_lo,torch_segment_tube_y_hi,torch_segment_tube_y_width,torch_prefix_tube_y_lo,torch_prefix_tube_y_hi,torch_prefix_tube_y_width,flowstar_margin_x,flowstar_margin_y,torch_margin_x,torch_margin_y,endpoint_x_width_delta_torch_minus_flowstar,endpoint_x_width_ratio_torch_over_flowstar,endpoint_y_width_delta_torch_minus_flowstar,endpoint_y_width_ratio_torch_over_flowstar,segment_tube_x_width_delta_torch_minus_flowstar,segment_tube_x_width_ratio_torch_over_flowstar,segment_tube_y_width_delta_torch_minus_flowstar,segment_tube_y_width_ratio_torch_over_flowstar,prefix_tube_x_width_delta_torch_minus_flowstar,prefix_tube_x_width_ratio_torch_over_flowstar,prefix_tube_y_width_delta_torch_minus_flowstar,prefix_tube_y_width_ratio_torch_over_flowstar
1,0.01,0x1.47ae147ae147bp-7,True,dd130f5afc771a198fa3bd3b18aa700f6407057b964d2a24f7def222bec724e9,57de8fdcb403b569f980abbf100bdef7e85a14be25d4aed6395ed7e07bcf2194,e3067335dd7089e24615009a9ecc30435fed8baf038958f7b255111fa9ce5995,37b7895a062499782f5ed2688168fdf10efccace7c8e1e0b2d41d9449939b98c,1.25,2.4000000000000004,0.1499999999999999,0.04999999999999982,1.25,2.4000000000000004,0.1499999999999999,0.050000000000000044,0.004379629,0.21359742898494005,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,0.0,0.0,2.220446049250313e-16,1.1233097182976843,1.4244225119339453,0.301112793636261,1.0993097056396248,1.4245550681839452,0.32524536254432035,1.0993097056396248,1.4245550681839452,0.32524536254432035,2.311664291358734,2.434298058178654,0.12263376681992,2.3116590217343096,2.4610649331786534,0.1494059114443438,2.3116590217343096,2.4610649331786534,0.1494059114443438,1.1234168579141735,1.4243153549019467,0.30089849698777327,1.0993087672378825,1.4245559891701776,0.32524722193229505,1.0993087672378825,1.4245559891701776,0.32524722193229505,2.312314245043018,2.433648536212411,0.1213342911693931,2.311648456567026,2.4610759300639784,0.1494274734969525,2.311648456567026,2.4610759300639784,0.1494274734969525,9.856609203781738e-05,8.262412285399594e-05,9.8999997e-05,8.110169058223875e-05,-0.00021429664848771068,0.9992883176901923,-0.0012994756505269045,0.9894036064925323,1.8593879747008657e-06,1.0000057168777448,2.156205260872568e-05,1.000144318604266,1.8593879747008657e-06,1.0000057168777448,2.156205260872568e-05,1.000144318604266
2,0.02,0x1.47ae147ae147bp-6,True,0349c8825f11556ebd71bfe3c3c09e5a9cae8b465eda6f2f020d1442eea4a315,110aca97b4810cbfe2d050efb641f2c89ae1ac5e417daf84c2c3edf301e0c58d,ec17c2df10f755edf36d872a8ac3685de147da411fcfe072e89446cc81b91b40,d0432a189e2750b49e68bb1073a52e58b0b30f6ce610388150f6aa5b20d99895,1.27386745640806,2.3732383946244253,0.15044966009214522,0.06091358441412552,1.27386745640806,2.3732383946244253,0.15045059849388548,0.06092414958140347,0.009103499000000001,0.47842778638005257,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,9.384017402580547e-07,0.0,1.056516727795248e-05,1.1463431164287508,1.448566150802123,0.3022230343733723,1.1226107177825237,1.44870624101504,0.3260955232325162,1.0993097056396248,1.44870624101504,0.34939653537541515,2.2724661522317584,2.416508500955514,0.14404234872375543,2.2724600705092985,2.44477669537337,0.1723166248640715,2.2724600705092985,2.4610649331786534,0.18860486266935483,1.1464501005045302,1.448466743220258,0.3020166427157278,1.122607636621552,1.4487168986699264,0.3261092620483743,1.0993087672378825,1.4487168986699264,0.34940813143204386,2.2730951438938103,2.416347131657433,0.1432519877636227,2.2722150945538337,2.445489293692805,0.17327419913897124,2.2722150945538337,2.4610759300639784,0.18886083551014465,9.85261726573104e-05,8.19745567473216e-05,9.8999997e-05,8.047873278435237e-05,-0.00020639165764446687,0.9993170882620764,-0.000790360960132741,0.9945129958853386,1.3738815858088671e-05,1.0000421312617906,0.0009575742748997307,1.0055570626203658,1.1596056628704332e-05,1.000033188814011,0.00025597284078981986,1.0013571910987182
3,0.03,0x1.eb851eb851eb8p-6,True,e8401f52b56a477e16d41b906e2c09b10b93ba42bbba24af2ea09d1bc1478e2f,3a34a049afddecadd6c357d38d8ddffd88a97ea37e25e52c92b13742af305a0b,d625c27ef5151967ca45c7ccb05cd33fe9c90b2a0bed307d8b99649eec6d1985,5d06876a192d1b6d16e4f386618a9e721a4140f991fa303ca61edb13093dd867,1.29745976484137,2.3449762819290285,0.1507942788252542,0.07170571509977461,1.29745976484137,2.344976281929029,0.1507998952268986,0.07172696343444575,0.013814360000000001,0.8174384888261557,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,5.61640164439825e-06,4.440892098500626e-16,2.1248334671139513e-05,1.169192926651731,1.4723117697196855,0.30311884306795456,1.1457431471448418,1.472459209485946,0.3267160623411043,1.0993097056396248,1.472459209485946,0.3731495038463213,2.231946526546192,2.3971684239334445,0.16522189738725235,2.2319396559619262,2.4269002494421277,0.19496059348020145,2.2319396559619262,2.4610649331786534,0.22912527721672715,1.169295859428248,1.4722256834263818,0.30292982399813373,1.145734032272316,1.4724851708416857,0.32675113856936977,1.0993087672378825,1.4724851708416857,0.3731764036038032,2.2325656493394574,2.397431464351676,0.16486581501221842,2.2314298523561265,2.4282922162594245,0.19686236390329803,2.2314298523561265,2.4610759300639784,0.22964607770785195,9.848802332691345e-05,8.129232666436814e-05,9.8999997e-05,7.986451942850653e-05,-0.00018901906982082828,0.999376419268734,-0.00035608237503392814,0.9978448233517175,3.5076228265484843e-05,1.0001073599749402,0.0019017704230965826,1.0097546401000759,2.6899757481935183e-05,1.0000720884181935,0.0005208004911247954,1.0022729944834161
4,0.04,0x1.47ae147ae147bp-5,True,52be0f30f3070b278f437b894e22835acfb699fe9fcadfe114a1063cc6fabb21,913ae996ae9e7892f0d7bbc106c79f2b8c7c10ea8eb2435ef5f65dd3c5422420,bd7ee08dda0b49c81b636aa314884f36fc579794b8352e8494413dd6f0467cf9,129091b4a7ae971686b08bf877105e92419536737f99607479c19f985e4d9b6f,1.3207621045819984,2.3152513270046113,0.15102972757327712,0.08233656245583534,1.3207621045819984,2.315251327004612,0.1510471237681145,0.08237285145582794,0.018588095000000002,1.1801146483048797,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,1.7396194837371315e-05,4.440892098500626e-16,3.628899999259805e-05,1.1918493120764078,1.4956431261045193,0.30379381402811156,1.1686967802003874,1.495797707425346,0.32710092722495854,1.0993097056396248,1.495797707425346,0.3964880017857211,2.19020439794521,2.376265550923973,0.18606115297876302,2.1901967676653804,2.4074186260796417,0.21722185841426134,2.1901967676653804,2.4610649331786534,0.270868165513273,1.1919408334974848,1.4955766356269056,0.30363580212942076,1.1686743395929813,1.4958451789762157,0.32717083938323444,1.0993087672378825,1.4958451789762157,0.3965364117383332,2.1908039178169028,2.3769080555262394,0.18610413770933665,2.189388197282496,2.4094692209364856,0.22008102365398985,2.189388197282496,2.4610759300639784,0.2716877327814826,9.845200725149981e-05,8.060770573151685e-05,9.8999997e-05,7.926185990781473e-05,-0.0001580118986908019,0.9994798712436055,4.2984730573625285e-05,1.0002310247458186,6.99121582758977e-05,1.0002137326814358,0.0028591652397285117,1.0131624195677207,4.840995261212733e-05,1.0001220968916944,0.0008195672682096422,1.0030257053893972
5,0.05,0x1.999999999999ap-5,True,214b4bc01d7d139e123481b810a8edf4585e46176e59a92aafb3401ea6f0b1fb,a3cec85b0c21b315e80a5c38bc4a93a6f35e0ccc6a8fdf90e99a636f7bc51cca,83fe5237c8922a635559e04815a06fb1513589a4dc248d26e00dd1cb4af099bb,cbca629f35cf2cd85470e7fbd9c6f5524410c11118dcb4030cbe62fdc9977c13,1.3437600551371918,2.284105882128772,0.15115607243648238,0.09278032368435375,1.3437600551371918,2.2841058821287725,0.1511918014306966,0.09282689978493068,0.023346984,1.5280657121911645,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,3.57289942142236e-05,4.440892098500626e-16,4.657610057692829e-05,1.2142984945840025,1.5185460892717926,0.30424759468779006,1.1914574153220059,1.5187075814482904,0.32725016612628455,1.0993097056396248,1.5187075814482904,0.4193978758086656,2.147313247925057,2.3538216611420713,0.2065084132170143,2.1473048928127283,2.3863490950747446,0.23904420226201628,2.1473048928127283,2.4610649331786534,0.3137600403659251,1.2143718772275394,1.5185047966034984,0.304132919375959,1.1914149987604745,1.5187820879850644,0.3273670892245899,1.0993087672378825,1.5187820879850644,0.4194733207471819,2.1478917111844877,2.3547888217292194,0.2068971105447317,2.1461732022843782,2.3890264094496745,0.24285320716529624,2.1461732022843782,2.4610759300639784,0.31490272777960016,9.841840841409977e-05,7.993471882263215e-05,9.8999997e-05,7.867639381040802e-05,-0.00011467531183106949,0.9996230855598095,0.0003886973277174022,1.001882234828413,0.00011692309830535486,1.000357289653018,0.0038090049032799556,1.0159343120110687,7.54449385163003e-05,1.0001798886996527,0.0011426874136750698,1.0036419150518416
6,0.06,0x1.eb851eb851eb8p-5,True,adc6e427dab284faa9a5075f045ed0a73a5fd314c5fc44fb0388f88539bce3bd,cd84b5c9e5bbad35e03af72b903e5f23e05b7a24b96511b5b2177297d4fb4ebf,721aef4835d48b23bc9fa547d4ef7a2a65ec2b7a03725f7cadd98d9902ad3ca4,df51e266b2a76365583a1d58c7f672f0d8070d3fba360222e9c3672c78204547,1.3664396422226905,2.2515868033084265,0.1511893974534213,0.1029979761238221,1.3664396422226905,2.251586803308427,0.15123373480251615,0.1030551434853655,0.028057425,1.8918485334143043,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,4.433734909484177e-05,4.440892098500626e-16,5.7167361543403183e-05,1.236511290526765,1.5410071059660422,0.3044958154392772,1.213995400315551,1.541175256658369,0.3271798563428179,1.0993097056396248,1.541175256658369,0.44186555101874414,2.1033608364573957,2.3298548169928086,0.22649398053541292,2.103351796763038,2.3637054268612756,0.2603536300982374,2.103351796763038,2.4610649331786534,0.3577131364156152,1.2365760365839311,1.5409961520247988,0.30442011544086767,1.21394259634305,1.5412818527467926,0.32733925640374273,1.0993087672378825,1.5412818527467926,0.4419730855089101,2.103913901390914,2.3310911362254263,0.22717723483451246,2.1018712760276133,2.3669753317628364,0.2651040557352231,2.1018712760276133,2.4610759300639784,0.35920465403636515,9.838740507753817e-05,7.927660124981706e-05,9.8999997e-05,7.811265959433293e-05,-7.569999840950636e-05,0.9997513923194632,0.0006832542990995449,1.0030166554426054,0.00015940006092485248,1.0004871939938682,0.004750425636985689,1.0182460510928664,0.0001075344901659836,1.0002433647291988,0.0014915176207499492,1.0041695914097406
7,0.07,0x1.1eb851eb851ecp-4,True,85b13ddec15687020627fd454e048b916b5fd55d1c20bbca26b99f21935a66a4,3ce84cd87807eea2ad0166009b3b50e21030e33234fce67dd9066639715ba614,d7ebb28d3472a5ff365037e305bb31880f46071d16300ba00d883812327fd157,9ad38de35ca8e4eae64cf012642f14bd45668958d3ad8b0fae87a741cd39c045,1.388787381741578,2.217745233134317,0.15111777217138597,0.11295701844661743,1.388787381741578,2.2177452331343175,0.1511730235939461,0.11302483418017764,0.032783104,2.3092861054465175,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,5.5251422560131935e-05,4.440892098500626e-16,6.781573356021142e-05,1.2584870000306463,1.563013563121163,0.30452656309051673,1.2363095238938313,1.563188099568322,0.32687857567449075,1.0993097056396248,1.563188099568322,0.46387839392869723,2.0584354666487275,2.3043870614224464,0.24595159477371897,2.0584257876290146,2.3395056216664076,0.281079834037393,2.0584257876290146,2.4610649331786534,0.40263914554963876,1.258540584132364,1.5630375245921246,0.3044969404597606,1.2362439025278373,1.5633312665069956,0.3270873639791583,1.0993087672378825,1.5633312665069956,0.4640224992691131,2.058957956378709,2.3058378457937305,0.24687988941502148,2.0565716331963566,2.343333050200331,0.2867614170039743,2.0565716331963566,2.4610759300639784,0.4045042968676218,9.835932745279848e-05,7.864127819364151e-05,9.8999997e-05,7.757513196634854e-05,-2.9622630756120927e-05,0.9999027256261145,0.0009282946413025073,1.0037742981181177,0.00020878830466752873,1.000638733524327,0.005681582966581278,1.0202134136945074,0.00014410534041586764,1.0003106532709907,0.0018651513179830381,1.004632314911748
8,0.08,0x1.47ae147ae147bp-4,True,506f527051c2866bbdd926ddb00c16c9f2c88525bb1c1c31615e0a3a107b5279,48bdec9d047de5a27f06586771d543f4ccd020c42eedad70c0a3faf3fd6e0050,b275468f549776252fde56faab2c32037850144eb7d3d7f5391742d52478941a,f2733e3394f4dfb4913c6a98e08bf369ca9a4923672928a7ff4a84c274426b17,1.4107903214312336,2.1826363519100687,0.15094156986297072,0.12262634665299037,1.4107903214312336,2.182636351910069,0.15101006248798343,0.1227046940766939,0.037770005,2.6775164622813463,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,6.849262501271158e-05,4.440892098500626e-16,7.834742370353698e-05,1.2802131748794479,1.5845537572522943,0.30434058237284645,1.258386786049299,1.5847343876409554,0.32634760159165643,1.0993097056396248,1.5847343876409554,0.4854246820013306,2.0126263352160594,2.2774474394421564,0.26482110422609706,2.0126160666868316,2.3137749604418936,0.301158893755062,2.0126160666868316,2.4610649331786534,0.4484488664918218,1.2802530536858385,1.584616617413383,0.3043635637275446,1.25830590816048,1.5849180044972537,0.3266120963367738,1.0993087672378825,1.5849180044972537,0.4856092372593712,2.0131134119532508,2.2790572429486327,0.2659438309953819,2.0103657475876973,2.3181221597846955,0.30775641219699823,2.0103657475876973,2.4610759300639784,0.45071018247628114,9.83343927954701e-05,7.803462376187923e-05,9.8999997e-05,7.706801034654078e-05,2.2981354698137224e-05,1.00007551196268,0.0011227267692848208,1.0042395668297126,0.0002644947451173607,1.0008104694008086,0.006597518441936234,1.0219071014628647,0.00018455525804061956,1.000380193395358,0.0022613159844593334,1.0050425280414899
9,0.09,0x1.70a3d70a3d70ap-4,True,85dbe24997dd81b6e702c291bd4ba87133f70f7719fb0c71ca4f671069cde187,d9153e4359601bf7c1cdc1169dc1937382c90b01eff1dadc48a9037cc0edd9a5,5d0dc23831f3e46ebf94ec50a5df64034ce13adfa60813fea7f1f1f923e5f8bc,ff01e66f6c11e5763d27c23f6e49824518adf014789e2f602ea796cf359efb8a,1.4324360798727216,2.1463190994395593,0.15066147660290347,0.131976562484443,1.4324360798727216,2.14631909943956,0.1507455409903169,0.1320651539500032,0.042762987,3.057629292830825,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,8.406438741342948e-05,4.440892098500626e-16,8.859146556020048e-05,1.3016776426098386,1.6056169238878648,0.30393928127802616,1.280214424931042,1.6058033388566575,0.3255889139256154,1.0993097056396248,1.6058033388566575,0.5064936332170327,1.9660240734267194,2.249069948486234,0.2830458750595146,1.9660132692574046,2.2865439818551745,0.3205307125977699,1.9660132692574046,2.4610649331786534,0.4950516639212488,1.3017012741952898,1.6057220522989917,0.30402077810370187,1.2801158613210006,1.606030662463277,0.32591480114227633,1.0993087672378825,1.606030662463277,0.5067218952253945,1.9664713368379376,2.2507829918906115,0.28431165505267386,1.9633467955324715,2.2913707623957054,0.3280239668632339,1.9633467955324715,2.4610759300639784,0.4977291345315069,9.83127814989316e-05,7.74584663817522e-05,9.8999997e-05,7.659584134741017e-05,8.14968256757087e-05,1.0002681352187615,0.001265779993159244,1.0044719959013466,0.0003258872166609361,1.0010009161943867,0.007493254265463989,1.023377648290656,0.00022826200836179034,1.0004506710319574,0.002677470610258137,1.0054084670457426
10,0.1,0x1.999999999999ap-4,True,8b3918883a31e40763bc5eddd62936cc3f6d55b26ac4ee7d2cad5243241cdc46,541b63c18b7b5c00491467ce6b37c4084cf018dbb708e54d95af4bd050083400,365bdd5c51558f4fab97accca48044e5f922bd64171cb734eb8826d01bfbf9c1,76ccc8ec90ea56db98a7dc8eb79561b6d5a252ec5e8d0bf7c2d5d6ea900f909d,1.4537128825827255,2.1088558702399327,0.15027848925704054,0.14098019266251646,1.4537128825827255,2.108855870239933,0.15038044126404934,0.1410785731951339,0.047583165000000004,3.4382127821445465,97988608,642621440,empirical_or_build_qualified_schedule_controlled,0.0,0.0001019520070087987,4.440892098500626e-16,9.83805326174314e-05,1.322868551303445,1.6261932533967238,0.3033247020932788,1.301779964684615,1.6263851276607182,0.3246051629761031,1.0993097056396248,1.6263851276607182,0.5270754220210934,1.918722272108689,2.219291364391159,0.3005690922824702,1.9187109896666623,2.257846331787455,0.33913534212079277,1.9187109896666623,2.4610649331786534,0.5423539435119911,1.3228734026670512,1.6263434026955181,0.3034700000284669,1.3016613031931343,1.6266587898145994,0.3249974866214651,1.0993087672378825,1.6266587898145994,0.5273500225767169,1.9191237934918897,2.221054011809142,0.30193021831725253,1.9156090925807145,2.2631123976745893,0.3475033050938747,1.9156090925807145,2.4610759300639784,0.5454668374832639,9.829463466011909e-05,7.691758606513636e-05,9.8999997e-05,7.616266673416577e-05,0.00014529793518813783,1.0004790178122172,0.001361126034782334,1.004528496341544,0.0003923236453620138,1.0012086180076898,0.008367962973081955,1.0246744055654968,0.0002746005556235609,1.000520989111142,0.00311289397127279,1.0057395986670907
