plant,tasks,steps_per_task,successful_lane_steps,h,order,cutoff,initial_remainder_radius,symbolic_remainder_capacity,flowstar_process_wall_s,flowstar_pre_summary_main_s,flowstar_reach_s,flowstar_setup_s,flowstar_postprocess_s,flowstar_completed_tasks,flowstar_native_status,flowstar_final_queue_size_min,flowstar_final_queue_size_max,single_process,sequential_tasks,cpu_core,candidate_route,candidate_fixed_runs,candidate_median_wall_s,baseline_route,baseline_fixed_runs,baseline_median_wall_s,candidate_wall_over_flowstar_wall,baseline_wall_over_flowstar_wall,exact_history_contract_supported,contract_gap
van_der_pol,32,20,640,0.01,4,1e-10,0.0001,100,0.70290774,0.698909804,0.683961898,6.836e-05,0.011548154,32,2,20,20,True,True,2,Gr,5,249.890460868,Gp,5,282.683342714,355.5096161951496,402.1627969468653,False,stock Flow* does not expose the Torch solver's accepted-boundary raw-remainder refinement/replay-491/stop-ratio-0.99/atomic-commit controls
brusselator,32,20,640,0.02,6,1e-10,0.0001,1000,8.024462868,8.02085588,7.951032380000001,7.8343e-05,0.063535478,32,2,20,20,True,True,2,Gr,5,355.176660497,Gp,5,410.321948376,44.26173643514204,51.13388336710788,False,stock Flow* does not expose the Torch solver's accepted-boundary raw-remainder refinement/replay-491/stop-ratio-0.99/atomic-commit controls
