plant,batch,parent_group,reason,ready_requests,ready_keys,selected_key,selected_key_ready_requests,unavailable_tasks,projected_packet_requests,projected_packet_keys,parent_selected_requests,other_key_ready_requests,projected_device_submissions_saved,projected_kernel_launches_saved,projected_h2d_copy_operations_saved,projected_d2h_copy_operations_saved,projected_hot_device_allocations_saved,classification
van_der_pol,8,30,all_waiting,5,3,b58d7bf7bf510ee8c7985a448cfbd7c2a06e45037f6fb6e81bfe7c2926a2fb54,2,3,5,3,2,3,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,31,all_waiting,7,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,2,1,7,3,2,5,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,32,all_waiting,5,2,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,2,3,5,2,2,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,33,all_waiting,3,1,b58d7bf7bf510ee8c7985a448cfbd7c2a06e45037f6fb6e81bfe7c2926a2fb54,3,5,3,1,3,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,34,all_waiting,8,3,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,4,0,8,3,4,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,35,all_waiting,6,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,5,2,6,2,5,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,36,all_waiting,7,2,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,1,1,7,2,1,6,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,37,all_waiting,6,1,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,6,2,6,1,6,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,38,all_waiting,6,2,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,1,2,6,2,1,5,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,39,all_waiting,5,1,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,5,3,5,1,5,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,40,all_waiting,8,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,6,0,8,3,6,2,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,41,all_waiting,7,3,01119be2a5a8aa018ac89bac003bcf029f0aa860e85121d357a46689de5e9d49,3,1,7,3,3,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,42,all_waiting,7,3,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,1,1,7,3,1,6,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,43,all_waiting,7,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,4,1,7,2,4,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,44,all_waiting,8,3,749ee35038165998023b9f8158cfc0ffc7b230564767d056c77b47f4dc1d430e,3,0,8,3,3,5,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,45,all_waiting,8,3,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,1,0,8,3,1,7,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,46,all_waiting,7,2,01119be2a5a8aa018ac89bac003bcf029f0aa860e85121d357a46689de5e9d49,4,1,7,2,4,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,47,all_waiting,5,3,4cff3a8f1bc9931e161dbc1029442ac9c773b201139e1322b0bcb9994bcc277f,3,3,5,3,3,2,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,48,all_waiting,6,3,b58d7bf7bf510ee8c7985a448cfbd7c2a06e45037f6fb6e81bfe7c2926a2fb54,1,2,6,3,1,5,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,49,all_waiting,5,2,749ee35038165998023b9f8158cfc0ffc7b230564767d056c77b47f4dc1d430e,4,3,5,2,4,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,50,all_waiting,6,3,1c00a6a30aa66dffa62835a6d53b46125a99abdffcc94e1a9c73833191fb587e,3,2,6,3,3,3,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,51,all_waiting,3,2,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,1,5,3,2,1,2,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,52,all_waiting,2,1,4cff3a8f1bc9931e161dbc1029442ac9c773b201139e1322b0bcb9994bcc277f,2,6,2,1,2,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,53,all_waiting,7,4,4cff3a8f1bc9931e161dbc1029442ac9c773b201139e1322b0bcb9994bcc277f,2,1,7,4,2,5,3,12,30,14,64,KEY_SPLIT
van_der_pol,8,54,all_waiting,8,3,3565f73bfae685639dd067ff5919256639e7fcd30b1c568b544e14ebb44f5908,3,0,8,3,3,5,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,55,all_waiting,7,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,1,1,7,2,1,6,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,56,all_waiting,7,1,1c00a6a30aa66dffa62835a6d53b46125a99abdffcc94e1a9c73833191fb587e,7,1,7,1,7,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,57,all_waiting,8,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,1,0,8,3,1,7,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,58,all_waiting,7,2,3565f73bfae685639dd067ff5919256639e7fcd30b1c568b544e14ebb44f5908,4,1,7,2,4,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,59,all_waiting,6,3,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,3,2,6,3,3,3,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,60,all_waiting,6,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,1,2,6,3,1,5,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,61,all_waiting,5,2,1c00a6a30aa66dffa62835a6d53b46125a99abdffcc94e1a9c73833191fb587e,4,3,5,2,4,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,62,all_waiting,4,2,ce4562fa6225f525125bfce68ade44d43f2663123b4c2ab08e35c97e5228f07a,3,4,4,2,3,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,63,all_waiting,1,1,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,1,7,1,1,1,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,64,all_waiting,7,1,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,7,1,7,1,7,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,65,all_waiting,5,2,01119be2a5a8aa018ac89bac003bcf029f0aa860e85121d357a46689de5e9d49,1,3,5,2,1,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,66,all_waiting,8,2,ce4562fa6225f525125bfce68ade44d43f2663123b4c2ab08e35c97e5228f07a,7,0,8,2,7,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,67,all_waiting,3,3,749ee35038165998023b9f8158cfc0ffc7b230564767d056c77b47f4dc1d430e,1,5,3,3,1,2,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,68,all_waiting,7,2,7e918f7d0e490c37895de65cb287641548f8da18596c1a12513085bb744c6142,3,1,7,2,3,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,69,all_waiting,7,3,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,4,1,7,3,4,3,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,70,all_waiting,8,3,4cff3a8f1bc9931e161dbc1029442ac9c773b201139e1322b0bcb9994bcc277f,1,0,8,3,1,7,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,71,all_waiting,7,2,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,3,1,7,2,3,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,72,all_waiting,7,3,ce4562fa6225f525125bfce68ade44d43f2663123b4c2ab08e35c97e5228f07a,4,1,7,3,4,3,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,73,all_waiting,7,3,1c00a6a30aa66dffa62835a6d53b46125a99abdffcc94e1a9c73833191fb587e,1,1,7,3,1,6,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,74,all_waiting,6,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,3,2,6,2,3,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,75,all_waiting,7,3,7e918f7d0e490c37895de65cb287641548f8da18596c1a12513085bb744c6142,4,1,7,3,4,3,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,76,all_waiting,6,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,3,2,6,3,3,3,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,77,all_waiting,6,3,3565f73bfae685639dd067ff5919256639e7fcd30b1c568b544e14ebb44f5908,1,2,6,3,1,5,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,78,all_waiting,5,2,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,4,3,5,2,4,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,79,all_waiting,4,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,3,4,4,2,3,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,80,all_waiting,8,2,1c00a6a30aa66dffa62835a6d53b46125a99abdffcc94e1a9c73833191fb587e,1,0,8,2,1,7,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,81,all_waiting,7,1,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,7,1,7,1,7,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,82,all_waiting,8,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,4,0,8,3,4,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,83,all_waiting,4,2,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,1,4,4,2,1,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,84,all_waiting,3,1,01119be2a5a8aa018ac89bac003bcf029f0aa860e85121d357a46689de5e9d49,3,5,3,1,3,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,85,all_waiting,7,3,ce4562fa6225f525125bfce68ade44d43f2663123b4c2ab08e35c97e5228f07a,1,1,7,3,1,6,2,8,22,10,48,KEY_SPLIT
