plant,step,category,operation,seconds,calls
brusselator,982,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,0.006618340965360403,1
brusselator,982,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.17126281140372157,1
brusselator,982,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0035177860409021378,1
brusselator,982,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.0001515229232609272,14
brusselator,982,E,Polynomial.mul_truncate,0.005067421123385429,14
brusselator,982,E,Polynomial.cutoff,0.0038838936015963554,20
brusselator,982,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.008129749912768602,12
brusselator,982,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.03396934363991022,22
brusselator,982,E,Polynomial.__add__,0.0010646083392202854,18
brusselator,982,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.00033269356936216354,6
brusselator,982,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.006964816711843014,2
brusselator,982,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.002611699979752302,1
brusselator,982,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.04041012888774276,6
brusselator,982,E,torch_tm_flowpipe.accepted_boundary_sr._linear_polynomial_image,0.029350177850574255,1
brusselator,982,E,torch_tm_flowpipe.accepted_boundary_sr._add_polynomial_images,0.009998441208153963,1
brusselator,982,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0010092798620462418,1
brusselator,982,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.138952168636024,2
brusselator,982,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,0.00011465651914477348,1
brusselator,982,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0018984233029186726,1
brusselator,982,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.012074521742761135,1
brusselator,982,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.0008098357357084751,1
brusselator,982,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.00018623750656843185,1
brusselator,982,E,Polynomial.__mul__,6.042281165719032e-05,2
brusselator,982,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.0002881484106183052,1
