comparison_id,category,metric,new_source,old_source,case_id,system,mode,h,steps,order,setting_label,new_value,old_value,abs_diff,rel_diff,tolerance,pass_fail,note
torch_diagnostics:torch_range_only_h0p01_s10_o2:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o2,van_der_pol,range_only,0.01,10,2,,1.1214909853270234,1.1214909853270234,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o2:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o2,van_der_pol,range_only,0.01,10,2,,9.8813129168249309e-324,1e-323,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o2:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o2,van_der_pol,range_only,0.01,10,2,,1.1214909853270223,1.1214909853270223,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o2:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o2,van_der_pol,range_only,0.01,10,2,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o2:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_range_only_h0p01_s10_o2,van_der_pol,range_only,0.01,10,2,,2,2,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o2:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o2,van_der_pol,dependency_preserving,0.01,10,2,,1.1085361417386759,1.1085361417386759,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o2:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o2,van_der_pol,dependency_preserving,0.01,10,2,,0.65813519417406974,0.6581351941740697,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o2:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o2,van_der_pol,dependency_preserving,0.01,10,2,,0.4504009475646048,0.4504009475646048,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o2:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o2,van_der_pol,dependency_preserving,0.01,10,2,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o2:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_dependency_preserving_h0p01_s10_o2,van_der_pol,dependency_preserving,0.01,10,2,,4,4,0,0,1e-10,pass,runtime intentionally excluded
