case_id,system,mode,h,steps,horizon,requested_order,status,endpoint_box_available,endpoint_width_x,endpoint_width_y,endpoint_width_sum,last_segment_width_x,last_segment_width_y,last_segment_width_sum,tube_width_x,tube_width_y,tube_width_sum,runtime_s,num_segments,max_final_degree,degree_by_dim,term_count_total,remainder_width_x,remainder_width_y,remainder_width_sum,poly_range_width_x,poly_range_width_y,poly_range_width_sum,validation_attempts,containment_failures,box_source
torch_range_only_h0p0025_s10_o8,van_der_pol,range_only,0.0025000000000000001,10,0.025000000000000001,8,validated,true,0.30324499900730145,0.16210565284326831,0.46535065185056979,0.30891233817632746,0.17819780268608509,0.48711014086241256,0.36078045634084499,0.21451487541413439,0.57529533175497938,16.882907756604254,10,1,"[1, 1]",2,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.30324499900730101,0.16210565284326742,0.46535065185056845,30,0,torch_tm_segment_range_and_final_time_tm
torch_dependency_preserving_h0p0025_s10_o8,van_der_pol,dependency_preserving,0.0025000000000000001,10,0.025000000000000001,8,validated,true,0.30309250322709153,0.16438960777328851,0.46748211100038006,0.30939478171012302,0.18163588048846968,0.4910306621985927,0.36095816534889669,0.215951584814841,0.57690975016373769,56.483952523209155,10,7,"[7, 7]",40,1.7898405160568889e-07,1.0130347335249266e-05,1.0309331386854956e-05,0.3030923242430395,0.16437947742595241,0.46747180166899194,25,0,torch_tm_segment_range_and_final_time_tm
torch_range_only_h0p01_s10_o2,van_der_pol,range_only,0.01,10,0.10000000000000001,2,validated,true,0.34759515967585558,0.77389582565116777,1.1214909853270234,0.36656156406289075,0.84512439958141994,1.2116859636443107,0.55412288974613699,0.84512439958141994,1.3992472893275569,0.50239230319857597,10,1,"[1, 1]",2,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.34759515967585514,0.7738958256511671,1.1214909853270223,30,0,torch_tm_segment_range_and_final_time_tm
torch_dependency_preserving_h0p01_s10_o2,van_der_pol,dependency_preserving,0.01,10,0.10000000000000001,2,validated,true,0.35049845020614528,0.75803769153253053,1.1085361417386759,0.38546651263791354,0.945018799802545,1.3304853124404585,0.56122033530862359,0.945018799802545,1.5062391351111686,0.65762354712933302,10,1,"[1, 1]",4,0.041434655103024451,0.61670053907104527,0.65813519417406974,0.30906379510312038,0.1413371524614844,0.4504009475646048,24,0,torch_tm_segment_range_and_final_time_tm
torch_range_only_h0p01_s10_o3,van_der_pol,range_only,0.01,10,0.10000000000000001,3,validated,true,0.33250743096869823,0.4303256629047621,0.76283309387346032,0.35175400841014826,0.52756087680999197,0.87931488522014023,0.54056202972253309,0.67985466557535323,1.2204166952978863,0.96258467808365822,10,1,"[1, 1]",2,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.33250743096869778,0.43032566290476143,0.76283309387345921,30,0,torch_tm_segment_range_and_final_time_tm
torch_dependency_preserving_h0p01_s10_o3,van_der_pol,dependency_preserving,0.01,10,0.10000000000000001,3,validated,true,0.34333164869675642,0.46527553954897743,0.80860718824573385,0.37789162762351425,0.6328043807411099,1.0106960083646241,0.55641185818103511,0.72240498207687098,1.2788168402579061,1.353156522847712,10,1,"[1, 1]",4,0.034381534354301468,0.32379366728598702,0.35817520164028849,0.30895011434245451,0.14148187226298961,0.45043198660544415,24,0,torch_tm_segment_range_and_final_time_tm
torch_range_only_h0p01_s10_o4,van_der_pol,range_only,0.01,10,0.10000000000000001,4,validated,true,0.3241815257952057,0.40597647483543758,0.73015800063064329,0.34374573704240663,0.47185863746717716,0.81560437450958378,0.53697215012676591,0.63581369365060358,1.1727858437773695,1.5751955909654498,10,1,"[1, 1]",2,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.32418152579520526,0.40597647483543692,0.73015800063064218,20,0,torch_tm_segment_range_and_final_time_tm
torch_dependency_preserving_h0p01_s10_o4,van_der_pol,dependency_preserving,0.01,10,0.10000000000000001,4,validated,true,0.32464409113551068,0.47708001103688585,0.80172410217239654,0.35653851076028964,0.58519903966930298,0.94173755042959262,0.54228658478017699,0.6918594022932878,1.2341459870734648,4.3362210877239704,10,3,"[3, 3]",12,0.0056487413281710239,0.092973572322442258,0.098622313650613275,0.31899534980733907,0.38410643871444311,0.70310178852178218,20,0,torch_tm_segment_range_and_final_time_tm
torch_range_only_h0p01_s10_o5,van_der_pol,range_only,0.01,10,0.10000000000000001,5,validated,true,0.32403094014358708,0.40548397957387478,0.72951491971746185,0.34356907558850369,0.47156693316845644,0.81513600875696013,0.5368965301827251,0.6356017158234688,1.1724982460061939,3.349589454010129,10,1,"[1, 1]",2,4.9406564584124654e-324,4.9406564584124654e-324,9.8813129168249309e-324,0.32403094014358663,0.40548397957387411,0.72951491971746074,30,0,torch_tm_segment_range_and_final_time_tm
torch_dependency_preserving_h0p01_s10_o5,van_der_pol,dependency_preserving,0.01,10,0.10000000000000001,5,validated,true,0.32419392610328385,0.4590065391477563,0.78320046525104015,0.35585545698308674,0.56900202340299066,0.9248574803860774,0.5420994448308154,0.67815018229423152,1.2202496271250469,8.0930310115218163,10,3,"[3, 3]",12,0.0037464792457915699,0.069415266733740114,0.073161745979531678,0.32044744685749188,0.38959127241401564,0.71003871927150752,26,0,torch_tm_segment_range_and_final_time_tm
