plant,step,view,range_kind,state,t_start_exact,t_end_exact,t_start,t_end,duration,old_lo,old_hi,old_width,old_role,repaired_lo,repaired_hi,repaired_width,repaired_role,flowstar_lo,flowstar_hi,flowstar_width,flowstar_role,repaired_vs_old,repaired_vs_old_absolute_width_difference,repaired_vs_old_lower_shift,repaired_vs_old_upper_shift,repaired_vs_old_center_shift,repaired_vs_flowstar,repaired_vs_flowstar_absolute_width_difference,repaired_vs_flowstar_lower_shift,repaired_vs_flowstar_upper_shift,repaired_vs_flowstar_center_shift,engineering_width_alert
van_der_pol,1,published,endpoint,x,0,5764607523034235/576460752303423488,0.0,0.01,0.01,1.123417828780056,1.4243144325118005,0.3008966037317444,OLD_UNREPAIRED_ARCHIVE,1.1234178287800551,1.4243144325118016,0.3008966037317464,FRESH_ENDPOINT_REPAIRED,1.1233097168381618,1.4244225133934678,0.301112796555306,REUSED_MATCHED_REFERENCE,1.0000000000000067,1.9984014443252818e-15,-8.881784197001252e-16,1.1102230246251565e-15,0.0,0.9992820204719535,-0.00021619282355955782,0.00010811194189330742,-0.0001080808816662504,1.553011341748345e-08,False
van_der_pol,1,published,endpoint,y,0,5764607523034235/576460752303423488,0.0,0.01,0.01,2.3123280567849664,2.4336373987696835,0.1213093419847171,OLD_UNREPAIRED_ARCHIVE,2.3123280567849647,2.4336373987696858,0.1213093419847211,FRESH_ENDPOINT_REPAIRED,2.311664146192274,2.4342982033451133,0.12263405715283948,REUSED_MATCHED_REFERENCE,1.0000000000000329,3.9968028886505635e-15,-1.7763568394002505e-15,2.220446049250313e-15,0.0,0.9891978199296841,-0.0013247151681183844,0.0006639105926908861,-0.0006608045754274983,1.5530086314718972e-06,False
van_der_pol,1,published,tube,x,0,5764607523034235/576460752303423488,0.0,0.01,0.01,1.099309738103765,1.4245550667800313,0.3252453286762662,OLD_UNREPAIRED_ARCHIVE,1.099309738103765,1.4245550667800313,0.3252453286762662,FRESH_ENDPOINT_REPAIRED,1.0993097041801023,1.4245550696434677,0.32524536546336535,REUSED_MATCHED_REFERENCE,1.0,0.0,0.0,0.0,1.1102230246251565e-16,0.9999998868943172,-3.678709914467504e-08,3.3923662767776364e-08,-2.863436376898676e-09,1.5530113306461146e-08,False
van_der_pol,1,published,tube,y,0,5764607523034235/576460752303423488,0.0,0.01,0.01,2.3116622683089743,2.4610647926212508,0.14940252431227652,OLD_UNREPAIRED_ARCHIVE,2.3116622683089743,2.4610647926212508,0.14940252431227652,FRESH_ENDPOINT_REPAIRED,2.3116588765678494,2.4610650783451127,0.14940620177726327,REUSED_MATCHED_REFERENCE,1.0,0.0,0.0,0.0,0.0,0.9999753861289357,-3.6774649867510334e-06,3.391741124847414e-06,-2.8572386190361954e-07,1.5530086314718972e-06,False
van_der_pol,1,common,endpoint,x,0,5764607523034235/576460752303423488,0.0,0.01,0.01,1.1234178287800574,1.4243144325117991,0.30089660373174176,OLD_UNREPAIRED_ARCHIVE,1.1234178287800565,1.4243144325118002,0.30089660373174376,FRESH_ENDPOINT_REPAIRED,1.1233097168381632,1.4244225133934671,0.301112796555304,REUSED_MATCHED_REFERENCE,1.0000000000000067,1.9984014443252818e-15,-8.881784197001252e-16,1.1102230246251565e-15,0.0,0.9992820204719512,-0.00021619282356022396,0.00010811194189330742,-0.00010808088166691654,1.553011308441654e-08,False
van_der_pol,1,common,endpoint,y,0,5764607523034235/576460752303423488,0.0,0.01,0.01,2.3123280567849696,2.4336373987696804,0.12130934198471088,OLD_UNREPAIRED_ARCHIVE,2.312328056784968,2.433637398769682,0.12130934198471444,FRESH_ENDPOINT_REPAIRED,2.3116641461922764,2.4342982033451106,0.12263405715283415,REUSED_MATCHED_REFERENCE,1.0000000000000293,3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.9891978199296727,-0.0013247151681197167,0.0006639105926913302,-0.0006608045754283864,1.5530086314718972e-06,False
van_der_pol,1,common,tube,x,0,5764607523034235/576460752303423488,0.0,0.01,0.01,1.0993097381037682,1.4245550667800282,0.32524532867626,OLD_UNREPAIRED_ARCHIVE,1.0993097381037682,1.4245550667800282,0.32524532867626,FRESH_ENDPOINT_REPAIRED,1.0993097041801032,1.424555069643467,0.3252453654633638,REUSED_MATCHED_REFERENCE,1.0,0.0,0.0,0.0,1.1102230246251565e-16,0.9999998868943029,-3.678710380761174e-08,3.392366498822241e-08,-2.86343881938933e-09,1.5530113195438844e-08,False
van_der_pol,1,common,tube,y,0,5764607523034235/576460752303423488,0.0,0.01,0.01,2.3116622683089822,2.461064792621243,0.14940252431226053,OLD_UNREPAIRED_ARCHIVE,2.3116622683089822,2.461064792621243,0.14940252431226053,FRESH_ENDPOINT_REPAIRED,2.311658876567852,2.4610650783451105,0.14940620177725839,REUSED_MATCHED_REFERENCE,1.0,0.0,0.0,0.0,0.0,0.9999753861288614,-3.6774649978532636e-06,3.3917411301764844e-06,-2.8572386767677926e-07,1.5530086312498526e-06,False
van_der_pol,2,published,endpoint,x,5764607523034235/576460752303423488,5764607523034235/288230376151711744,0.01,0.02,0.01,1.146452178243364,1.4484647162429074,0.3020125379995433,OLD_UNREPAIRED_ARCHIVE,1.1464521782433623,1.4484647162429092,0.30201253799954686,FRESH_ENDPOINT_REPAIRED,1.1463431119514687,1.448566155279405,0.30222304332793626,REUSED_MATCHED_REFERENCE,1.0000000000000118,3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15,-1.1102230246251565e-16,0.999303476908738,-0.00021050532838939873,0.0001090662918936669,-0.00010143903649573183,3.8136276988565143e-06,False
van_der_pol,2,published,endpoint,y,5764607523034235/576460752303423488,5764607523034235/288230376151711744,0.01,0.02,0.01,2.2731231696448533,2.4163219141759074,0.14319874453105408,OLD_UNREPAIRED_ARCHIVE,2.2731231696448493,2.416321914175911,0.14319874453106163,FRESH_ENDPOINT_REPAIRED,2.2724658503975563,2.4165088027896844,0.14404295239212805,REUSED_MATCHED_REFERENCE,1.0000000000000526,7.549516567451064e-15,-3.9968028886505635e-15,3.552713678800501e-15,-2.220446049250313e-16,0.9941391935735374,-0.0008442078610664261,0.0006573192472929534,-0.00018688861377347266,0.0002352153167597404,False
