run,component,first_nonzero_step,first_nonzero_time_exact,max_abs_error,max_at_step,max_at_time_exact
vdp_full,x,1,5764607523034235/576460752303423488,1.7804769143619964e-15,722,2081023315815358835/288230376151711744
vdp_full,y,1,5764607523034235/576460752303423488,2.3073473944738708e-15,670,1931143520216468725/288230376151711744
brusselator_full,x,1,5764607523034235/288230376151711744,3.201418794441614e-15,715,4121694378969478025/288230376151711744
brusselator_full,y,1,5764607523034235/288230376151711744,6.222240724824846e-15,687,3960285368324519445/288230376151711744
vdp_adaptive,x,1,3602879701896397/144115188075855872,1.7867668875568976e-15,184,4176139316292049753/576460752303423488
vdp_adaptive,y,1,3602879701896397/144115188075855872,2.3092218783861446e-15,89,246130389372148719/72057594037927936
