plant,batch,route,groups,requests,mean_size,p50_size,p95_size,max_size,singleton_group_fraction,singleton_request_fraction,wait_p50_s,wait_p95_s,wait_max_s
brusselator,1,G,882,882,1.0,1.0,1.0,1,1.0,1.0,2.0274999999999998e-05,3.16597e-05,6.1205e-05
brusselator,1,L,0,0,,,,,,,,,
brusselator,1,Q,882,882,1.0,1.0,1.0,1,1.0,1.0,2.027e-05,3.152709999999999e-05,6.6856e-05
brusselator,1,S,882,882,1.0,1.0,1.0,1,1.0,1.0,,,
brusselator,8,G,44437,80055,1.8015392578256857,1.0,4.0,8,0.5734185476067242,0.31829367309974393,0.005335772,0.022653740800000002,0.125507036
brusselator,8,L,0,0,,,,,,,,,
brusselator,8,Q,48402,80055,1.6539605801413164,1.0,4.0,8,0.639105822073468,0.3864093435762913,0.012686754,0.03222779530000001,0.145838619
brusselator,8,S,80055,80055,1.0,1.0,1.0,1,1.0,1.0,,,
brusselator,32,G,88037,320757,3.6434340107000467,2.0,11.0,31,0.3367902132058112,0.09243757735606706,0.027166834,0.12101034560000017,1.14517278
brusselator,32,L,0,0,,,,,,,,,
brusselator,32,Q,82990,320757,3.8650078322689483,2.0,13.0,31,0.34999397517773223,0.09055453193539034,0.047992464,0.21252131080000003,0.963888637
brusselator,32,S,320757,320757,1.0,1.0,1.0,1,1.0,1.0,,,
van_der_pol,1,G,645,645,1.0,1.0,1.0,1,1.0,1.0,2.0189e-05,3.21014e-05,0.000307202
van_der_pol,1,L,0,0,,,,,,,,,
van_der_pol,1,Q,645,645,1.0,1.0,1.0,1,1.0,1.0,2.012e-05,3.143619999999999e-05,7.5123e-05
van_der_pol,1,S,645,645,1.0,1.0,1.0,1,1.0,1.0,,,
van_der_pol,8,G,32631,53025,1.6249885078606234,1.0,4.0,8,0.6259998161257699,0.3852333804809052,0.006814117,0.024500446199999998,0.116609672
van_der_pol,8,L,0,0,,,,,,,,,
van_der_pol,8,Q,35219,53025,1.5055793747693007,1.0,3.0,8,0.6921831965700332,0.4597454031117397,0.016846356,0.036076127799999996,0.124515932
van_der_pol,8,S,53025,53025,1.0,1.0,1.0,1,1.0,1.0,,,
van_der_pol,32,G,78031,212112,2.718304263690072,2.0,8.0,25,0.425382219886968,0.1564880817681225,0.035309594,0.13837766279999986,0.580557495
van_der_pol,32,L,0,0,,,,,,,,,
van_der_pol,32,Q,63279,212112,3.3520125160005687,2.0,10.0,27,0.33657295469271004,0.10040921777174323,0.060477497500000005,0.24087531119999986,0.796623588
van_der_pol,32,S,212112,212112,1.0,1.0,1.0,1,1.0,1.0,,,
