run_id,plant,route,batch,group_size,groups,requests
formal-b1-rep0-van_der_pol-S,van_der_pol,S,1,1,215,215
formal-b1-rep0-van_der_pol-Q,van_der_pol,Q,1,1,215,215
formal-b1-rep0-van_der_pol-G,van_der_pol,G,1,1,215,215
formal-b1-rep0-brusselator-S,brusselator,S,1,1,294,294
formal-b1-rep0-brusselator-Q,brusselator,Q,1,1,294,294
formal-b1-rep0-brusselator-G,brusselator,G,1,1,294,294
formal-b1-rep1-van_der_pol-G,van_der_pol,G,1,1,215,215
formal-b1-rep1-van_der_pol-Q,van_der_pol,Q,1,1,215,215
formal-b1-rep1-van_der_pol-S,van_der_pol,S,1,1,215,215
formal-b1-rep1-brusselator-G,brusselator,G,1,1,294,294
formal-b1-rep1-brusselator-Q,brusselator,Q,1,1,294,294
formal-b1-rep1-brusselator-S,brusselator,S,1,1,294,294
formal-b1-rep2-van_der_pol-Q,van_der_pol,Q,1,1,215,215
formal-b1-rep2-van_der_pol-S,van_der_pol,S,1,1,215,215
formal-b1-rep2-van_der_pol-G,van_der_pol,G,1,1,215,215
formal-b1-rep2-brusselator-Q,brusselator,Q,1,1,294,294
formal-b1-rep2-brusselator-S,brusselator,S,1,1,294,294
formal-b1-rep2-brusselator-G,brusselator,G,1,1,294,294
formal-b8-rep0-van_der_pol-S,van_der_pol,S,8,1,17675,17675
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,1,7477,7477
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,2,2195,4390
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,3,848,2544
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,4,303,1212
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,5,139,695
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,6,155,930
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,7,53,371
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,8,7,56
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,1,6883,6883
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,2,2315,4630
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,3,1163,3489
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,4,355,1420
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,5,140,700
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,6,55,330
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,7,25,175
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,8,6,48
formal-b8-rep0-brusselator-S,brusselator,S,8,1,26685,26685
formal-b8-rep0-brusselator-Q,brusselator,Q,8,1,10300,10300
formal-b8-rep0-brusselator-Q,brusselator,Q,8,2,2936,5872
formal-b8-rep0-brusselator-Q,brusselator,Q,8,3,1302,3906
