plant,batch,repetition,S_over_G,Q_over_G,min_SQ_over_G,L_over_G,Q_over_S
van_der_pol,1,0,1.0555728263886497,1.0995713726654166,1.0555728263886497,0.9034756641202867,1.041682151318063
van_der_pol,1,1,1.0993919993061427,1.1221454930771422,1.0993919993061427,0.9208951972208823,1.0206964338337552
van_der_pol,1,2,1.0914930173659623,1.1358502267651256,1.0914930173659623,0.9264793932997012,1.040639022598796
van_der_pol,8,0,1.291852415674803,1.223081637233579,1.223081637233579,1.040012345157078,0.9467657623991814
van_der_pol,8,1,1.270768839427472,1.2384043592377016,1.2384043592377016,1.0364950957516355,0.9745315755426046
van_der_pol,8,2,1.2401308040687429,1.2147099146022955,1.2147099146022955,1.0110073754205884,0.9795014450225379
van_der_pol,32,0,1.2504231885520571,1.1055661911342973,1.1055661911342973,1.3692341686582106,0.884153621954581
van_der_pol,32,1,1.3270301243929516,1.1567793847521426,1.1567793847521426,1.4197596920109352,0.8717054447285513
van_der_pol,32,2,1.3468149004963692,1.0340969357669554,1.0340969357669554,1.2746469630113957,0.7678092478675717
brusselator,1,0,1.0609622001304946,1.1227387813156682,1.0609622001304946,0.8895441701227155,1.0582269388839445
brusselator,1,1,1.0763588996028324,1.1029293694546038,1.0763588996028324,0.8896812207531964,1.0246855113676079
brusselator,1,2,1.07681021348815,1.1031966229214945,1.07681021348815,0.8919582947073379,1.0245042339892654
brusselator,8,0,1.2554619617911023,1.17774946171291,1.17774946171291,1.0189936073774921,0.9381004742132338
brusselator,8,1,1.2567335702391222,1.2178849433903214,1.2178849433903214,1.0279579758922885,0.9690876190715515
brusselator,8,2,1.270030530022494,1.213447217114255,1.213447217114255,1.0308681687597137,0.9554472813285544
brusselator,32,0,1.3539528247756463,1.1676667467232278,1.1676667467232278,1.24403712685228,0.862413169319037
brusselator,32,1,1.3126787523912637,1.1133187386778973,1.1133187386778973,1.237026633884074,0.8481273401049579
brusselator,32,2,1.1757085103839382,0.9747467670073932,0.9747467670073932,0.9306902500909168,0.829071796621665
