run_id,plant,route,batch,steps,successful_tasks,accepted_lane_steps,successful_lane_steps,requests,gpu_completed_requests,cpu_table_fallback,cpu_hardware_fallback,groups,mean_group_size,median_group_size,max_group_size,singleton_request_fraction,wait_p50_s,wait_p95_s,wait_max_s,wall_s,cpu_s,throughput,peak_rss_kib,peak_gpu_allocated_bytes,evaluated_range_service_s,evaluated_range_thread_cpu_s,gpu_h2d_s,gpu_kernel_sync_s,gpu_d2h_checks_s,cold_cuda_startup_s,measured_online
formal-b1-rep0-van_der_pol-S,van_der_pol,S,1,2,1,2,2,215,0,0,0,215,1,1,1,1.0,,,,1.026252788,1.025363531,1.9488375801615847,449272,0,0.27438701,0.2743153449999998,0.0,0.0,0.0,0.0,False
formal-b1-rep0-van_der_pol-Q,van_der_pol,Q,1,2,1,2,2,215,0,0,0,215,1,1,1,1.0,1.9973e-05,3.1488399999999995e-05,7.2218e-05,1.069029212,1.068479282,1.870856266180311,449836,0,0.28016908299999993,0.280118651,0.0,0.0,0.0,0.0,True
formal-b1-rep0-van_der_pol-G,van_der_pol,G,1,2,1,2,2,215,215,0,0,215,1,1,1,1.0,2.0292e-05,3.22056e-05,0.000307202,0.972223576,0.970241378,2.0571399926635805,641024,8192,0.17528584399999994,0.17469221299999999,0.0447758580558002,0.04065150395035744,0.029255371540784836,0.395799494,True
formal-b1-rep0-brusselator-S,brusselator,S,1,2,1,2,2,294,0,0,0,294,1,1.0,1,1.0,,,,1.542219473,1.540944559,1.2968322829626209,448500,0,0.3929495769999999,0.39288230599999985,0.0,0.0,0.0,0.0,False
formal-b1-rep0-brusselator-Q,brusselator,Q,1,2,1,2,2,294,0,0,0,294,1,1.0,1,1.0,2.0439e-05,3.1696099999999996e-05,6.6856e-05,1.632018192,1.63085449,1.225476535619402,448876,0,0.40257694300000024,0.4025494129999999,0.0,0.0,0.0,0.0,True
formal-b1-rep0-brusselator-G,brusselator,G,1,2,1,2,2,294,294,0,0,294,1,1.0,1,1.0,2.0647500000000002e-05,3.223975e-05,5.4974e-05,1.453604542,1.451484947,1.3758900321322742,639608,8192,0.23799894299999994,0.2377805700000001,0.06053700344637036,0.054748641327023506,0.04018709668889642,0.397575993,True
formal-b1-rep1-van_der_pol-G,van_der_pol,G,1,2,1,2,2,215,215,0,0,215,1,1,1,1.0,2.0336e-05,3.2254e-05,5.2314e-05,0.953833122,0.953337616,2.0968028409481043,640452,8192,0.16877933299999992,0.16875175599999995,0.04274766566231847,0.039202024694532156,0.02859445009380579,0.394208521,True
formal-b1-rep1-van_der_pol-Q,van_der_pol,Q,1,2,1,2,2,215,0,0,0,215,1,1,1,1.0,2.0108e-05,3.051159999999999e-05,7.306e-05,1.070339539,1.069641968,1.8685659336368776,450024,0,0.2803748220000001,0.28028659300000003,0.0,0.0,0.0,0.0,True
formal-b1-rep1-van_der_pol-S,van_der_pol,S,1,2,1,2,2,215,0,0,0,215,1,1,1,1.0,,,,1.048636503,1.046627103,1.9072385848464022,450204,0,0.2819238580000001,0.28197297099999985,0.0,0.0,0.0,0.0,False
formal-b1-rep1-brusselator-G,brusselator,G,1,2,1,2,2,294,294,0,0,294,1,1.0,1,1.0,1.99935e-05,3.11991e-05,5.556e-05,1.453380622,1.452759154,1.376102013282519,638508,8192,0.23182658800000014,0.23186985099999985,0.05880817724391818,0.05345868645235896,0.039260610938072205,0.395496191,True
formal-b1-rep1-brusselator-Q,brusselator,Q,1,2,1,2,2,294,0,0,0,294,1,1.0,1,1.0,2.035e-05,3.14127e-05,5.6575e-05,1.602976173,1.601957956,1.2476791818165096,449148,0,0.3969621700000002,0.3969683319999998,0.0,0.0,0.0,0.0,True
formal-b1-rep1-brusselator-S,brusselator,S,1,2,1,2,2,294,0,0,0,294,1,1.0,1,1.0,,,,1.564359167,1.563068004,1.2784787804423687,448588,0,0.40176433500000025,0.4018008769999999,0.0,0.0,0.0,0.0,False
formal-b1-rep2-van_der_pol-Q,van_der_pol,Q,1,2,1,2,2,215,0,0,0,215,1,1,1,1.0,2.036e-05,3.2021899999999986e-05,7.5123e-05,1.07688149,1.075883783,1.8572145761368781,450376,0,0.2796503020000001,0.27961161700000003,0.0,0.0,0.0,0.0,True
formal-b1-rep2-van_der_pol-S,van_der_pol,S,1,2,1,2,2,215,0,0,0,215,1,1,1,1.0,,,,1.034827127,1.034275597,1.932689961267318,449192,0,0.27723257900000003,0.2772350619999999,0.0,0.0,0.0,0.0,False
formal-b1-rep2-van_der_pol-G,van_der_pol,G,1,2,1,2,2,215,215,0,0,215,1,1,1,1.0,1.9841e-05,3.14167e-05,4.4945e-05,0.948084056,0.946052915,2.10951759745657,640548,8192,0.1671830750000001,0.16713091999999993,0.04320378554984927,0.03834399627521634,0.02857964765280485,0.398013845,True
formal-b1-rep2-brusselator-Q,brusselator,Q,1,2,1,2,2,294,0,0,0,294,1,1.0,1,1.0,2.0064e-05,3.123605e-05,6.2483e-05,1.599271376,1.598052034,1.2505694968431675,449312,0,0.3997813090000001,0.39963045299999983,0.0,0.0,0.0,0.0,True
formal-b1-rep2-brusselator-S,brusselator,S,1,2,1,2,2,294,0,0,0,294,1,1.0,1,1.0,,,,1.561019782,1.559762877,1.2812137444136502,448464,0,0.39082313200000024,0.3907315929999997,0.0,0.0,0.0,0.0,False
formal-b1-rep2-brusselator-G,brusselator,G,1,2,1,2,2,294,294,0,0,294,1,1.0,1,1.0,2.02685e-05,3.137795e-05,6.1205e-05,1.449670297,1.44891787,1.379624045646015,638564,8192,0.23185160499999993,0.23195085200000004,0.05905221728608012,0.0531597975641489,0.03933561034500599,0.393940785,True
legacy-b1-van_der_pol-L,van_der_pol,L,1,2,1,2,2,0,0,0,0,0,,,,,,,,0.878380341,0.877564914,2.2769179894475804,449192,0,0,0,0,0,0,0.0,False
legacy-b1-brusselator-L,brusselator,L,1,2,1,2,2,0,0,0,0,0,,,,,,,,1.293045446,1.292297231,1.5467360456563566,448292,0,0,0,0,0,0,0.0,False
formal-b8-rep0-van_der_pol-S,van_der_pol,S,8,20,8,160,160,17675,0,0,0,17675,1,1,1,1.0,,,,97.293187325,97.219551392,1.6445139109846711,474540,0,33.77950872399995,33.76769530599982,0.0,0.0,0.0,0.0,False
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,20,8,160,160,17675,0,0,0,11177,1.5813724613044646,1,8,0.42302687411598305,0.014407505,0.03426336899999999,0.124515932,92.113858674,92.042170985,1.7369807573283378,482384,0,52.640379557999836,25.128164361999996,0.0,0.0,0.0,0.0,True
