plant,route,steps,wall_s,requests,scope,performance_sample,timing_scope
van_der_pol,S,20,14.64802256,2223,ORIGINAL_B1,False,diagnostic includes raw-state capture and observer; not formal latency
van_der_pol,G,20,11.782431859,2223,ORIGINAL_B1,False,diagnostic includes raw-state capture and observer; not formal latency
brusselator,S,20,28.900015726,4968,ORIGINAL_B1,False,diagnostic includes raw-state capture and observer; not formal latency
brusselator,G,20,21.059390978,4968,ORIGINAL_B1,False,diagnostic includes raw-state capture and observer; not formal latency
