case,plant,task,step,time,exact_time,view,variable,cpu_lo_hex,cpu_hi_hex,gpu_lo_hex,gpu_hi_hex,cpu_width,gpu_width,lo_abs_diff,hi_abs_diff,max_abs_diff,center_abs_diff,near_zero,gpu_cpu_width_ratio,warning
prefix-b8,van_der_pol,12,2,0.02,5764607523034235/288230376151711744,endpoint,y,0x1.25d6ee683715ep+1,0x1.29a9ffe74eb50p+1,0x1.25d6ee683715ep+1,0x1.29a9ffe74eb50p+1,0.02987879472424826,0.02987879472424826,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,2,0.02,5764607523034235/288230376151711744,tube,x,0x1.3c509fc6ac3b5p+0,0x1.4c110bde3b6e4p+0,0x1.3c509fc6ac3b5p+0,0x1.4c110bde3b6e4p+0,0.061529880286979255,0.061529880286979255,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,2,0.02,5764607523034235/288230376151711744,tube,y,0x1.25d0fa8d7a8a4p+1,0x1.2d1ab1a8d8ea7p+1,0x1.25d0fa8d7a8a4p+1,0x1.2d1ab1a8d8ea7p+1,0.05693711124763601,0.05693711124763601,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,3,0.03,17293822569102705/576460752303423488,endpoint,x,0x1.4826bd3d3e5f1p+0,0x1.51f03d5c96dfbp+0,0x1.4826bd3d3e5f1p+0,0x1.51f03d5c96dfbp+0,0.038230903294336205,0.038230903294336205,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,3,0.03,17293822569102705/576460752303423488,endpoint,y,0x1.22163622ea851p+1,0x1.263810ee1385cp+1,0x1.22163622ea851p+1,0x1.263810ee1385cp+1,0.032283162307071844,0.032283162307071844,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,3,0.03,17293822569102705/576460752303423488,tube,x,0x1.423b8fc98a15ep+0,0x1.51fa4d4e45c4fp+0,0x1.423b8fc98a15fp+0,0x1.51fa4d4e45c4ep+0,0.06150421610407997,0.06150421610407952,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,False,0.9999999999999928,False
prefix-b8,van_der_pol,12,3,0.03,17293822569102705/576460752303423488,tube,y,0x1.220f1c6f7a86bp+1,0x1.29d87e4b45f17p+1,0x1.220f1c6f7a86bp+1,0x1.29d87e4b45f17p+1,0.0608331988540467,0.0608331988540467,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,4,0.04,5764607523034235/144115188075855872,endpoint,x,0x1.4dee3943a39f7p+0,0x1.57c538ae3399bp+0,0x1.4dee3943a39f7p+0,0x1.57c538ae3399bp+0,0.03843685485478776,0.03843685485478776,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,4,0.04,5764607523034235/144115188075855872,endpoint,y,0x1.1e28ef5bf70bbp+1,0x1.2297ffcf3492ap+1,0x1.1e28ef5bf70bbp+1,0x1.2297ffcf3492ap+1,0.034639412183472995,0.034639412183472995,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,4,0.04,5764607523034235/144115188075855872,tube,x,0x1.481573ec60ad2p+0,0x1.57cfc25993a26p+0,0x1.481573ec60ad2p+0,0x1.57cfc25993a26p+0,0.06143655935280368,0.06143655935280368,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,4,0.04,5764607523034235/144115188075855872,tube,y,0x1.1e2092643df8fp+1,0x1.266708d6cab20p+1,0x1.1e2092643df8fp+1,0x1.266708d6cab20p+1,0.06465035050627721,0.06465035050627721,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,5,0.05,28823037615171175/576460752303423488,endpoint,x,0x1.53a2d84bc27d9p+0,0x1.5d8583ef73502p+0,0x1.53a2d84bc27d9p+0,0x1.5d8583ef73502p+0,0.03861496683459564,0.03861496683459564,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,5,0.05,28823037615171175/576460752303423488,endpoint,y,0x1.1a109a171dd6fp+1,0x1.1ecb0f543792ap+1,0x1.1a109a171dd6fp+1,0x1.1ecb0f543792ap+1,0.0369402454702743,0.0369402454702743,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,5,0.05,28823037615171175/576460752303423488,tube,x,0x1.4ddd636b183b2p+0,0x1.5d9083abb1054p+0,0x1.4ddd636b183b2p+0,0x1.5d9083abb1054p+0,0.06132699563094279,0.06132699563094279,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,5,0.05,28823037615171175/576460752303423488,tube,y,0x1.1a06e51f12a22p+1,0x1.22c76758cd855p+1,0x1.1a06e51f12a22p+1,0x1.22c76758cd855p+1,0.06837489909028127,0.06837489909028127,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,6,0.06,17293822569102705/288230376151711744,endpoint,x,0x1.5943be95b618fp+0,0x1.63304052b246ap+0,0x1.5943be95b618fp+0,0x1.63304052b246ap+0,0.03876505721944201,0.03876505721944201,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,6,0.06,17293822569102705/288230376151711744,endpoint,y,0x1.15ced7d4fac85p+1,0x1.1ad2a5d576a63p+1,0x1.15ced7d4fac85p+1,0x1.1ad2a5d576a63p+1,0.039178610073334674,0.039178610073334674,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,6,0.06,17293822569102705/288230376151711744,tube,x,0x1.53927b79e1601p+0,0x1.633bb218622c9p+0,0x1.53927b79e1601p+0,0x1.633bb218622c9p+0,0.06117574090676392,0.06117574090676392,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,6,0.06,17293822569102705/288230376151711744,tube,y,0x1.15c3b7a995ad6p+1,0x1.1efadc1fe7497p+1,0x1.15c3b7a995ad6p+1,0x1.1efadc1fe7497p+1,0.07199531342777776,0.07199531342777776,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,7,0.07,40352252661239645/576460752303423488,endpoint,x,0x1.5ed017c806f71p+0,0x1.68c497d11a4adp+0,0x1.5ed017c806f71p+0,0x1.68c497d11a4adp+0,0.03888702603883498,0.03888702603883498,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,7,0.07,40352252661239645/576460752303423488,endpoint,y,0x1.1165698995833p+1,0x1.16b04b9bf5fa3p+1,0x1.1165698995833p+1,0x1.16b04b9bf5fa3p+1,0.04134775063806018,0.04134775063806018,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,7,0.07,40352252661239645/576460752303423488,tube,x,0x1.5933e0028e906p+0,0x1.68d0773edbd05p+0,0x1.5933e0028e906p+0,0x1.68d0773edbd05p+0,0.06098313543520795,0.06098313543520795,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,7,0.07,40352252661239645/576460752303423488,tube,y,0x1.1158ccb023473p+1,0x1.1b02cd0802cbcp+1,0x1.1158ccb023473p+1,0x1.1b02cd0802cbcp+1,0.07550052920035855,0.07550052920035855,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,8,0.08,5764607523034235/72057594037927936,endpoint,x,0x1.6447178ffc25dp+0,0x1.6e41bdcf12a18p+0,0x1.6447178ffc25dp+0,0x1.6e41bdcf12a18p+0,0.038980856325436575,0.038980856325436575,0.0,0.0,0.0,0.0,False,1.0,False
