plant,batch,repetition,G_wall_over_S_wall,G_wall_over_Q_wall,G_wall_over_L_wall,G_throughput_over_S_throughput,G_throughput_over_Q_throughput,G_throughput_over_L_throughput
van_der_pol,1,0,0.9473529206139413,0.9094452846439148,1.1068366749797285,1.0555728263886497,1.0995713726654166,0.9034756641202867
van_der_pol,1,1,0.9095936668914529,0.891150039071854,1.0858998972063745,1.0993919993061427,1.1221454930771422,0.9208951972208823
van_der_pol,1,2,0.9161762687344008,0.8803977641030861,1.0793548213074136,1.0914930173659623,1.1358502267651256,0.9264793932997012
van_der_pol,8,0,0.7740822309626189,0.8176069115564885,0.9615270478822685,1.291852415674803,1.223081637233579,1.040012345157078
van_der_pol,8,1,0.7869251818061077,0.8074906976389754,0.964789900211568,1.270768839427472,1.2384043592377016,1.0364950957516355
van_der_pol,8,2,0.8063665515920593,0.8232418192844067,0.989112467734462,1.2401308040687429,1.2147099146022955,1.0110073754205884
van_der_pol,32,0,0.799729250988989,0.9045139115316219,0.7303352654279407,1.2504231885520571,1.1055661911342973,1.3692341686582106
van_der_pol,32,1,0.7535623959233396,0.8644690709233767,0.7043445490297086,1.3270301243929516,1.1567793847521426,1.4197596920109352
van_der_pol,32,2,0.7424925278384206,0.9670273312030783,0.7845309556439588,1.3468149004963692,1.0340969357669554,1.2746469630113957
brusselator,1,0,0.9425406483633475,0.8906791291453937,1.1241712706205997,1.0609622001304946,1.1227387813156682,0.8895441701227155
brusselator,1,1,0.9290581425665657,0.906676372662465,1.123998098052928,1.0763588996028324,1.1029293694546038,0.8896812207531964
brusselator,1,2,0.9286687546923091,0.9064567269538876,1.121128651343628,1.07681021348815,1.1031966229214945,0.8919582947073379
brusselator,8,0,0.7965195525106566,0.8490770172338754,0.9813604253844393,1.2554619617911023,1.17774946171291,1.0189936073774921
brusselator,8,1,0.7957136052391177,0.8210956260089906,0.972802413573356,1.2567335702391222,1.2178849433903214,1.0279579758922885
brusselator,8,2,0.7873826466063683,0.8240984740796045,0.9700561432633499,1.270030530022494,1.213447217114255,1.0308681687597137
brusselator,32,0,0.7385781703034615,0.8564087337472411,0.8038345306705162,1.3539528247756463,1.1676667467232278,1.24403712685228
brusselator,32,1,0.7618010104744461,0.8982153674944275,0.808390031878419,1.3126787523912637,1.1133187386778973,1.237026633884074
brusselator,32,2,0.8505509581396505,1.0259074806373945,1.0744713398494423,1.1757085103839382,0.9747467670073932,0.9306902500909168
