plant,view,entries,near_zero,warnings,max_abs_diff_p50,max_abs_diff_p95,max_abs_diff_max,center_abs_diff_p50,center_abs_diff_p95,center_abs_diff_max,gpu_cpu_width_ratio_p50,gpu_cpu_width_ratio_p95,gpu_cpu_width_ratio_max,worst_case,worst_task,worst_step,worst_time
van_der_pol,endpoint,2138,0,0,0.0,2.220446049250313e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,1.0,1.0,1.0000000000000042,prefix-b8,12,10,0.1
van_der_pol,tube,2138,0,0,0.0,2.220446049250313e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,1.0,1.0,1.0000000000000022,prefix-b8,28,8,0.08
brusselator,endpoint,2138,0,0,0.0,0.0,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,1.0,1.0,1.0,history,0,1001,20.02
brusselator,tube,2138,0,0,0.0,0.0,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,1.0,1.0,1.0,prefix-b8,8,14,0.28
